BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_66,eth2_10,eth2_30,eth2_35,eth2_34,eth2_23,eth2_21,eth2_14,eth2_unk
440010308001,1502,576,741,185,0,0,942,327,8,9,18,198,942,193,8,134,1,10,1,3,4,0,2,198
440010308002,665,314,266,85,0,0,525,46,1,0,12,81,525,30,1,16,0,2,1,4,0,0,0,81
440010308003,824,307,406,111,0,0,621,78,5,3,12,105,621,61,5,17,2,4,3,2,1,0,0,105
440010309011,1509,515,749,245,0,0,994,309,3,5,6,192,994,207,3,102,1,2,1,0,2,0,1,192
440010309012,2076,743,1040,293,0,0,1311,433,1,15,31,285,1311,296,1,137,3,10,0,15,8,0,2,285
440010309013,1193,465,576,152,0,0,758,249,1,1,15,169,758,156,1,93,1,6,5,1,0,0,0,169
440010309021,1020,395,481,144,0,0,640,208,1,7,10,154,640,123,1,85,4,6,0,2,3,0,0,154
440010309022,1642,686,704,252,0,0,1275,159,1,16,26,165,1275,93,1,66,9,5,6,11,1,4,1,165
440010309023,1174,496,506,172,0,0,857,144,0,9,14,150,857,98,0,46,1,6,0,5,2,3,3,150
440010309024,1640,637,795,208,0,0,1028,354,3,6,13,236,1028,246,3,108,1,5,0,3,4,0,0,236
440050401011,890,317,427,146,0,0,710,69,6,5,14,86,710,46,6,23,0,3,3,6,1,1,0,86
440050401012,1470,505,716,249,0,0,1097,157,6,8,16,186,1097,118,6,39,3,4,2,1,4,1,0,186
440050401013,1494,572,647,275,0,0,1167,149,4,7,11,156,1167,87,4,62,5,5,0,4,0,1,0,156
440050401021,1341,467,613,261,0,0,1093,73,0,15,26,134,1093,47,0,26,4,6,4,13,5,2,3,134
440050401022,1360,494,610,256,0,0,1116,71,3,10,29,131,1116,45,3,26,4,9,5,5,1,1,1,131
440050401023,2230,860,901,469,0,0,1722,168,7,32,46,255,1722,99,7,69,13,13,15,9,3,6,8,255
440050401041,1485,555,641,289,0,0,1194,118,5,11,24,133,1194,95,5,23,2,7,5,2,4,1,1,133
440050401042,2303,797,1060,446,0,0,1776,242,14,24,40,207,1776,158,14,84,13,22,5,4,1,2,5,207
440050401051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440050401052,149,45,78,26,0,0,134,2,1,1,0,11,134,1,1,1,0,0,0,0,1,0,0,11
440050401053,1335,452,574,309,0,0,1060,106,2,15,25,127,1060,73,2,33,6,5,5,6,1,2,4,127
440050402001,473,205,208,60,0,0,327,61,12,11,14,48,327,55,12,6,7,5,0,1,1,1,2,48
440050402002,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
440050403021,911,383,418,110,0,0,716,99,13,9,8,66,716,81,13,18,3,3,1,3,4,2,0,66
440050403022,896,367,400,129,0,0,712,76,6,11,8,83,712,59,6,17,2,3,0,1,4,2,3,83
440050403031,80,34,27,19,0,0,58,13,2,0,3,4,58,11,1,2,0,0,0,0,0,0,0,4
440050403032,1370,560,610,200,0,0,981,155,44,23,33,134,981,126,43,29,4,14,3,6,13,2,1,134
440050403033,360,144,162,54,0,0,273,29,8,5,6,39,273,27,8,2,3,3,0,1,1,1,0,39
440050403041,1263,443,581,239,0,0,970,99,7,44,21,122,970,60,7,39,26,8,3,6,6,3,5,122
440050403042,876,369,381,126,0,0,618,104,28,17,25,84,618,88,28,16,6,10,3,4,3,6,0,84
440050404001,1781,740,747,294,0,0,1413,139,1,17,43,168,1413,95,1,44,6,10,13,4,2,2,1,168
440050404002,1816,700,794,322,0,0,1474,126,10,20,27,159,1474,92,10,34,6,10,3,5,5,4,1,159
440050404003,1364,559,610,195,0,0,1116,74,9,12,17,136,1116,43,8,31,7,1,0,7,1,1,3,136
