BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_10,eth2_30,eth2_23,eth2_14,eth2_21,eth2_34,eth2_12,eth2_33,eth2_32,eth2_unk
010730142051,1033,478,536,19,0,0,525,19,433,9,6,41,525,428,19,5,0,1,0,1,0,7,0,0,1,1,41
010730142052,1405,594,772,39,0,0,651,26,649,5,23,51,651,633,26,16,2,2,15,0,0,3,4,0,0,0,51
010730142061,1149,872,233,44,0,0,939,17,142,3,9,39,939,141,17,1,2,2,3,1,0,0,0,0,3,0,39
010730142062,878,248,614,16,0,0,267,14,567,4,7,19,267,561,14,6,4,2,1,2,0,0,0,0,0,1,19
010730142063,1713,951,713,49,0,0,1030,21,599,21,6,36,1030,594,21,5,0,7,2,5,5,4,3,0,0,0,36
010730142071,1272,572,665,35,0,0,630,30,524,28,10,50,630,515,30,9,0,6,7,18,2,2,0,0,0,1,50
010730142072,1478,1087,347,44,0,0,1128,19,261,5,4,61,1128,258,19,3,3,2,0,0,3,0,1,0,0,0,61
010730142073,1604,592,976,36,0,0,652,18,880,7,6,41,652,876,17,4,2,1,1,3,0,3,3,0,0,0,41
010730142081,1385,837,509,39,0,0,923,27,324,19,17,75,923,304,27,20,2,9,9,6,2,1,1,1,0,0,75
010730142082,1044,678,339,27,0,0,749,40,150,16,27,62,749,129,40,21,1,3,20,4,5,4,3,0,1,0,62
010730142083,1337,865,449,23,0,0,897,33,226,37,34,110,897,207,33,19,1,17,24,14,1,3,1,0,0,0,110
010730142084,1162,825,285,52,0,0,893,26,165,11,15,52,893,159,26,6,1,2,4,4,0,5,4,0,0,0,52
010730142091,618,504,99,15,0,0,513,26,49,8,2,20,513,44,26,5,1,4,1,1,0,2,0,0,0,0,20
010730142092,384,238,122,24,0,0,259,14,87,1,2,21,259,85,14,2,0,0,1,0,0,0,1,0,0,0,21
010730142093,1937,761,1112,64,0,0,855,65,647,158,104,108,855,630,64,17,5,25,76,112,5,13,4,2,0,3,108
010730143011,1093,403,664,26,0,0,438,25,588,2,1,39,438,577,25,11,1,0,0,0,0,2,0,0,0,0,39
