BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_34,eth2_21,eth2_23,eth2_14,eth2_12,eth2_38,eth2_unk
311119605002,1691,1130,308,237,15,1,0,1447,40,0,10,18,176,1447,40,0,5,1,5,4,2,3,0,8,176
311119605003,410,256,74,76,4,0,0,355,13,0,2,2,38,355,13,0,1,2,0,0,0,0,0,0,38
311119605004,449,218,106,116,9,0,0,370,37,2,6,2,32,370,37,2,0,2,1,0,1,0,1,0,32
311119606001,1227,862,174,180,11,0,0,1036,17,0,11,7,156,1036,17,0,0,2,4,0,9,0,0,1,156
311119606002,976,696,154,114,11,1,0,855,13,0,7,6,95,855,13,0,3,0,1,1,2,0,4,2,95
311119606003,639,508,63,65,3,0,0,557,14,0,3,5,60,557,14,0,0,0,5,1,1,1,0,0,60
310590916001,837,507,185,134,11,0,0,692,9,0,4,9,123,692,9,0,3,0,0,0,0,0,1,2,123
310590916002,696,393,181,116,6,0,0,513,23,1,1,21,137,513,23,1,1,0,1,0,0,1,0,0,137
310590917001,838,591,136,107,4,0,0,712,15,0,2,5,104,712,15,0,0,0,0,0,1,0,1,0,104
310590917002,876,567,170,130,9,0,0,730,9,1,3,7,126,730,9,1,3,0,0,0,3,0,0,1,126
310590917003,598,355,130,109,4,0,0,484,6,2,2,7,97,484,6,2,1,1,4,0,1,0,0,1,97
310339548001,1010,723,115,159,13,0,0,854,20,0,3,14,119,854,18,0,2,0,4,0,1,1,0,0,119
310339548002,1180,865,132,171,12,0,0,996,26,0,6,6,146,996,22,0,0,0,1,0,0,6,0,0,146
310339549001,281,154,51,71,5,0,0,223,25,2,1,1,29,223,24,2,0,0,0,0,0,1,0,0,29
310339549002,454,289,71,88,6,0,0,401,8,0,7,0,38,401,8,0,0,2,0,0,1,0,3,0,38
310339549003,651,367,121,152,11,0,0,552,29,0,3,4,63,552,29,0,2,2,0,1,0,0,0,0,63
310339549004,800,533,113,141,13,0,0,661,33,0,5,5,96,661,33,0,0,0,3,0,1,3,0,1,96
310339550001,586,349,87,136,14,0,0,490,41,0,1,3,51,490,41,0,1,1,1,0,0,0,0,0,51
310339550002,932,588,154,181,9,0,0,742,36,0,15,10,129,742,36,0,2,0,2,4,9,2,0,0,129
311199606001,777,494,137,138,7,1,0,613,36,2,6,6,114,613,36,2,0,2,1,0,2,0,2,0,114
311199606002,813,487,163,153,8,2,0,626,91,3,3,4,86,626,91,3,0,2,2,0,0,0,1,0,86
311199606003,808,488,175,138,7,0,0,651,46,0,4,9,98,651,46,0,2,0,1,0,3,0,1,4,98
311199606004,1123,728,217,165,12,1,0,904,41,2,12,9,155,904,41,2,1,4,3,1,2,1,3,0,155
311199607001,413,222,91,92,8,0,0,320,30,1,1,1,60,320,30,1,0,1,0,0,0,0,0,0,60
311199607002,601,320,135,131,15,0,0,454,54,5,11,5,72,454,53,4,2,4,1,0,2,2,1,0,72
311199607003,498,247,143,99,9,0,0,362,39,3,5,4,85,362,38,3,1,1,1,1,1,0,2,0,85
311199608011,765,505,132,122,6,0,0,610,25,0,10,6,114,610,25,0,2,5,2,1,4,0,0,0,114
311199608012,821,507,164,141,8,1,0,662,55,0,9,14,81,662,55,0,1,0,1,0,4,1,4,2,81
311199608013,1548,1033,253,252,10,0,0,1274,57,1,8,14,194,1274,57,1,3,4,1,2,1,0,1,2,194
311199608021,754,561,94,94,5,0,0,661,9,0,1,11,72,661,9,0,4,0,0,1,0,0,0,2,72
311199608022,1727,1172,284,256,14,1,0,1427,29,0,12,18,241,1427,29,0,3,5,8,0,4,2,0,4,241
311199609001,495,289,99,103,4,0,0,385,39,2,1,6,62,385,39,2,1,0,4,1,0,0,0,0,62
