BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_rin,party_lib,party_wfp,party_grn,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_93,eth2_21,eth2_34,eth2_30,eth2_23,eth2_12,eth2_14,eth2_85,eth2_66,eth2_55,eth2_35,eth2_61,eth2_15,eth2_32,eth2_83,eth2_38,eth2_33,eth2_59,eth2_81,eth2_19,eth2_29,eth2_unk
410670315191,999,381,370,200,37,7,2,1,0,1,0,498,36,7,332,36,90,498,36,130,5,27,8,22,124,15,27,1,0,0,0,0,2,2,0,2,1,0,0,1,0,90
410670315192,2130,791,957,306,65,6,0,0,2,3,0,995,107,5,694,114,215,995,105,241,5,48,13,75,287,27,76,6,2,0,1,3,5,3,0,0,3,1,0,3,7,215
410670315193,1604,623,450,444,73,5,3,1,0,5,0,1068,55,5,237,67,172,1068,55,113,5,23,10,29,54,17,30,2,0,0,1,1,0,11,1,1,0,2,0,0,4,172
410670315201,974,376,415,139,31,8,0,2,1,2,0,534,59,0,194,87,100,534,58,76,0,10,14,54,55,17,18,2,1,0,2,5,2,5,0,0,0,0,0,0,4,100
410670315202,1746,604,897,185,49,5,2,1,0,3,0,478,61,1,911,132,163,478,57,298,1,48,6,92,463,11,71,7,4,0,2,1,7,6,1,2,1,0,0,7,12,163
410670315203,910,347,368,153,34,4,1,1,0,2,0,442,40,3,274,46,105,442,40,98,3,40,5,23,105,7,20,0,0,2,0,0,1,3,0,1,1,3,0,0,2,105
410670316061,1381,484,554,240,75,12,6,2,2,6,0,888,169,11,121,44,148,888,166,44,11,42,6,24,6,5,11,7,3,1,1,0,7,2,0,0,0,0,0,1,1,148
410670316062,1494,541,657,194,61,17,13,6,1,4,0,865,309,34,114,62,110,865,305,22,34,57,14,30,5,8,10,7,4,0,0,2,5,6,0,0,1,0,0,3,0,110
410670316063,1361,506,537,241,42,16,5,9,2,3,0,855,198,30,100,69,109,855,197,26,30,26,11,35,15,14,8,9,1,1,2,2,7,1,6,0,1,0,0,2,0,109
410670316121,1166,469,497,113,59,11,5,3,1,8,0,697,169,14,97,48,141,697,169,52,14,11,6,23,5,11,15,4,0,1,0,1,2,5,3,0,1,0,1,0,2,141
410670316122,1516,602,630,195,63,14,7,1,0,4,0,926,174,17,168,73,158,926,170,36,17,70,12,35,17,8,26,13,4,1,1,2,2,2,1,1,0,1,0,5,2,158
410670316141,1224,409,515,225,53,6,1,7,5,3,0,619,193,3,235,48,126,619,193,68,3,116,11,19,11,4,12,7,0,0,3,2,11,4,1,0,0,0,0,5,0,126
410670316142,1436,510,601,237,67,11,4,1,1,4,0,857,189,14,162,66,148,857,188,35,14,57,15,32,12,7,23,1,1,2,0,3,8,2,4,5,2,0,0,1,0,148
410670316143,754,285,314,117,28,4,1,2,0,3,0,426,144,4,91,28,61,426,144,24,4,41,3,15,6,3,6,0,0,1,0,0,4,3,4,0,0,0,0,1,1,61
410670316151,887,291,393,158,26,5,3,0,5,6,0,543,218,0,37,16,73,543,211,7,0,17,2,3,2,5,3,3,7,0,1,2,0,0,0,0,4,0,0,1,0,73
410670316152,928,308,352,201,41,18,3,3,0,2,0,629,156,2,54,22,65,629,155,14,2,17,3,10,11,3,3,7,1,0,0,0,2,0,1,1,0,0,0,0,0,65
410670316153,1064,401,396,209,42,9,3,1,1,2,0,712,130,2,104,21,95,712,130,22,2,43,0,8,8,7,7,4,0,0,0,0,7,6,3,0,0,0,0,3,0,95
410670316154,692,287,226,143,19,8,2,2,4,1,0,473,84,4,33,25,73,473,84,9,4,8,9,2,4,4,5,3,0,1,2,2,3,1,2,0,3,0,0,0,0,73
410670316161,426,139,200,47,30,2,6,0,2,0,0,283,46,3,43,13,38,283,46,6,3,7,5,7,3,13,11,0,0,0,0,0,2,0,1,0,0,0,0,1,0,38
410670316162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
410670316163,484,178,193,81,25,3,1,1,0,2,0,327,68,2,22,15,50,327,68,9,2,2,1,8,2,6,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,50
410670316171,651,227,321,61,30,4,2,4,1,1,0,413,104,5,39,20,70,413,102,16,5,5,3,9,6,3,9,2,2,0,0,0,0,1,3,1,0,0,0,0,0,70
410670316172,993,348,470,102,51,13,4,3,0,2,0,651,145,12,37,29,119,651,144,11,12,1,6,15,5,11,5,2,1,0,0,1,1,1,2,0,0,0,1,0,1,119
410670316173,760,263,351,89,44,6,0,3,1,3,0,495,97,8,45,27,88,495,95,12,8,9,6,9,7,6,5,3,2,2,1,1,2,2,1,0,1,0,0,0,0,88
410670316181,1671,653,670,237,74,19,4,3,1,10,0,1053,235,13,158,53,159,1053,233,51,13,36,6,25,22,13,24,4,2,0,2,1,7,4,1,2,4,1,1,0,2,159
410670316182,547,191,267,57,19,3,2,4,1,3,0,299,84,3,67,39,55,299,81,28,3,15,0,22,7,4,8,5,3,0,1,2,1,6,1,0,1,0,0,0,1,55
410670316183,1010,411,306,223,51,10,3,3,0,3,0,740,83,6,55,32,94,740,81,16,6,12,5,17,3,9,9,2,2,0,0,0,3,1,1,3,2,1,0,2,0,94
410670316191,1280,508,500,205,43,14,4,3,0,3,0,637,367,3,109,47,117,637,367,36,3,24,8,10,6,16,18,16,0,3,3,0,3,2,2,2,0,0,0,2,1,117
410670316192,1222,469,504,168,57,16,0,3,0,5,0,738,148,11,160,57,108,738,142,46,10,29,13,25,41,21,15,2,6,4,3,2,3,3,1,0,0,4,0,1,0,108
