BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_cnt,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_34,eth2_12,eth2_30,eth2_23,eth2_14,eth2_21,eth2_unk
160270215001,643,292,230,111,6,4,0,0,479,97,0,6,6,55,479,97,0,0,3,4,1,1,1,55
160270215002,655,255,261,126,9,4,0,0,462,115,0,6,2,70,462,115,0,1,3,1,0,3,0,70
160270215003,461,197,158,98,5,3,0,0,285,110,0,5,3,58,285,108,0,0,4,0,0,1,0,58
160270216001,401,152,148,87,4,10,0,0,267,99,0,0,3,32,267,98,0,0,0,0,0,0,0,32
160270216002,833,387,305,131,7,3,0,0,636,109,0,10,4,74,636,106,8,1,1,0,0,1,0,74
160270216003,1049,577,301,151,17,3,0,0,781,163,2,11,10,82,781,163,1,6,6,1,2,1,1,82
160270217011,844,487,244,103,4,6,0,0,636,123,2,11,11,61,636,122,4,2,5,1,0,0,2,61
160270217012,734,393,228,104,5,4,0,0,502,169,1,8,4,50,502,167,2,0,1,1,2,2,0,50
160270217013,609,319,200,74,11,5,0,0,442,104,0,13,5,45,442,104,1,1,10,0,2,0,0,45
160270217021,590,282,190,109,6,3,0,0,411,136,0,2,4,37,411,136,1,0,0,3,0,1,0,37
160270217022,963,441,348,162,10,2,0,0,663,229,0,4,4,63,663,229,1,2,2,0,0,1,0,63
160270217023,592,240,218,124,8,2,0,0,367,188,0,3,5,29,367,188,2,3,0,2,1,0,0,29
160270218011,651,450,145,50,2,4,0,0,520,78,0,10,4,39,520,78,3,1,1,0,0,1,5,39
160270218012,753,516,176,54,4,3,0,0,613,57,0,8,8,67,613,56,1,0,3,1,2,0,1,67
160270218013,463,336,89,28,7,3,0,0,375,30,0,3,2,53,375,30,0,0,2,0,0,0,1,53
160270218014,629,432,146,42,7,2,0,0,500,69,0,3,2,55,500,69,0,0,0,1,0,1,0,55
160270218021,829,527,213,80,7,2,0,0,709,47,0,12,9,52,709,46,4,3,4,1,0,1,2,52
160270218022,1008,634,246,115,11,2,0,0,797,97,3,16,11,84,797,96,4,4,6,4,0,1,3,84
160270219011,1169,753,299,94,20,3,0,0,983,59,0,14,9,104,983,59,3,2,3,1,2,3,3,104
160270219012,1111,648,329,105,14,15,0,0,908,78,0,7,9,109,908,75,1,3,2,1,3,1,0,109
160270219013,1061,668,274,100,16,3,0,0,884,71,0,10,12,84,884,67,5,2,4,1,0,0,1,84
160270219041,222,109,79,33,1,0,0,0,153,51,0,1,2,15,153,50,0,1,0,1,1,0,0,15
160270219042,1364,901,353,90,13,7,0,0,1086,122,0,9,7,140,1086,121,0,1,3,0,2,1,1,140
160270219051,908,624,204,68,10,2,0,0,757,51,0,14,6,80,757,48,2,2,0,2,6,3,2,80
160270219052,1067,771,207,76,6,7,0,0,890,57,0,8,11,101,890,57,3,3,4,7,0,0,1,101
160270219053,669,470,148,41,8,2,0,0,586,31,2,1,4,45,586,31,0,0,1,0,0,0,0,45
160270219061,1023,708,235,63,12,5,0,0,870,42,0,6,12,93,870,40,2,6,2,2,0,2,0,93
160270219062,1035,723,227,73,9,3,0,0,874,28,0,10,16,107,874,28,5,6,3,2,1,1,0,107
160270219063,1072,717,266,72,15,2,0,0,916,31,2,14,4,105,916,29,4,0,2,0,5,0,1,105
160270219071,1027,690,237,81,12,7,0,0,820,56,0,9,15,127,820,56,2,2,2,2,2,2,1,127
