BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_rin,party_grn,party_cnt,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_12,eth2_14,eth2_unk
350010014002,575,371,72,118,5,3,2,0,0,4,0,202,319,5,2,14,33,202,315,1,5,0,6,4,0,4,1,1,0,33
350010015001,637,417,65,142,3,2,8,0,0,0,0,384,143,6,24,9,71,384,141,1,6,5,5,2,12,2,6,1,0,71
350010015002,962,622,93,218,10,2,8,0,0,9,0,329,532,24,6,10,61,329,530,1,24,4,4,2,1,3,0,1,0,61
350010017011,801,592,74,123,6,0,5,0,0,1,0,584,109,3,8,9,88,584,109,0,3,3,2,0,2,4,1,2,0,88
350010017012,890,600,94,169,13,4,5,1,0,4,0,618,121,5,21,25,100,618,117,3,5,6,8,4,12,3,1,2,0,100
350010017021,761,451,105,179,14,2,6,1,0,3,0,475,164,8,16,13,85,475,164,6,8,3,2,0,5,3,1,5,1,85
350010017022,369,211,43,97,8,3,5,1,0,1,0,213,100,0,5,7,44,213,98,0,0,2,3,2,0,1,1,1,1,44
350010017023,392,250,23,102,10,3,2,0,0,2,0,248,92,3,7,8,34,248,91,3,3,3,3,1,1,1,2,1,0,34
350010018001,184,95,44,42,3,0,0,0,0,0,0,109,44,1,2,8,20,109,44,2,1,1,3,0,0,0,1,0,0,20
350010018002,309,159,55,88,5,1,1,0,0,0,0,167,99,3,7,7,26,167,98,2,3,2,1,1,2,2,2,1,0,26
350010020001,468,270,65,110,8,4,7,0,0,4,0,177,235,5,2,11,38,177,233,7,4,0,1,2,1,0,0,0,0,38
350010020002,615,403,58,144,5,0,2,0,0,3,0,191,371,7,3,6,37,191,370,3,7,2,2,1,0,0,0,0,0,37
350010021001,964,571,124,228,16,8,9,0,0,8,0,525,295,6,11,27,100,525,288,7,5,1,8,7,3,2,1,3,3,100
350010022001,895,619,106,152,9,0,6,0,0,3,0,552,219,4,14,16,90,552,212,3,4,5,1,7,7,4,1,0,1,90
350010022002,432,279,59,88,3,2,0,0,0,1,0,203,185,0,6,3,35,203,183,1,0,2,0,2,3,1,0,0,1,35
350010022003,961,624,165,164,5,0,2,1,0,0,0,622,228,1,22,13,75,622,228,1,1,10,8,0,8,0,1,3,0,75
350010023011,300,155,59,79,2,1,0,0,0,4,0,72,219,0,0,0,9,72,218,0,0,0,0,1,0,0,0,0,0,9
350010023012,494,278,67,131,5,2,1,0,0,10,0,75,399,2,4,4,10,75,397,1,2,1,1,2,1,2,0,1,1,10
350010023021,608,354,90,153,3,1,2,0,0,5,0,102,475,1,6,8,16,102,468,1,1,1,3,7,2,2,0,0,1,16
350010023022,1214,766,203,226,8,3,3,0,0,5,0,274,879,12,0,1,48,274,860,0,12,0,1,19,0,0,0,0,0,48
350010023031,761,445,125,179,2,1,3,1,0,5,0,193,524,1,2,6,35,193,520,3,1,0,0,4,2,0,0,0,0,35
350010023032,621,387,114,113,4,1,1,0,0,1,0,86,510,2,3,4,16,86,506,0,2,1,2,4,0,2,2,0,0,16
350010024011,1011,605,217,174,6,2,3,0,0,4,0,251,701,6,12,8,33,251,694,3,6,5,1,7,1,3,5,1,0,33
350010024012,765,454,158,137,8,2,2,0,0,4,0,157,580,1,4,4,19,157,571,0,1,0,2,9,1,2,0,1,1,19
350010024013,1205,747,217,223,6,2,5,0,0,5,0,289,840,7,7,9,53,289,834,0,7,3,3,6,1,2,1,0,1,53
350010024031,577,339,98,130,3,1,2,0,0,4,0,107,447,0,4,2,17,107,442,1,0,2,0,5,0,1,0,2,0,17
350010024032,459,258,72,121,2,1,2,0,0,3,0,123,298,1,5,6,26,123,297,1,1,2,1,1,0,1,1,0,1,26
350010024033,716,385,142,170,5,4,4,2,0,4,0,170,518,2,6,4,16,170,512,2,2,2,2,6,0,0,0,0,4,16
350010024041,499,308,57,124,4,2,2,0,0,2,0,73,396,1,8,9,12,73,395,1,1,2,5,1,4,0,0,1,1,12
350010024042,555,332,97,120,2,1,1,1,0,1,0,110,420,0,3,5,17,110,415,0,0,0,3,5,1,1,1,0,1,17
350010024043,722,435,95,179,5,0,1,1,0,6,0,93,586,6,3,5,29,93,576,2,6,0,2,10,1,0,0,2,0,29
