BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_23,eth2_34,eth2_14,eth2_12,eth2_38,eth2_unk
201719571003,832,681,98,51,2,0,0,715,27,0,1,5,84,715,27,0,0,0,0,1,1,0,0,2,84
201719571004,629,432,138,51,8,0,0,522,62,0,1,0,44,522,62,0,0,0,1,0,0,0,0,0,44
201719571005,369,221,102,41,5,0,0,274,55,0,6,3,31,274,55,0,0,1,3,1,3,1,0,0,31
201690001011,518,205,191,113,9,0,0,422,32,4,3,6,51,422,31,4,1,0,1,1,1,1,0,0,51
201690001012,634,267,222,134,11,0,0,528,26,8,10,2,60,528,26,8,0,3,5,1,1,1,0,0,60
201690001013,472,189,158,119,6,0,0,373,34,3,3,4,55,373,34,3,3,0,0,1,0,1,1,0,55
201690001021,401,164,133,100,4,0,0,332,19,14,3,2,31,332,19,14,1,1,0,1,1,1,0,0,31
201690001022,496,206,163,121,6,0,0,412,20,6,1,5,52,412,20,6,1,0,0,1,3,0,0,0,52
201690001023,442,154,188,91,9,0,0,355,26,5,9,5,42,355,26,5,2,1,1,0,3,1,2,0,42
201690002001,468,184,171,111,2,0,0,365,31,31,11,3,27,365,31,31,0,1,1,8,2,1,0,0,27
201690002002,787,244,324,204,15,0,0,605,56,30,14,5,77,605,56,30,3,4,1,9,1,0,0,0,77
201690003001,395,129,154,105,7,0,0,315,24,17,2,4,33,315,24,17,1,0,1,0,1,1,0,0,33
201690003002,394,116,168,104,6,0,0,280,71,5,9,4,25,280,71,5,1,1,4,4,1,0,0,1,25
201690003003,498,171,188,123,16,0,0,419,28,8,2,1,40,419,28,8,0,0,0,1,0,0,1,0,40
201690003004,446,151,181,107,7,0,0,355,39,5,2,2,43,355,39,5,1,0,0,1,0,0,1,0,43
201690003005,431,123,177,121,10,0,0,347,28,3,4,4,45,347,28,3,1,1,0,0,1,0,0,1,45
201690003006,435,171,155,100,9,0,0,351,24,3,5,6,46,351,24,3,3,2,1,0,0,0,1,3,46
201690004001,645,259,215,159,12,0,0,521,57,0,4,4,59,521,57,0,1,2,0,1,0,1,0,1,59
201690004002,424,171,157,92,4,0,0,344,31,6,4,4,35,344,31,5,1,0,0,2,1,1,1,2,35
201690004003,806,314,272,212,8,0,0,672,56,3,11,3,61,672,56,3,1,4,2,0,0,3,1,1,61
201690005001,661,231,259,159,12,0,0,500,82,7,9,1,62,500,80,7,1,1,4,0,0,1,1,0,62
201690005002,635,220,232,177,6,0,0,479,74,6,20,4,52,479,74,6,0,3,13,0,1,0,0,0,52
201690005003,1078,414,401,248,15,0,0,805,134,10,37,4,88,805,134,10,2,8,18,2,1,2,0,0,88
201690005004,314,127,100,84,3,0,0,191,85,2,16,0,20,191,85,2,0,7,8,0,0,1,0,0,20
201690006001,604,242,212,143,7,0,0,446,80,8,24,4,42,446,80,8,3,4,11,2,0,2,1,0,42
201690006002,875,349,331,179,16,0,0,693,71,8,19,3,81,693,70,8,0,1,3,1,0,4,4,0,81
201690007001,2891,1438,858,567,28,0,0,2350,144,16,98,26,257,2350,144,16,5,20,50,14,4,5,3,6,257
201690007002,1199,622,350,212,15,0,0,1005,50,1,20,5,118,1005,50,1,0,5,4,4,2,2,4,2,118
201690008001,1072,552,280,231,9,0,0,870,69,7,12,4,110,870,69,7,3,2,7,1,0,2,0,0,110
201690008002,2034,1160,493,360,21,0,0,1703,95,7,45,15,169,1703,95,7,0,12,14,11,1,5,1,1,169
201690009001,1158,642,268,237,11,0,0,960,51,5,29,13,100,960,50,5,4,4,14,3,2,8,0,3,100
201690009002,714,326,258,118,12,0,0,612,33,4,7,5,53,612,33,4,4,1,3,0,1,0,2,0,53
201690009003,608,235,206,158,9,0,0,507,22,2,5,2,70,507,22,2,1,1,2,0,0,1,0,0,70
201690009004,534,195,212,119,8,0,0,436,29,8,10,6,45,436,29,7,1,3,3,0,4,2,2,0,45
201690009005,488,220,164,101,3,0,0,402,30,3,6,4,43,402,30,3,2,1,3,2,0,0,0,0,43
201690009006,1005,499,279,219,8,0,0,793,76,4,17,5,110,793,76,4,1,2,4,7,2,1,0,2,110
201690010001,2288,1407,458,407,16,0,0,1959,73,9,12,17,218,1959,73,9,5,6,4,1,3,0,0,0,218
201690010002,1138,700,241,191,6,0,0,969,28,11,14,12,104,969,28,11,2,3,2,5,2,2,2,0,104
201690010003,848,565,134,140,9,0,0,735,14,2,3,6,88,735,14,2,2,1,0,0,4,0,2,0,88
201690011001,688,445,144,93,6,0,0,599,14,0,8,5,62,599,14,0,4,1,2,3,1,0,2,0,62
201690011002,846,511,214,111,10,0,0,735,18,0,6,11,76,735,18,0,3,0,0,6,0,0,0,2,76
201690011003,747,474,183,84,6,0,0,657,17,0,8,4,61,657,17,0,0,3,0,0,3,5,0,0,61
201690011004,635,374,163,91,7,0,0,548,32,0,5,6,44,548,32,0,0,3,0,1,2,1,0,0,44
201690012001,926,622,201,96,7,0,0,781,28,1,13,8,95,781,28,1,2,5,0,3,6,3,2,0,95
201690012002,557,341,124,86,6,0,0,510,5,0,1,1,40,510,5,0,0,0,0,0,1,0,0,0,40
201690012003,727,422,213,89,3,0,0,654,7,0,6,2,58,654,7,0,0,1,1,1,1,3,0,1,58
201690012004,409,243,108,55,3,0,0,352,7,0,2,2,46,352,7,0,2,0,1,0,0,0,1,0,46
200719581001,446,372,46,26,2,0,0,381,25,0,3,7,30,381,25,0,6,1,1,0,0,1,0,0,30
200719581002,324,278,33,13,0,0,0,271,21,0,3,2,27,271,21,0,1,1,2,0,0,0,0,0,27
201834758001,553,415,81,54,3,0,0,482,6,0,4,5,56,482,6,0,0,1,0,3,1,0,0,2,56
201834758002,721,547,88,82,4,0,0,640,3,1,4,3,70,640,3,1,0,0,0,1,0,2,1,0,70
201834759001,561,396,99,63,3,0,0,473,8,0,2,3,75,473,8,0,1,1,0,0,1,1,0,0,75
201834759002,758,553,106,97,2,0,0,684,6,0,1,2,65,684,6,0,1,1,0,0,0,0,0,0,65
201359563001,394,288,53,50,3,0,0,340,5,0,0,1,48,340,5,0,0,0,0,0,0,0,0,0,48
201359563002,580,426,90,59,5,0,0,512,7,0,0,12,49,512,7,0,9,0,0,0,0,0,0,0,49
201359563003,335,237,57,39,2,0,0,253,22,3,2,0,55,253,22,3,0,0,0,1,0,0,0,0,55
201359563004,605,434,91,77,3,0,0,464,2,1,1,14,123,464,2,1,2,1,0,0,0,0,0,0,123
201211001001,1160,659,300,191,10,0,0,1019,18,2,9,9,103,1019,18,2,2,1,1,2,7,1,2,0,103
201211001002,502,269,139,90,4,0,0,455,5,1,0,1,40,455,5,1,1,0,0,0,0,0,0,0,40
201211001003,3,3,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2
201211001004,1101,675,239,174,13,0,0,975,22,0,11,8,85,975,21,0,3,0,3,3,1,0,4,0,85
201211002001,1088,513,372,193,10,0,0,927,20,4,9,17,111,927,20,4,1,2,0,5,5,0,2,0,111
201211002002,681,366,184,123,8,0,0,602,17,2,0,0,60,602,17,2,0,0,0,0,0,0,0,0,60
201211002003,819,469,205,137,8,0,0,700,14,1,2,9,93,700,13,1,6,2,0,0,0,0,0,0,93
201211002004,790,511,156,119,4,0,0,708,12,0,7,4,59,708,12,0,0,1,2,1,0,0,3,0,59
201211003001,984,654,190,133,7,0,0,865,17,0,6,20,76,865,17,0,11,1,0,0,1,0,5,4,76
