BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_21,eth2_14,eth2_61,eth2_12,eth2_35,eth2_38,eth2_85,eth2_33,eth2_32,eth2_55,eth2_66,eth2_29,eth2_59,eth2_unk
290910903002,905,517,105,283,0,0,806,17,0,3,10,69,806,0,17,0,1,2,0,0,0,0,0,6,1,0,1,2,0,0,0,0,69
290910903003,1198,647,142,409,0,0,1091,9,1,6,17,74,1091,1,5,1,1,1,4,0,1,0,1,11,0,0,0,0,0,4,0,0,74
290910904001,703,374,77,252,0,0,662,14,0,0,2,25,662,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,25
290910904002,1080,569,142,369,0,0,973,15,0,7,4,81,973,0,15,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81
290910904003,690,340,70,280,0,0,599,8,0,1,1,81,599,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,81
290910904004,922,479,96,347,0,0,827,10,1,4,20,60,827,1,10,0,3,0,13,1,0,1,0,0,4,0,0,0,0,0,0,0,60
290910905001,1134,740,98,296,0,0,1030,12,1,13,8,70,1030,1,12,3,3,4,2,4,1,1,1,0,1,0,0,0,0,0,0,0,70
290910905002,838,594,73,171,0,0,761,11,0,4,4,58,761,0,11,1,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,58
290910905003,768,428,71,269,0,0,696,7,1,3,1,60,696,1,7,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,60
290910905004,600,335,80,185,0,0,537,13,0,1,2,47,537,0,13,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47
290910906001,1030,612,135,283,0,0,942,17,1,8,7,55,942,1,17,0,4,3,0,0,0,0,1,0,3,0,0,0,0,0,0,0,55
290910906002,800,449,82,269,0,0,713,12,0,3,8,64,713,0,12,0,1,1,1,0,0,2,0,0,0,0,2,0,0,0,0,1,64
290910906003,835,523,96,216,0,0,751,11,3,4,2,64,751,2,7,0,1,3,0,0,0,0,0,0,2,0,0,0,0,4,0,0,64
