BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_23,eth2_21,eth2_34,eth2_14,eth2_61,eth2_12,eth2_38,eth2_35,eth2_15,eth2_55,eth2_59,eth2_unk
190834802001,515,194,144,169,6,2,0,0,423,23,1,4,5,59,423,23,1,2,1,0,1,2,1,0,0,0,1,0,0,0,59
190834802002,402,156,116,123,4,3,0,0,346,10,0,2,2,42,346,10,0,0,0,0,0,1,0,0,2,1,0,0,0,0,42
190834802003,465,166,163,134,2,0,0,0,379,8,0,3,5,70,379,8,0,1,2,1,1,2,0,0,0,1,0,0,0,0,70
190834803001,669,270,195,203,1,0,0,0,562,23,2,1,2,79,562,23,2,0,1,1,0,0,0,0,0,0,0,0,1,0,79
190834803002,772,291,207,268,6,0,0,0,626,14,0,14,14,104,626,14,0,2,6,7,2,5,2,0,1,0,0,0,0,0,104
190834803003,704,322,180,196,6,0,0,0,585,14,0,5,11,89,585,14,0,3,2,1,1,6,0,0,0,2,0,0,0,0,89
190834803004,411,133,119,159,0,0,0,0,317,17,9,9,10,49,317,17,9,7,2,1,0,4,1,0,0,2,0,0,0,0,49
190834804001,520,251,115,150,3,1,0,0,427,2,0,2,4,85,427,2,0,1,2,1,0,2,0,0,0,0,0,0,0,0,85
190834804002,745,297,190,252,6,0,0,0,622,22,0,1,7,93,622,22,0,0,3,0,1,1,0,0,0,0,0,0,2,0,93
190834804003,662,337,121,202,2,0,0,0,564,8,0,4,1,85,564,7,0,2,0,0,0,0,1,0,0,0,0,0,0,0,85
190834805001,459,255,77,124,3,0,0,0,385,7,0,3,6,58,385,5,0,1,4,0,0,0,2,0,0,1,0,0,0,0,58
190834805002,432,229,81,122,0,0,0,0,376,3,0,2,4,47,376,3,0,1,3,0,0,0,1,0,0,0,1,0,0,0,47
190834805003,588,283,113,187,2,3,0,0,490,9,0,1,4,84,490,9,0,1,3,0,0,1,0,0,0,0,0,0,0,0,84
