BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_21,eth2_23,eth2_81,eth2_14,eth2_34,eth2_12,eth2_32,eth2_unk
401430094014,1233,724,327,172,10,0,0,1129,20,8,3,5,68,1129,20,8,0,1,0,2,3,1,0,0,0,68
401430094031,741,460,180,96,5,0,0,651,20,1,8,10,51,651,19,1,4,3,1,2,1,0,2,0,0,51
401430094032,1194,711,321,148,14,0,0,1095,36,2,10,1,50,1095,36,2,2,1,0,1,0,4,0,3,0,50
401430094041,829,524,178,119,8,0,0,739,20,5,2,6,57,739,19,5,0,0,0,2,0,0,0,0,0,57
401430094042,575,393,122,55,5,0,0,519,6,0,8,6,36,519,6,0,1,1,1,5,4,1,0,0,0,36
401430095001,698,446,136,107,9,0,0,641,10,0,6,5,36,641,10,0,1,1,1,1,0,0,0,2,0,36
401430095002,870,532,190,136,12,0,0,776,11,9,4,5,65,776,11,9,4,0,0,0,3,0,1,0,0,65
401430095003,802,490,179,122,11,0,0,739,13,1,2,8,39,739,11,1,1,1,0,0,1,1,2,0,0,39
401430095004,444,252,118,72,2,0,0,392,10,9,0,1,32,392,10,9,0,1,0,0,0,0,0,0,0,32
401430113001,538,196,227,108,7,0,0,381,72,51,0,5,29,381,71,51,0,2,0,0,0,0,2,0,0,29
401430113002,218,64,98,54,2,0,0,124,10,64,3,0,17,124,10,64,0,0,0,1,0,2,0,0,0,17
401430114001,596,27,471,97,1,0,0,84,19,470,1,7,15,84,19,470,0,3,0,1,0,0,0,0,0,15
401430114002,2041,87,1659,290,5,0,0,938,45,973,13,13,59,938,44,972,4,4,2,1,1,5,2,1,3,59
400399508001,278,93,100,80,5,0,0,160,81,9,3,7,18,160,81,9,0,0,0,1,7,2,0,0,0,18
400399508002,627,233,248,138,8,0,0,366,191,22,5,6,37,366,191,22,0,0,0,4,5,1,1,0,0,37
400399508003,342,167,142,33,0,0,0,220,27,70,2,0,23,220,27,70,1,0,0,0,0,0,0,0,0,23
400399604011,846,465,275,101,5,0,0,663,88,5,11,3,76,663,88,5,6,0,2,0,1,2,0,1,0,76
400399604012,521,328,125,66,2,0,0,430,40,0,3,5,43,430,40,0,2,0,0,1,0,0,3,0,0,43
400399604013,569,355,161,46,7,0,0,483,39,0,2,5,40,483,39,0,2,0,0,0,2,0,1,0,0,40
400399604021,278,122,92,64,0,0,0,198,58,2,5,5,10,198,58,2,3,0,1,1,2,0,1,0,0,10
400399604022,676,319,225,129,3,0,0,517,73,6,6,8,66,517,73,6,2,1,2,0,6,1,1,0,0,66
