BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_21,eth2_30,eth2_10,eth2_23,eth2_34,eth2_14,eth2_85,eth2_66,eth2_199,eth2_12,eth2_61,eth2_unk
220790124002,781,237,345,193,6,0,0,0,566,18,99,17,23,58,566,99,18,0,4,5,12,8,2,1,2,0,0,0,0,0,58
220790124003,757,202,349,204,2,0,0,0,477,38,97,38,49,58,477,96,38,1,3,10,38,5,23,0,0,4,0,0,0,0,58
220790125001,823,424,194,203,2,0,0,0,300,25,459,2,10,27,300,451,25,8,3,0,7,0,2,0,0,0,0,0,0,0,27
220790125002,867,543,152,166,6,0,0,0,237,11,568,5,17,29,237,556,11,12,5,0,11,2,3,0,0,1,0,0,0,0,29
220790125003,1552,1082,150,315,4,1,0,0,237,17,1239,5,9,45,237,1218,17,21,7,2,0,2,1,0,0,1,0,0,0,0,45
220790125004,502,323,55,122,2,0,0,0,97,14,370,3,3,15,97,356,14,14,3,0,0,0,1,0,0,0,0,0,0,0,15
220790126001,460,303,59,97,1,0,0,0,88,9,347,5,4,7,88,342,9,5,2,3,1,1,0,0,1,0,0,0,0,0,7
220790126002,754,280,257,211,5,1,0,0,420,39,222,12,13,48,420,219,39,3,5,6,1,0,3,1,3,2,0,0,0,0,48
220790127001,1076,747,76,252,1,0,0,0,87,4,974,2,1,8,87,957,4,17,0,0,1,0,0,0,1,0,0,0,0,0,8
220790127002,523,410,10,103,0,0,0,0,3,1,517,0,1,1,3,505,1,12,1,0,0,0,0,0,0,0,0,0,0,0,1
220790128001,739,573,30,136,0,0,0,0,34,3,691,4,5,2,34,686,3,5,3,0,1,1,3,0,0,0,0,0,0,0,2
220790129001,977,721,30,225,1,0,0,0,15,3,948,2,4,5,15,922,3,26,4,0,0,1,1,0,0,0,0,0,0,0,5
220790129002,518,387,22,109,0,0,0,0,3,1,508,0,5,1,3,501,1,7,2,0,3,0,0,0,0,0,0,0,0,0,1
220790130001,330,224,38,67,1,0,0,0,65,3,255,0,0,7,65,248,0,7,0,0,0,0,0,0,0,0,3,0,0,0,7
220790130002,1375,1094,41,239,1,0,0,0,15,2,1353,0,4,1,15,1341,2,12,4,0,0,0,0,0,0,0,0,0,0,0,1
220790131001,515,244,142,127,2,0,0,0,268,6,196,1,8,36,268,193,6,3,5,0,0,0,0,0,1,3,0,0,0,0,36
220790131002,819,406,161,248,3,1,0,0,353,15,395,1,13,42,353,383,14,12,8,0,0,1,0,0,0,4,1,0,0,0,42
220790132011,840,160,488,188,4,0,0,0,714,14,26,12,8,66,714,26,14,0,4,1,2,7,1,0,3,0,0,0,0,2,66
220790132012,810,249,343,214,4,0,0,0,536,19,200,8,12,35,536,197,19,3,7,4,4,0,2,0,1,0,0,0,1,1,35
220790132013,911,167,500,239,5,0,0,0,776,25,12,4,8,86,776,12,25,0,7,0,0,1,2,0,0,1,0,0,1,0,86
220790132014,957,177,520,252,6,2,0,0,803,24,37,2,20,71,803,37,23,0,10,0,2,0,1,0,0,3,1,0,0,0,71
220790132015,827,196,400,229,2,0,0,0,594,18,149,3,25,38,594,146,18,3,4,0,15,0,0,2,0,1,0,0,0,0,38
220790132021,1676,354,881,434,7,0,0,0,1401,35,79,6,27,128,1401,79,35,0,14,0,8,3,1,1,2,0,0,1,0,0,128
220790133001,1404,434,654,309,7,0,0,0,1000,32,244,5,12,111,1000,239,32,5,6,0,1,2,0,1,0,4,0,0,0,0,111
220790133002,262,168,28,64,2,0,0,0,55,2,197,0,3,5,55,195,2,2,2,0,1,0,0,0,0,0,0,0,0,0,5
220790133003,358,226,60,72,0,0,0,0,112,0,237,0,2,7,112,234,0,3,2,0,0,0,0,0,0,0,0,0,0,0,7
220790133004,972,295,437,231,7,2,0,0,668,22,204,1,7,70,668,200,22,4,2,0,2,0,0,0,1,3,0,0,0,0,70
220790133005,321,196,60,65,0,0,0,0,85,2,218,0,2,14,85,218,2,0,1,0,0,0,0,0,0,1,0,0,0,0,14
220790134001,1222,212,724,281,5,0,0,0,1026,31,31,6,9,119,1026,30,30,1,4,1,2,2,1,2,0,0,1,0,1,1,119
220790134002,1315,304,704,302,5,0,0,0,1052,28,128,8,22,77,1052,126,28,2,15,1,3,4,2,2,1,0,0,0,0,0,77
220790135011,997,180,571,242,4,0,0,0,834,60,12,6,11,74,834,12,60,0,7,0,0,1,0,0,1,1,0,0,1,3,74
220790135012,399,120,178,97,3,1,0,0,321,10,31,0,4,33,321,31,10,0,4,0,0,0,0,0,0,0,0,0,0,0,33
220790135013,732,200,368,162,2,0,0,0,594,30,34,6,8,60,594,34,30,0,6,1,0,1,0,0,0,0,0,0,0,0,60
220790135021,333,179,90,63,1,0,0,0,154,5,165,0,1,8,154,162,5,3,1,0,0,0,0,0,0,0,0,0,0,0,8
220790135022,1077,317,464,289,7,0,0,0,803,61,99,4,11,99,803,99,61,0,11,0,0,2,1,0,0,0,0,0,0,0,99
220790136001,875,191,467,213,4,0,0,0,770,12,0,3,9,81,770,0,11,0,8,0,0,1,1,0,1,0,1,0,0,0,81
220790136002,431,139,193,96,3,0,0,0,371,3,0,2,11,44,371,0,3,0,10,0,0,0,0,0,1,0,0,0,0,0,44
220790136003,608,241,231,133,3,0,0,0,513,27,0,3,18,47,513,0,27,0,17,0,0,1,0,0,2,0,0,0,0,0,47
