BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_grn,party_wkp,party_bar,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_10,eth2_30,eth2_23,eth2_14,eth2_34,eth2_21,eth2_32,eth2_12,eth2_85,eth2_29,eth2_35,eth2_55,eth2_66,eth2_33,eth2_61,eth2_99,eth2_38,eth2_26,eth2_19,eth2_59,eth2_18,eth2_unk
240338005182,1915,1586,78,229,15,2,0,0,1,4,0,117,57,1597,44,45,55,117,1592,54,15,32,16,3,3,1,1,2,2,6,0,1,3,0,0,5,0,0,4,0,0,55
240338005191,1330,1049,78,185,12,4,1,0,0,1,0,108,49,1078,50,12,33,108,1077,49,20,8,11,3,2,13,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,33
240338005192,929,621,147,148,7,0,0,0,0,6,0,306,63,449,36,24,51,306,449,63,7,16,18,2,3,3,0,3,2,0,0,2,0,0,1,0,0,3,0,0,0,51
240338005193,881,629,108,130,6,0,1,1,0,6,0,203,71,515,22,30,40,203,515,71,7,9,9,2,4,3,0,1,4,9,1,0,0,2,0,0,0,0,0,0,0,40
240338005201,1654,1402,40,185,5,4,2,1,0,15,0,90,61,1430,29,17,27,90,1428,61,9,10,8,2,1,3,0,6,4,1,0,0,0,1,0,2,0,0,0,0,0,27
240338005211,1718,1470,44,176,13,5,1,1,0,8,0,168,49,1421,25,10,45,168,1412,49,3,8,9,3,1,3,0,6,0,0,0,0,0,0,1,9,0,0,1,0,0,45
240338005212,1672,1502,47,112,5,1,0,1,0,4,0,62,48,1509,16,11,26,62,1506,46,2,6,10,1,1,0,1,3,0,0,1,0,2,1,0,3,0,0,0,0,0,26
240338005213,1438,1232,47,133,19,0,0,0,1,6,0,64,56,1255,21,15,27,64,1255,56,12,8,6,1,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,27
240338005214,2031,1763,47,202,15,1,0,1,0,2,0,180,38,1683,31,26,73,180,1680,38,6,10,9,5,2,0,2,7,1,9,1,0,0,0,0,3,0,0,0,0,0,73
240338005221,1255,1071,25,143,9,2,0,0,0,5,0,59,39,1109,13,20,15,59,1106,39,2,11,10,0,2,1,2,0,2,0,0,1,0,0,0,3,2,0,0,0,0,15
