BlockGroupID,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_23,eth2_30,eth2_10,eth2_21,eth2_99,eth2_34,eth2_14,eth2_unk
281099505042,855,433,372,50,0,0,0,661,35,17,7,10,125,661,16,35,2,0,1,0,1,1,2,125
281099505043,858,412,387,59,0,0,0,740,33,26,4,4,51,740,25,32,1,2,1,1,1,1,1,51
281099505051,391,161,215,13,0,2,0,330,11,12,1,3,34,330,11,11,0,2,0,0,1,1,1,34
281099505052,1116,576,473,66,0,1,0,819,42,120,7,10,118,819,119,42,2,1,3,1,1,2,1,118
281099505053,1261,595,567,97,0,2,0,1031,50,32,5,4,139,1031,30,50,0,1,2,2,2,2,0,139
281099505061,1687,681,905,99,0,2,0,1325,60,81,13,29,179,1325,79,57,5,12,6,2,2,5,0,179
281099505062,1592,698,748,145,0,1,0,1268,77,50,13,14,170,1268,47,77,0,4,4,3,3,2,4,170
281099506001,1108,592,424,91,0,1,0,853,43,91,11,7,103,853,91,43,4,5,1,2,0,1,2,103
281099506002,422,225,33,164,0,0,0,79,7,320,2,3,11,79,320,7,1,2,0,0,0,0,0,11
281099506003,700,289,359,51,0,1,0,566,27,35,2,16,54,566,34,27,0,11,0,1,1,1,0,54
281099506004,634,360,211,63,0,0,0,448,24,109,5,6,42,448,108,24,1,2,2,2,1,2,0,42
281099507011,510,318,159,33,0,0,0,376,22,47,4,4,57,376,44,22,1,2,1,1,3,0,0,57
281099507012,587,308,36,239,0,4,0,104,6,466,0,0,11,104,465,6,0,0,0,0,1,0,0,11
281099507013,972,547,243,178,0,4,0,465,34,390,5,4,74,465,389,34,2,2,1,1,1,0,0,74
281099507014,523,303,176,44,0,0,0,428,36,13,4,1,41,428,13,35,1,0,0,2,0,0,0,41
281099507021,1103,686,206,209,0,2,0,587,46,388,12,10,60,587,386,43,5,4,3,3,2,0,1,60
281099507022,464,268,10,184,0,2,0,20,8,428,3,1,4,20,425,8,1,1,1,0,3,0,1,4
281510001001,853,450,204,199,0,0,0,478,21,292,5,9,48,478,291,20,1,4,2,2,1,0,0,48
281510001002,481,223,40,218,0,0,0,141,4,312,2,0,22,141,312,4,0,0,0,0,0,0,2,22
281510002001,793,426,17,350,0,0,0,177,10,580,4,2,20,177,579,10,1,0,2,1,1,2,0,20
281510002002,427,211,102,114,0,0,0,230,3,163,3,3,25,230,163,3,0,1,1,0,0,1,2,25
281510003001,600,372,10,218,0,0,0,37,10,545,0,0,8,37,545,10,0,0,0,0,0,0,0,8
281510003002,892,523,25,344,0,0,0,75,11,789,4,1,12,75,789,11,3,1,1,0,0,0,0,12
281510003003,504,311,8,185,0,0,0,46,6,442,3,0,7,46,442,6,2,0,1,0,0,0,0,7
281510004001,241,184,5,52,0,0,0,19,1,216,2,1,2,19,216,1,0,0,0,0,0,1,2,2
281510004002,658,468,2,188,0,0,0,19,3,629,1,0,6,19,628,3,0,0,0,0,1,0,0,6
281510004003,337,229,0,108,0,0,0,7,2,324,2,0,2,7,324,2,1,0,0,0,0,0,1,2
281510004004,280,214,0,66,0,0,0,23,1,248,4,0,4,23,248,1,0,0,2,1,0,0,1,4
281510006001,204,142,0,62,0,0,0,6,3,189,1,0,5,6,189,3,0,0,1,0,0,0,0,5
281510006002,401,253,12,136,0,0,0,69,2,296,5,1,28,69,296,2,1,0,4,0,0,1,0,28
281510006003,339,207,3,129,0,0,0,13,3,316,3,1,3,13,316,3,1,1,1,0,0,0,1,3
281510006004,515,337,1,177,0,0,0,32,8,470,0,1,4,32,470,8,0,1,0,0,0,0,0,4
281510006005,280,170,0,110,0,0,0,13,2,258,6,0,1,13,257,2,0,0,5,1,1,0,0,1
281510007011,633,356,69,208,0,0,0,105,8,488,6,5,21,105,488,8,3,4,3,0,0,0,0,21
281510007012,772,451,102,219,0,0,0,190,11,542,5,2,22,190,542,10,2,1,2,0,0,1,1,22
281510007013,908,557,91,260,0,0,0,309,15,560,4,2,18,309,559,15,1,2,2,1,1,0,0,18
281510007021,126,86,25,15,0,0,0,90,3,18,0,3,12,90,18,3,0,3,0,0,0,0,0,12
281510007022,1153,456,385,312,0,0,0,606,16,420,27,21,63,606,419,16,12,17,13,0,1,0,2,63
281510007023,412,200,85,127,0,0,0,139,3,236,3,19,12,139,236,3,2,15,0,0,0,3,0,12
281510007024,390,180,92,118,0,0,0,245,5,115,4,5,16,245,115,4,4,3,0,0,0,0,0,16
281510008001,826,429,145,252,0,0,0,295,16,473,7,5,30,295,472,16,5,3,1,0,1,1,1,30
281510008002,1325,591,276,458,0,0,0,509,10,730,18,12,46,509,729,10,7,7,9,1,1,0,1,46
281510009001,511,301,25,185,0,0,0,51,4,448,1,0,7,51,448,4,1,0,0,0,0,0,0,7
281510009002,715,326,87,302,0,0,0,168,6,513,5,6,17,168,513,6,3,0,0,0,0,0,1,17
281510009003,515,308,80,127,0,0,0,115,4,381,6,0,9,115,381,4,4,0,1,0,0,0,1,9
281510010001,276,209,0,67,0,0,0,16,3,254,1,0,2,16,254,3,0,0,0,0,0,0,1,2
281510010002,449,297,12,140,0,0,0,37,5,393,4,1,9,37,392,5,1,0,2,0,1,1,1,9
281510011001,350,231,1,118,0,0,0,8,9,320,1,2,10,8,320,9,1,0,0,0,0,0,0,10
281510011002,509,318,0,191,0,0,0,22,6,474,0,1,6,22,472,6,0,0,0,0,2,0,0,6
281510012001,1035,599,23,413,0,0,0,180,5,817,1,1,31,180,816,5,1,0,0,0,1,0,0,31
281510012002,800,447,11,342,0,0,0,28,6,750,6,3,7,28,750,6,1,2,4,0,0,0,0,7
281510013001,624,402,4,218,0,0,0,30,5,572,3,1,13,30,571,5,1,1,0,0,1,0,2,13
281510013002,556,313,0,243,0,0,0,18,4,517,10,1,6,18,515,4,6,0,2,0,2,0,1,6
281510014001,438,276,58,104,0,0,0,151,7,266,6,0,8,151,266,7,5,0,0,1,0,0,0,8
281510014002,648,368,10,270,0,0,0,34,8,599,3,1,3,34,597,8,2,0,0,0,2,1,1,3
281510014003,953,594,47,312,0,0,0,54,6,879,6,1,7,54,878,6,4,0,1,0,1,1,0,7
281510014004,430,256,27,147,0,0,0,32,5,381,2,1,9,32,381,5,0,1,1,0,0,0,0,9
281510015001,438,270,100,68,0,0,0,295,11,99,3,3,27,295,99,11,1,2,1,0,0,0,1,27
281510015002,734,478,159,97,0,0,0,480,6,198,3,2,45,480,198,6,0,0,2,1,0,0,0,45
