BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_con,party_ain,party_scl,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_10,eth2_30,eth2_66,eth2_23,eth2_34,eth2_21,eth2_35,eth2_14,eth2_12,eth2_55,eth2_13,eth2_32,eth2_61,eth2_85,eth2_29,eth2_33,eth2_38,eth2_15,eth2_57,eth2_19,eth2_26,eth2_59,eth2_unk
250235202022,1601,1035,365,194,4,1,0,0,0,2,0,1326,79,8,25,24,139,1326,67,7,12,13,12,2,3,5,1,1,3,1,2,0,2,0,1,0,0,0,3,0,0,0,139
250235202023,1890,1203,469,211,3,1,1,0,0,2,0,1575,68,14,30,28,175,1575,58,14,9,9,10,7,5,6,11,2,1,2,0,0,0,1,0,0,0,1,0,4,0,0,175
250235211011,1327,900,240,164,9,2,1,1,0,10,0,1119,53,3,14,18,120,1119,52,3,5,9,1,1,1,3,2,0,4,2,0,0,0,0,0,0,0,0,0,0,1,3,120
250235211012,798,540,163,86,1,2,1,0,0,5,0,698,36,3,10,9,42,698,25,3,1,5,11,0,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
250235211013,1240,792,286,141,10,0,1,0,2,8,0,1047,46,11,12,23,101,1047,31,11,1,9,15,3,5,4,2,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,101
250235211021,959,606,217,120,5,0,0,1,0,10,0,804,46,5,12,14,78,804,33,5,6,4,13,2,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78
250235211022,1348,895,285,148,5,2,2,2,0,9,0,1163,50,6,15,16,98,1163,39,6,7,7,11,4,6,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,98
250235212011,832,507,217,94,7,0,0,1,0,6,0,655,41,10,9,10,107,655,34,10,3,4,7,3,1,1,2,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,107
250235212012,1147,759,252,115,5,1,1,1,0,13,0,969,54,11,11,22,80,969,46,11,5,6,8,1,4,2,4,1,1,2,0,0,0,2,0,0,0,0,0,0,1,0,80
250235212021,772,510,180,71,3,0,1,0,0,7,0,643,30,0,6,13,80,643,27,0,4,8,3,0,1,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,80
250235212022,576,391,122,54,3,0,0,0,0,6,0,484,26,5,5,4,52,484,23,5,0,1,3,1,0,4,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,52
250235212023,1539,1026,320,167,7,0,2,0,0,17,0,1337,44,0,7,19,132,1337,39,0,1,3,5,4,4,0,6,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,132
250235221011,1205,798,215,175,3,2,1,0,0,11,0,1013,63,12,6,12,99,1013,52,12,0,5,11,3,2,3,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,99
250235221012,663,457,108,94,1,0,1,1,0,1,0,583,22,0,5,13,40,583,19,0,2,3,3,0,1,2,1,1,0,6,0,0,0,2,0,0,0,0,0,0,0,0,40
250235221013,1516,983,306,207,11,1,1,1,0,6,0,1296,54,3,16,14,133,1296,48,3,0,0,6,6,8,3,4,1,5,1,0,0,0,0,1,0,0,0,0,0,1,0,133
250235221021,1673,1151,260,238,6,0,3,1,0,14,0,1466,55,1,12,23,116,1466,47,1,1,7,8,9,7,0,4,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,116
250235221022,952,628,138,172,5,0,0,2,0,7,0,852,19,0,5,9,67,852,15,0,1,0,4,1,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67
250235221023,1811,1164,353,275,8,0,1,1,0,9,0,1586,45,5,14,17,144,1586,42,5,1,3,3,8,4,0,3,2,1,5,2,1,0,0,0,0,0,0,0,0,0,1,144
250235231001,1451,978,266,189,5,0,1,0,1,11,0,1191,69,8,19,22,142,1191,55,8,12,8,14,0,2,6,5,0,0,4,0,0,0,0,3,0,0,1,0,0,0,0,142
250235231002,713,454,143,103,4,0,2,0,0,7,0,587,34,2,10,9,71,587,21,2,2,6,13,1,0,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
250235232011,882,556,187,117,8,2,3,0,0,9,0,748,40,3,5,13,73,748,26,3,2,5,14,0,3,0,2,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,73
250235232012,1207,789,245,164,5,0,0,0,0,4,0,998,64,13,4,22,106,998,53,13,4,11,11,0,1,0,2,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,106
250235232031,1271,880,217,156,3,1,1,0,0,13,0,1112,48,1,6,16,88,1112,37,1,1,7,11,0,3,2,3,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,88
250235232032,2025,1357,341,297,14,1,1,0,1,13,0,1736,94,3,28,31,133,1736,82,3,6,11,12,17,8,3,6,1,1,1,0,0,1,0,0,0,0,0,4,0,0,0,133
250235232041,1672,1048,346,256,9,0,1,0,0,12,0,1462,54,1,4,20,131,1462,44,1,1,8,10,2,3,0,4,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,131
250235232042,1185,753,244,168,3,0,2,1,0,14,0,993,49,15,7,19,102,993,38,15,1,10,11,2,1,0,0,4,0,2,0,1,0,1,2,0,2,0,0,0,0,0,102
250235241011,638,395,136,96,2,0,1,2,0,6,0,488,43,13,13,15,66,488,36,13,8,12,7,1,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66
250235241012,1699,1135,315,230,4,2,0,1,0,12,0,1383,103,12,9,34,158,1383,75,12,3,17,28,0,2,1,8,1,1,1,0,0,1,0,2,0,0,0,0,2,1,3,158
250235241021,1154,773,218,145,6,0,1,1,0,10,0,961,51,8,5,18,111,961,37,8,1,1,14,0,7,3,5,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,111
250235241022,1120,756,178,168,3,0,2,2,0,11,0,939,48,4,10,26,93,939,38,4,6,16,10,1,0,0,4,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,93
