BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_23,eth2_10,eth2_30,eth2_21,eth2_14,eth2_81,eth2_34,eth2_32,eth2_12,eth2_29,eth2_61,eth2_35,eth2_85,eth2_33,eth2_15,eth2_66,eth2_55,eth2_19,eth2_38,eth2_26,eth2_13,eth2_59,eth2_unk
132419701032,488,76,159,253,0,0,408,15,1,2,3,59,408,1,15,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59
132419702011,545,87,132,326,0,0,489,11,1,4,5,35,489,1,11,0,0,1,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
132419702012,1223,178,358,687,0,0,1079,47,10,14,8,65,1079,5,47,5,3,4,3,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,65
132419702013,561,81,242,238,0,0,438,53,11,3,5,51,438,10,53,1,0,0,1,0,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,51
132419702014,623,83,221,319,0,0,549,27,5,6,5,31,549,5,27,0,2,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
132419702021,834,129,294,411,0,0,715,30,19,13,4,53,715,19,30,0,9,2,0,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53
132419702022,692,87,202,403,0,0,629,17,5,1,7,33,629,1,17,4,1,0,0,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,33
132419702023,485,47,183,255,0,0,450,1,1,1,3,29,450,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
132419703021,1070,116,367,587,0,0,968,28,8,5,10,51,968,7,28,1,1,3,2,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
132419703031,958,127,221,610,0,0,840,41,3,4,7,63,840,3,39,0,0,2,2,0,2,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,63
132419703032,975,148,288,539,0,0,856,28,4,4,10,73,856,4,28,0,0,0,1,0,0,2,0,4,0,0,0,0,2,0,0,0,1,0,0,4,0,0,73
132419703041,402,46,86,270,0,0,350,3,1,2,3,43,350,0,3,1,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,43
132419703042,642,99,170,373,0,0,591,5,1,3,4,38,591,1,4,0,1,1,0,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,38
130630402021,1107,994,103,10,0,0,58,31,975,23,4,16,58,880,31,95,7,2,0,1,3,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,8,0,16
130630402022,900,698,183,19,0,0,56,38,668,102,6,30,56,607,38,61,2,49,1,12,9,3,0,0,0,0,0,0,0,2,7,0,0,6,0,0,15,0,30
