BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_34,eth2_30,eth2_23,eth2_10,eth2_unk
500239544001,588,340,135,113,0,0,516,10,0,1,6,55,516,10,0,2,0,1,55
500239544002,834,452,210,172,0,0,734,14,2,6,5,73,734,14,2,1,4,1,73
500239544003,1339,719,350,270,0,0,1187,15,4,6,10,117,1187,14,4,2,3,2,117
500239545001,846,415,196,235,0,0,749,15,1,7,11,63,749,11,4,3,0,1,63
500239545002,866,453,174,239,0,0,753,24,2,7,5,75,753,24,0,2,1,3,75
500239546001,925,615,193,117,0,0,779,25,0,14,8,99,779,22,2,4,1,4,99
500239546002,1142,743,278,121,0,0,974,19,3,12,11,123,974,18,4,2,6,2,123
500239547001,583,376,100,107,0,0,501,6,0,8,3,65,501,6,0,1,3,3,65
500239547002,694,516,120,58,0,0,593,11,2,6,13,69,593,10,3,4,3,2,69
500239548001,843,570,193,80,0,0,721,10,0,10,6,96,721,10,1,3,5,3,96
500239548002,819,550,205,64,0,0,661,22,2,11,16,107,661,22,3,3,4,4,107
500239549001,611,375,137,99,0,0,508,14,0,3,10,76,508,14,3,2,0,2,76
500239549002,812,485,207,120,0,0,683,13,0,14,9,93,683,12,4,3,4,4,93
500239550001,339,196,96,47,0,0,299,2,0,1,4,33,299,2,1,0,0,0,33
500239550002,1826,1108,331,387,0,0,1595,33,2,6,17,173,1595,33,6,2,1,3,173
500239551001,763,525,124,114,0,0,647,32,1,3,9,71,647,32,2,4,1,1,71
500239551002,1559,722,379,458,0,0,1384,30,0,7,15,123,1384,29,2,4,1,2,123
500239551003,588,314,150,124,0,0,510,14,3,2,8,51,510,14,1,3,0,1,51
500239551004,429,213,143,73,0,0,376,11,0,3,1,38,376,11,1,0,0,1,38
500239552001,550,303,143,104,0,0,487,11,0,4,6,42,487,11,2,2,2,0,42
500239552002,430,226,100,104,0,0,378,9,0,6,2,35,378,9,0,0,6,0,35
500239552003,385,242,74,69,0,0,322,12,0,6,8,37,322,12,2,1,1,5,37
500239552004,530,280,131,119,0,0,474,11,0,8,9,28,474,11,2,0,2,1,28
500239552005,335,207,64,64,0,0,295,9,0,4,3,24,295,9,0,0,3,0,24
500239552006,400,235,88,77,0,0,361,6,3,0,1,29,361,6,1,0,0,0,29
500239553001,1153,510,244,399,0,0,1013,27,0,3,18,92,1013,27,0,3,2,1,92
500239553002,1234,497,284,453,0,0,1088,12,0,3,14,117,1088,12,3,2,1,0,117
500239553003,684,280,183,221,0,0,619,10,1,0,7,47,619,10,2,1,0,0,47
500239554001,448,212,86,150,0,0,411,7,0,2,1,27,411,7,0,0,1,1,27
500239554002,862,439,210,213,0,0,766,14,0,2,7,73,766,12,1,1,1,0,73
500239554003,874,386,215,273,0,0,790,9,0,4,7,64,790,9,1,4,0,3,64
500239555011,571,272,163,136,0,0,511,5,0,3,2,50,511,5,0,1,1,0,50
500239555012,1016,519,253,244,0,0,899,22,0,9,10,76,899,21,3,1,0,5,76
500239555021,1070,506,282,282,0,0,946,23,1,4,11,85,946,23,6,2,0,0,85
500239555022,527,290,114,123,0,0,478,7,0,1,8,33,478,7,0,1,1,0,33
500239555023,636,283,209,144,0,0,538,28,2,7,5,56,538,26,4,1,1,5,56
500239556001,932,542,249,141,0,0,799,10,0,3,18,102,799,10,5,5,0,1,102
500239556002,502,258,169,75,0,0,426,16,1,2,8,49,426,16,4,0,1,1,49
500239557001,827,492,215,120,0,0,731,14,0,4,9,69,731,14,3,0,0,1,69
500239557002,1031,584,324,123,0,0,891,7,5,10,9,109,891,6,2,2,0,6,109
500239558001,191,85,85,21,0,0,160,2,0,1,5,23,160,2,2,1,0,0,23
500239558002,532,263,168,101,0,0,458,7,6,2,6,53,458,7,3,1,2,0,53
500019601001,773,425,161,187,0,0,684,10,0,4,7,68,684,10,3,3,1,1,68
500019601002,472,219,107,146,0,0,420,14,0,0,2,36,420,14,1,0,0,0,36
500019601003,1645,895,391,359,0,0,1452,31,0,8,11,143,1452,30,1,3,0,2,143
500019602001,579,293,151,135,0,0,503,9,0,2,6,59,503,8,0,0,0,1,59
500019602002,1574,845,328,401,0,0,1383,23,1,9,8,150,1383,23,2,1,4,0,150
500019603001,532,310,158,64,0,0,424,36,1,2,7,62,424,36,1,1,2,0,62
500019603002,1351,779,296,276,0,0,1165,16,4,2,14,150,1165,16,5,5,0,2,150
500019604001,1300,649,287,364,0,0,1154,15,0,12,10,109,1154,15,2,6,8,2,109
500019604002,999,468,255,276,0,0,865,17,0,5,10,102,865,15,2,1,1,2,102
500019604003,1000,441,225,334,0,0,862,26,0,2,8,102,862,24,4,1,0,2,102
500019604004,667,353,205,109,0,0,576,15,0,4,13,59,576,15,2,2,3,0,59
500019605001,1588,814,410,364,0,0,1396,27,3,10,9,143,1396,26,2,1,6,0,143
500019605002,798,477,170,151,0,0,677,16,0,9,6,90,677,15,4,0,0,2,90
500019605003,547,256,119,172,0,0,488,8,0,1,3,47,488,8,2,0,0,0,47
500019606001,1013,588,220,205,0,0,866,17,0,4,10,116,866,15,4,1,0,2,116
500019606002,526,328,107,91,0,0,460,8,0,5,7,46,460,7,2,2,1,4,46
500019606003,477,282,106,89,0,0,419,10,0,3,5,40,419,10,2,0,1,0,40
500019607001,654,391,125,138,0,0,588,3,1,4,3,55,588,3,0,3,1,2,55
500019607002,655,406,130,119,0,0,566,5,0,12,3,69,566,5,0,2,1,4,69
500019607003,1021,608,229,184,0,0,864,22,1,10,14,110,864,22,5,4,5,2,110
500019607004,521,304,115,102,0,0,444,13,2,11,5,46,444,12,3,2,0,0,46
500019608001,413,266,107,40,0,0,341,8,0,10,6,48,341,8,1,1,4,4,48
500019608002,977,540,281,156,0,0,823,17,2,18,13,104,823,16,1,3,6,10,104
500019608003,278,179,60,39,0,0,222,13,0,3,5,35,222,11,5,0,0,3,35
500019608004,921,528,317,76,0,0,639,64,9,51,30,128,639,64,5,12,15,21,128
500019609001,1272,697,277,298,0,0,1095,26,0,16,15,120,1095,26,8,3,3,4,120
500019609002,888,390,201,297,0,0,780,9,0,4,10,85,780,8,3,2,1,3,85
500019609003,845,457,161,227,0,0,749,16,0,5,5,70,749,16,2,3,2,0,70
500019609004,877,399,159,319,0,0,753,17,0,5,10,92,753,15,4,2,1,0,92
500019610001,890,430,189,271,0,0,776,19,0,19,6,70,776,19,1,0,0,8,70
500019610002,636,361,113,162,0,0,564,1,1,5,2,63,564,1,0,1,0,4,63
500130201001,758,398,183,177,0,0,656,7,0,1,4,90,656,7,1,1,0,0,90
500130201002,413,221,82,110,0,0,358,8,1,2,3,41,358,7,0,0,0,0,41
500130201003,785,349,216,220,0,0,668,10,0,4,6,97,668,10,3,2,0,0,97
500130201004,660,325,172,163,0,0,560,17,0,2,5,76,560,16,0,2,0,1,76
500130202001,673,339,165,169,0,0,560,9,0,3,9,92,560,9,3,2,0,2,92
500130202002,962,444,234,284,0,0,833,22,2,2,6,97,833,22,3,2,0,0,97
500130202003,572,306,117,149,0,0,507,13,0,4,2,46,507,13,0,1,0,1,46
500130202004,931,496,217,218,0,0,813,2,2,7,21,86,813,2,7,8,2,0,86
500259670001,1129,658,264,207,0,0,1001,15,0,4,7,102,1001,13,3,2,0,3,102
500259670002,848,516,198,134,0,0,723,23,1,12,12,77,723,21,4,6,4,7,77
500259670003,480,333,93,54,0,0,406,15,3,3,11,42,406,12,1,0,0,2,42
500259671001,294,154,54,86,0,0,267,0,0,1,3,23,267,0,1,0,0,1,23
500259671002,540,331,107,102,0,0,455,4,1,5,8,67,455,4,5,0,3,1,67
500259672001,629,371,150,108,0,0,556,5,1,3,5,59,556,5,2,2,1,0,59
500259672002,837,467,175,195,0,0,752,11,0,3,6,65,752,10,4,1,0,0,65
500259672003,955,513,228,214,0,0,840,21,3,10,9,72,840,20,1,3,3,5,72
500259673001,1052,510,301,241,0,0,869,15,1,5,11,151,869,13,8,0,1,1,151
500259673002,343,145,117,81,0,0,288,1,1,3,1,49,288,0,0,0,1,2,49
500259674001,216,118,57,41,0,0,176,7,2,1,2,28,176,7,1,0,0,0,28
500259674002,487,253,147,87,0,0,421,7,2,2,7,48,421,7,4,0,0,0,48
500259675001,301,131,88,82,0,0,245,2,0,1,4,49,245,2,0,1,0,1,49
500259675002,501,240,126,135,0,0,442,7,0,2,3,47,442,7,1,0,0,0,47
500259676001,860,505,232,123,0,0,751,10,1,5,7,86,751,10,2,4,3,1,86
500259676002,1533,969,284,280,0,0,1347,31,1,7,23,124,1347,28,10,9,4,3,124
500259676003,48,30,15,3,0,0,36,1,0,0,1,10,36,1,0,0,0,0,10
500259677001,866,527,202,137,0,0,743,9,0,8,14,92,743,9,7,2,3,1,92
500259677002,925,649,202,74,0,0,783,19,2,6,10,105,783,18,4,2,0,3,105
500259678001,977,591,249,137,0,0,853,24,1,3,10,86,853,22,2,6,0,1,86
500259678002,355,219,97,39,0,0,297,5,0,1,3,49,297,5,1,2,0,0,49
500259679001,478,240,121,117,0,0,403,9,11,1,0,54,403,9,0,0,0,1,54
500259679002,158,74,55,29,0,0,128,5,0,0,2,23,128,5,0,2,0,0,23
500259679003,533,233,182,118,0,0,442,11,1,6,3,70,442,11,2,1,4,2,70
500259680001,306,145,89,72,0,0,251,9,0,0,8,38,251,9,3,2,0,0,38
500259680002,717,376,193,148,0,0,602,32,0,4,9,70,602,32,2,3,1,1,70
500259680003,519,253,145,121,0,0,441,14,1,9,3,51,441,14,0,1,0,2,51
500259681001,288,123,80,85,0,0,256,4,1,0,1,26,256,4,1,0,0,0,26
500259681002,604,246,159,199,0,0,505,4,1,0,15,79,505,3,11,0,0,0,79
500259682001,545,284,108,153,0,0,490,2,2,0,4,47,490,2,2,0,0,0,47
500259682002,737,458,175,104,0,0,647,13,1,1,13,62,647,10,1,8,0,0,62
500259683001,659,383,151,125,0,0,563,7,0,4,7,78,563,7,3,2,1,0,78
500259683002,341,222,59,60,0,0,306,5,0,2,11,17,306,5,7,2,1,1,17
500259684001,846,530,178,138,0,0,724,21,2,5,20,74,724,20,4,6,2,3,74
500259684002,321,205,67,49,0,0,279,12,0,2,3,25,279,12,0,1,0,2,25
500259684003,657,375,171,111,0,0,557,7,3,13,12,65,557,7,8,3,2,5,65
500259684004,1519,908,359,252,0,0,1270,23,4,23,18,181,1270,22,3,7,8,9,181
500259685001,461,403,47,11,0,0,374,17,8,1,12,49,374,17,3,5,0,1,49
500259685002,1199,791,263,145,0,0,1000,40,9,17,20,113,1000,38,6,6,5,5,113
500259685003,486,323,117,46,0,0,395,14,3,4,7,63,395,14,4,0,2,0,63
500259685004,873,749,79,45,0,0,730,26,3,11,17,86,730,24,7,5,6,3,86
500259685005,1045,693,241,111,0,0,870,30,0,22,16,107,870,30,8,2,6,9,107
500259686001,729,498,173,58,0,0,600,20,0,10,14,85,600,20,6,4,3,1,85
500259686002,1011,586,268,157,0,0,835,23,0,39,18,96,835,23,5,5,14,23,96
500259687001,867,546,152,169,0,0,765,8,0,6,10,78,765,8,8,1,1,1,78
