BlockGroupID,total_reg,party_dem,party_rep,party_rin,party_lib,party_grn,party_cnt,party_slb,party_ref,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_10,eth2_23,eth2_21,eth2_14,eth2_34,eth2_61,eth2_12,eth2_32,eth2_38,eth2_unk
211599502022,1045,225,794,10,3,0,0,0,0,13,0,958,5,0,12,0,70,958,0,5,0,4,1,2,4,0,0,0,0,0,70
211599502023,223,55,158,2,1,0,0,0,0,7,0,205,1,1,1,1,14,205,1,1,1,0,1,0,0,0,0,0,0,0,14
211599502024,508,123,374,3,2,0,0,0,0,6,0,473,5,0,3,0,27,473,0,4,0,1,0,2,0,0,0,0,0,0,27
211599503001,1158,223,898,20,1,0,0,0,0,16,0,1089,4,1,18,6,40,1089,1,4,1,6,2,6,4,0,0,0,0,5,40
211030901001,1001,506,439,17,9,2,0,0,0,28,0,918,27,5,6,3,42,918,5,27,0,2,0,2,1,0,0,1,0,1,42
211030901002,670,356,265,23,6,0,1,0,0,19,0,622,14,0,7,5,22,622,0,13,2,3,0,2,0,0,3,2,0,0,22
211030901003,449,234,184,10,3,0,0,0,0,18,0,415,4,0,5,0,25,415,0,4,0,0,1,2,2,0,0,0,0,0,25
211030902001,801,420,323,27,3,0,1,0,0,27,0,733,9,15,4,4,36,733,15,9,3,0,0,1,2,1,0,1,0,0,36
211030902002,577,314,239,11,1,0,0,0,0,12,0,525,6,0,4,1,41,525,0,6,1,1,2,0,1,0,0,0,0,0,41
211030902003,1022,424,513,38,3,1,0,0,0,43,0,928,10,5,6,0,73,928,5,10,0,2,1,1,2,0,0,0,0,0,73
211030903011,1179,442,652,28,3,1,0,0,0,53,0,1068,22,3,7,5,74,1068,3,22,2,4,1,0,2,0,0,0,0,0,74
211030903012,1137,456,592,31,1,0,2,0,0,55,0,1042,22,2,4,6,61,1042,2,22,0,3,0,1,0,3,3,0,0,0,61
211030903021,582,284,262,13,1,0,0,0,0,22,0,532,6,9,6,0,29,532,9,6,0,3,1,0,1,0,0,0,0,0,29
211030903022,1316,718,519,31,5,0,0,0,0,43,0,1074,56,110,9,4,63,1074,110,55,0,2,4,0,2,2,0,0,0,0,63
211030903023,809,404,347,21,2,0,0,0,0,35,0,692,31,34,8,3,41,692,34,31,0,5,2,1,0,0,2,0,0,0,41
211030904001,605,371,204,14,0,0,0,0,0,16,0,573,8,0,1,0,23,573,0,8,0,1,0,0,0,0,0,0,0,0,23
211030904002,679,367,266,17,0,1,0,0,0,28,0,628,9,1,8,1,32,628,1,9,0,1,3,1,3,0,0,0,0,0,32
211030904003,784,425,311,18,3,0,0,0,0,27,0,697,21,3,4,4,55,697,3,21,1,2,0,1,1,1,0,0,0,0,55
211419601001,1040,471,488,24,4,0,0,0,0,53,0,976,14,7,4,3,36,976,7,14,0,1,1,2,0,0,0,0,0,1,36
211419601002,1257,607,534,46,12,0,1,0,0,57,0,1118,22,46,7,4,60,1118,46,22,0,3,1,3,0,0,0,0,0,1,60
211419601003,1217,620,490,44,6,0,0,0,0,57,0,1134,8,10,6,3,56,1134,10,8,1,4,1,0,1,1,0,0,0,0,56
211419602001,891,450,377,20,4,0,0,0,1,39,0,821,6,4,9,3,48,821,4,6,1,4,0,1,2,1,0,0,0,0,48
211419602002,463,225,197,13,4,0,0,0,0,24,0,436,4,1,2,0,20,436,1,4,0,1,1,0,0,0,0,0,0,0,20
211419602003,498,229,219,22,3,0,0,0,0,25,0,460,4,1,4,3,26,460,1,4,0,3,0,1,0,0,0,0,0,0,26
211419602004,536,267,227,16,4,0,0,0,0,22,0,480,5,1,6,2,42,480,1,5,1,1,1,3,1,1,0,0,0,0,42
211419603001,1173,586,516,34,1,0,0,0,0,36,0,1063,10,12,5,6,77,1063,12,10,4,3,0,2,0,0,0,0,0,0,77
211419603002,1552,823,606,42,4,1,1,0,0,75,0,1373,27,61,13,5,73,1373,60,27,0,3,3,3,4,3,1,0,0,0,73
211419603003,749,437,240,28,3,0,1,0,0,40,0,490,21,180,15,5,38,490,180,21,0,2,10,0,3,2,0,0,0,0,38
211419603004,414,280,87,17,1,0,0,0,1,28,0,207,14,180,2,0,11,207,180,14,0,0,0,0,2,0,0,0,0,0,11
211419604001,818,425,347,13,3,0,0,0,0,30,0,770,7,13,3,4,21,770,13,7,0,2,0,1,0,2,0,0,0,0,21
211419604002,860,426,342,34,4,1,0,0,0,53,0,770,13,27,6,1,43,770,27,13,0,2,1,1,1,0,0,0,1,0,43
211419604003,728,418,252,20,1,0,0,0,0,37,0,638,24,33,5,2,26,638,33,24,0,2,1,1,1,0,0,0,0,0,26
211419604004,686,400,226,25,2,0,0,0,0,33,0,585,11,48,3,1,38,585,48,11,1,0,0,2,0,0,0,1,0,0,38
211419605001,1539,810,631,41,5,0,0,0,0,52,0,1281,7,152,8,5,86,1281,150,7,1,2,0,4,2,3,0,0,0,0,86
211419605002,1007,576,378,17,3,0,0,0,0,33,0,903,12,34,14,8,36,903,34,12,6,3,8,1,1,1,0,1,0,0,36
211419605003,415,248,126,11,2,0,1,0,0,27,0,299,7,82,1,1,25,299,82,7,0,0,0,0,0,0,0,0,0,0,25
211419606001,666,403,220,11,2,0,0,0,0,30,0,567,16,45,5,2,31,567,45,16,0,1,1,1,2,1,0,0,0,0,31
211419606002,590,388,173,5,0,0,0,0,0,24,0,443,8,113,3,1,22,443,113,8,0,0,1,1,1,0,0,0,0,0,22
211419606003,543,303,214,9,0,0,0,0,0,17,0,493,6,4,5,2,33,493,4,6,0,3,0,0,2,0,0,0,0,0,33
211899301001,70,26,44,0,0,0,0,0,0,0,0,67,0,0,1,0,2,67,0,0,0,1,0,0,0,0,0,0,0,0,2
211899301002,201,56,139,1,0,0,0,0,0,5,0,188,1,0,2,0,10,188,0,1,0,0,1,1,0,0,0,0,0,0,10
211899301003,119,33,85,0,0,0,0,0,0,1,0,112,0,0,4,0,3,112,0,0,0,1,0,1,2,0,0,0,0,0,3
211899302001,267,55,205,3,0,0,0,0,0,4,0,256,1,0,1,1,8,256,0,1,0,0,0,0,0,0,0,1,0,1,8
211899302002,1501,437,1018,19,4,0,0,1,0,22,0,1405,18,8,9,1,60,1405,8,18,0,0,1,4,2,0,0,1,0,0,60
211779601001,865,571,239,23,3,0,0,0,0,29,0,790,6,15,6,0,48,790,15,6,0,1,2,1,2,0,0,0,0,0,48
211779602011,690,415,212,21,3,2,0,0,0,37,0,630,7,9,4,0,40,630,9,7,0,2,0,2,0,0,0,0,0,0,40
211779602012,526,336,155,13,0,0,0,0,0,22,0,482,5,2,5,2,30,482,2,5,0,1,4,0,0,0,0,0,1,0,30
211779602013,977,582,322,22,1,1,0,0,0,49,0,865,12,13,8,2,77,865,13,12,1,3,2,0,1,1,0,2,0,0,77
211779602021,662,434,185,7,1,0,0,0,0,35,0,614,5,8,5,0,30,614,8,5,0,1,3,0,1,0,0,0,0,0,30
211779602022,881,539,285,16,3,0,0,0,0,38,0,778,11,35,5,3,49,778,35,11,0,3,1,1,0,1,0,0,0,0,49
