BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_81,eth2_34,eth2_10,eth2_30,eth2_unk
300310016003,574,163,275,136,0,0,474,18,1,7,14,60,474,17,0,1,0,3,60
300310017001,989,477,268,244,0,0,834,20,0,7,13,115,834,17,0,6,3,1,115
300310017002,977,437,191,349,0,0,814,22,0,5,25,111,814,21,1,4,1,7,111
300310017003,1417,696,131,590,0,0,1175,16,2,14,17,193,1175,16,1,7,5,6,193
300330001001,804,488,228,88,0,0,669,3,0,1,1,130,669,3,0,0,1,1,130
300590001001,287,170,66,51,0,0,239,4,0,0,4,40,239,4,3,0,0,0,40
300590001002,401,227,111,63,0,0,329,0,0,4,4,64,329,0,0,1,0,0,64
300590001003,514,286,137,91,0,0,443,4,0,3,1,63,443,4,0,1,0,0,63
300290001011,513,237,181,95,0,0,426,20,1,2,7,57,426,20,0,4,1,2,57
300290001012,157,76,45,36,0,0,131,3,0,1,1,21,131,3,0,1,1,0,21
300290001021,1525,619,644,262,0,0,1263,26,2,4,21,209,1263,26,2,8,1,3,209
300290002011,796,433,228,135,0,0,644,5,0,4,10,133,644,5,0,3,1,2,133
300290002012,969,488,351,130,0,0,803,15,0,6,9,136,803,15,3,2,0,1,136
300290002013,898,490,194,214,0,0,780,16,0,0,12,90,780,16,0,10,0,0,90
300290002014,517,265,151,101,0,0,422,10,0,2,8,75,422,10,3,2,0,2,75
300290002021,1044,602,252,190,0,0,909,14,0,5,6,110,909,14,0,2,0,2,110
300290002022,1050,551,275,224,0,0,885,18,0,11,18,118,885,16,0,11,5,4,118
300290002031,653,346,203,104,0,0,558,13,0,1,7,74,558,13,0,3,0,0,74
300290002032,503,209,196,98,0,0,436,11,1,3,1,51,436,11,0,1,1,0,51
300290002033,455,220,123,112,0,0,399,8,0,3,4,41,399,8,0,3,3,0,41
300290002034,1493,648,538,307,0,0,1246,28,0,9,14,196,1246,25,0,6,1,2,196
300290003011,428,149,135,144,0,0,346,9,0,1,7,65,346,9,0,6,1,1,65
300290003012,1046,512,276,258,0,0,882,25,1,7,7,124,882,24,1,2,2,0,124
300290003013,812,189,390,233,0,0,672,17,0,9,10,104,672,17,0,4,3,2,104
300290003021,548,243,136,169,0,0,441,7,1,9,7,83,441,7,0,4,4,3,83
300290003022,900,453,176,271,0,0,761,7,0,5,5,122,761,7,0,0,2,2,122
300290004021,1054,471,249,334,0,0,862,26,0,7,8,151,862,26,0,1,4,0,151
300290004022,1081,430,297,354,0,0,904,25,1,6,9,136,904,20,0,2,2,2,136
300290004023,363,194,100,69,0,0,312,8,0,2,2,39,312,8,1,0,1,1,39
300290004031,1025,544,209,272,0,0,880,15,0,9,14,107,880,15,0,0,4,2,107
300290004032,788,386,204,198,0,0,670,15,1,10,8,84,670,14,0,2,2,0,84
300290004041,1099,506,292,301,0,0,941,19,0,9,14,116,941,19,0,6,5,1,116
300290004042,558,218,192,148,0,0,447,10,0,9,10,82,447,9,0,2,1,2,82
300290004043,776,422,137,217,0,0,651,8,0,5,6,106,651,8,0,1,0,2,106
300290006011,1487,875,237,375,0,0,1212,24,0,24,20,207,1212,24,5,8,10,4,207
300290006012,1470,961,62,447,0,0,1220,29,0,9,15,197,1220,29,0,1,5,7,197
300290006013,765,543,89,133,0,0,655,11,0,0,12,87,655,10,0,3,0,0,87
300290006021,880,504,150,226,0,0,737,17,0,7,8,111,737,17,0,1,3,2,111
300290006022,1253,784,236,233,0,0,1056,20,0,7,5,165,1056,20,0,1,3,0,165
