BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_rin,party_lib,party_mnt,party_ain,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_34,eth2_23,eth2_10,eth2_unk
540979669003,960,201,523,217,11,4,1,0,2,1,0,883,15,0,5,2,55,883,0,15,0,0,1,0,55
540979670001,477,106,245,114,8,3,0,0,0,1,0,449,2,0,0,0,26,449,0,2,0,0,0,0,26
540979670002,404,62,228,110,1,0,3,0,0,0,0,375,4,0,1,9,15,375,0,4,0,0,0,0,15
540979670003,1160,233,637,271,11,7,0,1,0,0,0,1060,4,0,1,13,82,1060,0,4,4,4,0,0,82
540979670004,530,119,270,119,18,4,0,0,0,0,0,479,2,1,1,5,42,479,1,2,1,3,0,1,42
540979671001,773,137,419,197,10,6,4,0,0,0,0,720,6,0,0,1,46,720,0,6,0,1,0,0,46
540979671002,737,129,430,163,9,5,1,0,0,0,0,691,1,0,2,3,40,691,0,1,0,2,1,0,40
540979671003,297,60,173,59,4,1,0,0,0,0,0,261,2,0,1,0,33,261,0,2,0,0,0,1,33
540979671004,358,65,208,77,1,6,1,0,0,0,0,324,4,0,1,2,27,324,0,4,1,0,0,0,27
541070001001,827,246,363,205,5,8,0,0,0,0,0,740,9,4,8,5,61,740,4,9,3,0,1,3,61
541070001002,1248,410,537,279,10,11,0,0,0,1,0,1107,29,4,5,19,84,1107,4,28,15,1,0,1,84
541070003001,1217,428,469,288,17,12,2,0,1,0,0,1106,19,6,6,8,72,1106,6,18,4,2,3,0,72
541070003002,308,91,116,90,3,8,0,0,0,0,0,264,6,8,1,4,25,264,8,6,2,0,0,0,25
541070004001,904,291,351,246,4,9,2,0,1,0,0,816,6,9,6,11,56,816,9,5,5,1,1,2,56
541070004002,668,227,296,135,7,3,0,0,0,0,0,619,1,1,3,6,38,619,1,1,3,0,0,1,38
541070005001,706,234,211,231,9,16,5,0,0,0,0,606,14,22,0,7,57,606,22,14,2,3,0,0,57
541070005002,714,233,264,195,9,11,1,0,1,0,0,635,11,2,6,6,54,635,2,10,3,0,3,1,54
541070005003,645,185,249,192,8,10,0,0,1,0,0,562,6,13,2,6,56,562,13,6,4,0,0,1,56
541070005004,432,152,114,155,2,8,0,0,0,1,0,374,4,13,4,4,33,374,13,4,1,0,0,0,33
541070007011,244,75,87,74,3,5,0,0,0,0,0,226,0,1,0,1,16,226,1,0,0,0,0,0,16
541070007012,534,182,167,168,9,8,0,0,0,0,0,461,8,11,2,5,47,461,11,8,5,0,0,0,47
541070007013,561,185,161,197,9,7,0,0,0,2,0,495,5,15,6,4,36,495,15,5,1,2,1,1,36
541070007021,530,177,192,157,3,1,0,0,0,0,0,488,7,2,2,5,26,488,2,7,1,1,1,0,26
541070007022,365,116,121,115,7,3,2,0,0,1,0,325,1,1,4,3,31,325,1,1,2,1,3,0,31
541070008011,701,198,289,200,6,7,1,0,0,0,0,636,8,0,4,0,53,636,0,8,0,0,0,3,53
541070008021,367,87,147,119,8,3,2,0,0,1,0,329,2,1,0,3,32,329,1,2,0,1,0,0,32
541070008022,742,225,276,230,6,4,1,0,0,0,0,671,9,1,6,2,53,671,1,9,2,0,1,3,53
541070008023,641,186,253,183,11,7,1,0,0,0,0,599,4,0,0,0,38,599,0,4,0,0,0,0,38
541070009011,1016,287,397,312,10,7,3,0,0,0,0,914,9,3,6,5,79,914,3,9,0,0,0,3,79
541070009021,462,140,173,130,6,10,3,0,0,0,0,407,1,0,2,1,51,407,0,1,0,1,0,0,51
541070009022,361,110,145,97,1,5,2,0,0,1,0,327,4,1,0,2,27,327,1,4,1,0,0,0,27
541070009031,963,257,434,250,11,8,3,0,0,0,0,866,12,12,5,3,65,866,12,12,1,2,1,1,65
541070009032,945,281,378,265,9,8,3,0,1,0,0,850,13,1,3,0,78,850,1,12,0,0,2,0,78
541070009033,531,175,243,104,4,2,1,0,0,2,0,490,4,2,3,1,31,490,2,4,0,0,1,1,31
541070101011,1413,325,703,357,16,10,2,0,0,0,0,1285,8,1,8,10,101,1285,1,7,7,0,3,3,101
541070101021,712,189,336,178,3,4,2,0,0,0,0,609,10,0,10,9,74,609,0,10,3,1,8,2,74
541070101022,587,182,224,166,3,8,4,0,0,0,0,532,8,3,2,3,39,532,3,8,0,0,1,1,39
541070102001,700,175,324,185,8,8,0,0,0,0,0,620,2,1,3,4,70,620,1,2,3,0,1,0,70
541070102002,487,158,183,129,9,8,0,0,0,0,0,430,4,1,3,6,43,430,1,4,2,0,1,0,43
541070102003,951,238,406,288,9,6,2,1,0,1,0,866,6,0,5,5,69,866,0,6,1,0,3,1,69
541070103001,1777,462,897,386,18,12,1,0,0,1,0,1539,22,2,33,29,152,1539,2,22,10,4,24,2,152
541070103002,1520,517,592,380,21,8,2,0,0,0,0,1370,10,1,13,11,115,1370,1,10,5,5,2,5,115
541070104001,575,150,291,125,7,0,1,0,0,1,0,513,6,0,8,11,37,513,0,5,7,3,3,3,37
541070104002,737,207,309,209,8,4,0,0,0,0,0,649,5,2,8,13,60,649,2,5,3,2,2,1,60
541070105011,462,139,188,120,8,4,1,1,0,1,0,426,0,0,2,11,23,426,0,0,4,3,0,0,23
541070105012,556,153,226,159,11,4,1,0,1,1,0,514,6,0,4,3,29,514,0,6,1,0,0,2,29
541070105021,852,275,395,168,7,6,0,0,1,0,0,775,10,2,1,6,58,775,2,10,3,1,0,1,58
541070105022,680,219,290,157,5,8,1,0,0,0,0,600,6,3,12,8,51,600,3,6,4,0,0,2,51
541070105023,1072,333,450,269,11,8,0,0,0,1,0,967,15,0,10,11,69,967,0,15,2,2,0,5,69
541070106011,592,162,250,160,17,3,0,0,0,0,0,529,4,1,0,3,55,529,1,4,2,0,0,0,55
541070106012,1240,269,588,356,15,10,2,0,0,0,0,1130,6,1,8,10,85,1130,1,6,3,2,3,0,85
541070106013,1037,254,488,280,10,4,1,0,0,0,0,964,8,2,1,5,57,964,2,8,4,0,0,1,57
541070106021,760,231,324,186,14,4,1,0,0,0,0,699,12,0,6,2,41,699,0,12,0,1,0,2,41
541070106022,1010,222,519,247,13,7,0,0,1,1,0,925,7,1,1,6,70,925,1,7,2,4,0,1,70
541070106023,652,168,306,160,7,7,3,0,1,0,0,589,1,0,7,1,54,589,0,1,1,0,0,0,54
541070106024,425,120,173,119,7,4,0,0,1,1,0,386,4,0,1,4,30,386,0,4,0,0,0,0,30
541070107031,520,107,292,112,2,7,0,0,0,0,0,483,4,0,1,2,30,483,0,4,2,0,1,0,30
541070107032,1190,301,574,299,9,5,1,0,0,1,0,1074,11,0,4,3,98,1074,0,11,1,1,0,1,98
541070107033,1466,391,680,351,29,11,2,0,0,2,0,1377,10,1,4,9,65,1377,1,10,4,3,0,1,65
541070107034,366,89,185,85,4,3,0,0,0,0,0,340,1,0,2,1,22,340,0,1,0,0,0,0,22
541070107041,823,236,337,238,7,5,0,0,0,0,0,750,4,1,7,4,57,750,1,4,0,2,0,0,57
541070107042,1188,283,606,277,11,9,1,0,1,0,0,1106,6,3,5,12,56,1106,3,6,3,8,1,2,56
541070107051,604,165,265,162,4,7,1,0,0,0,0,566,2,0,2,0,34,566,0,2,0,0,0,0,34
541070107052,726,199,358,159,5,5,0,0,0,0,0,662,5,0,6,2,51,662,0,5,2,0,1,4,51
541070107061,490,138,215,117,12,6,2,0,0,0,0,446,8,0,3,5,28,446,0,8,4,0,0,0,28
541070107062,1084,291,523,245,14,11,0,0,0,0,0,970,10,0,3,6,95,970,0,10,0,3,0,0,95
541070107063,535,143,218,157,9,7,0,0,0,1,0,492,3,1,1,1,37,492,1,3,1,0,0,0,37
541070108001,570,107,315,134,8,3,1,0,0,2,0,540,3,2,2,1,22,540,2,3,0,1,0,2,22
541070108002,534,107,278,137,5,4,1,0,0,2,0,501,3,0,2,1,27,501,0,3,1,0,0,1,27
541070108003,838,183,400,233,15,6,0,0,0,1,0,776,5,1,4,10,42,776,1,5,7,1,1,0,42
541070109011,988,251,472,241,11,11,2,0,0,0,0,908,7,0,4,8,61,908,0,7,5,3,2,2,61
541070109012,726,196,356,166,5,3,0,0,0,0,0,672,1,0,0,3,50,672,0,1,0,1,0,0,50
541070109013,839,218,415,185,16,1,1,0,0,3,0,768,3,0,10,5,53,768,0,3,5,0,2,4,53
541070109014,578,135,284,148,6,2,3,0,0,0,0,533,6,1,2,1,35,533,1,6,0,0,0,0,35
541070109021,861,205,449,191,4,9,2,0,0,1,0,791,8,0,2,3,57,791,0,8,3,0,0,1,57
541070109022,662,174,297,180,7,4,0,0,0,0,0,593,8,0,4,6,51,593,0,8,0,4,0,2,51
541070109023,770,177,335,228,18,6,3,0,2,1,0,709,7,1,3,0,50,709,1,7,0,0,2,0,50
541070110001,272,84,78,105,1,3,1,0,0,0,0,248,7,1,0,2,14,248,1,7,0,2,0,0,14
541070110002,294,101,99,85,7,1,1,0,0,0,0,251,2,1,2,5,33,251,1,2,3,0,1,0,33
541070110003,354,120,125,100,5,3,0,0,0,1,0,311,5,5,3,3,27,311,5,4,1,1,0,1,27
541070110004,630,197,249,165,12,6,0,0,0,1,0,571,5,1,2,3,48,571,1,5,3,0,0,2,48
540239694001,431,41,298,83,8,0,1,0,0,0,0,394,2,0,1,0,34,394,0,2,0,0,0,0,34
540239694002,568,72,347,142,4,3,0,0,0,0,0,511,0,0,2,5,50,511,0,0,4,0,0,0,50
