BlockGroupID,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_cnt,party_grn,party_rin,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_10,eth2_30,eth2_12,eth2_14,eth2_21,eth2_23,eth2_34,eth2_83,eth2_93,eth2_35,eth2_81,eth2_61,eth2_unk
490351120022,472,181,155,119,12,1,0,1,1,2,0,356,32,4,19,9,52,356,32,5,2,9,3,0,1,2,0,4,3,0,0,52
490351120023,577,150,194,193,26,9,0,2,1,2,0,450,46,2,15,10,54,450,46,3,2,4,3,0,2,1,0,2,0,0,1,54
490351120024,390,116,124,117,17,8,1,4,0,3,0,323,27,1,5,5,29,323,27,1,2,2,1,0,0,0,0,0,0,1,0,29
490351121011,161,37,68,43,8,3,0,0,2,0,0,123,17,0,5,2,14,123,15,3,2,1,1,0,0,0,0,0,0,0,0,14
490351121012,243,72,93,56,15,3,3,0,0,1,0,175,25,1,17,9,16,175,25,4,3,1,0,2,9,0,4,1,0,0,0,16
490351121013,350,87,123,119,12,7,0,0,1,1,0,236,50,2,12,19,31,236,50,5,9,1,3,1,0,4,1,2,2,0,0,31
490351121014,235,41,88,90,13,2,0,0,0,1,0,150,35,4,4,10,32,150,35,3,6,0,1,0,0,1,0,4,1,0,1,32
490351121021,895,457,280,122,22,9,2,0,1,2,0,748,43,0,17,7,80,748,43,4,2,10,0,1,0,2,0,0,3,0,0,80
490351121022,404,110,153,113,18,6,0,2,0,2,0,337,36,1,7,4,19,337,34,1,2,0,0,2,1,0,0,1,0,0,0,19
490351121023,315,108,114,76,12,3,1,1,0,0,0,243,25,0,9,7,31,243,25,4,2,2,0,0,1,0,0,0,0,1,0,31
490351121024,888,416,259,170,28,10,1,2,0,2,0,760,41,1,16,6,64,760,41,7,3,4,1,2,1,0,0,1,0,1,0,64
490351122011,1145,429,441,229,30,8,2,1,1,4,0,966,80,1,11,13,74,966,79,6,2,1,2,0,2,4,1,1,0,0,1,74
490351122012,1086,482,347,217,28,8,0,2,0,2,0,880,65,0,30,23,88,880,65,11,4,15,2,2,0,6,1,0,2,0,1,88
490351122013,661,273,223,131,27,3,3,0,0,1,0,534,54,3,23,6,41,534,53,4,1,1,3,2,8,0,2,3,0,1,0,41
490351122021,771,276,262,194,21,4,5,5,1,3,0,588,72,0,20,13,78,588,70,3,4,2,10,1,3,1,4,0,0,1,1,78
490351122022,645,214,262,130,26,7,3,1,1,1,0,508,60,0,15,12,50,508,59,7,9,4,3,0,1,1,0,0,0,0,0,50
490351122023,563,223,193,118,17,9,2,0,0,1,0,466,37,2,6,6,46,466,37,1,1,2,0,0,1,2,0,2,0,1,0,46
490351123011,307,91,94,101,13,7,0,1,0,0,0,254,20,0,3,10,20,254,19,2,2,0,0,0,1,3,1,0,0,2,0,20
490351123012,648,261,194,148,29,10,2,2,1,1,0,517,63,1,10,17,40,517,60,5,5,5,0,0,0,1,3,1,4,3,0,40
490351123013,968,465,309,158,23,8,3,2,0,0,0,798,44,2,39,22,63,798,44,20,7,7,2,6,3,8,2,2,1,0,1,63
490351123021,622,320,184,105,10,3,0,0,0,0,0,544,15,0,8,17,38,544,11,2,2,2,2,0,0,5,0,0,5,0,0,38
490351123022,451,200,154,84,7,4,0,0,0,2,0,380,24,1,9,4,33,380,24,2,0,3,0,0,2,2,0,1,0,1,0,33
490351123023,879,356,292,188,31,9,1,1,1,0,0,723,63,1,15,18,59,723,62,5,7,7,0,0,3,7,0,1,1,1,0,59
490351124021,503,144,193,136,18,3,4,1,0,4,0,390,58,0,9,1,45,390,56,2,0,6,1,0,0,0,0,0,0,1,0,45
490351124022,473,180,165,111,8,4,2,0,0,3,0,362,38,0,18,9,46,362,38,2,3,1,1,12,0,0,0,0,1,1,1,46
490351124023,837,288,297,213,26,8,1,0,0,4,0,622,114,1,12,14,74,622,114,4,5,5,1,1,0,2,2,1,1,1,0,74
490351124024,549,153,209,152,22,7,2,2,0,2,0,360,115,2,8,14,50,360,112,4,9,0,1,2,0,2,2,2,0,1,0,50
490351124041,187,44,65,61,7,9,0,0,0,1,0,140,22,4,2,3,16,140,22,1,0,0,0,0,1,0,1,4,1,0,0,16
490351124042,405,112,152,121,12,4,1,2,1,0,0,283,67,0,8,13,34,283,67,4,7,1,0,2,0,0,1,0,1,0,0,34
490351124043,638,213,202,177,27,7,3,4,0,5,0,478,65,2,5,15,73,478,64,2,5,1,0,1,1,2,4,2,1,1,0,73
490351124044,193,52,54,62,15,7,1,1,0,1,0,133,32,1,1,5,21,133,32,1,3,0,0,0,0,0,0,1,0,1,0,21
490351124051,1614,449,569,471,87,25,5,3,2,3,0,1175,174,2,60,47,156,1175,173,16,26,8,9,8,11,4,7,2,1,0,1,156
