BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_lib,party_cnt,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_99,eth2_64,eth2_93,eth2_81,eth2_23,eth2_10,eth2_30,eth2_21,eth2_34,eth2_14,eth2_12,eth2_35,eth2_32,eth2_61,eth2_66,eth2_55,eth2_29,eth2_85,eth2_15,eth2_33,eth2_38,eth2_26,eth2_59,eth2_19,eth2_unk
370510034032,89,19,36,31,2,1,0,0,0,45,23,9,4,1,7,45,8,23,1,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7
370510034033,238,57,121,54,6,0,0,0,0,104,71,42,2,5,14,104,38,71,4,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,14
370510034041,50,4,21,23,2,0,0,0,0,31,7,2,0,0,10,31,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
370510034042,5,1,4,0,0,0,0,0,0,0,1,4,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370510034081,300,89,132,68,9,0,2,0,0,118,76,68,4,1,33,118,61,76,7,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
370510034082,306,88,110,102,5,1,0,0,0,142,45,81,5,7,26,142,66,45,15,3,1,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
370510034083,109,28,47,34,0,0,0,0,0,52,21,19,1,1,15,52,16,21,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
370510034091,624,110,295,199,16,2,2,0,0,333,112,114,19,10,36,333,104,111,10,2,1,5,4,4,0,7,2,0,0,1,1,0,0,2,0,1,0,0,0,0,36
370510034101,537,131,223,160,19,3,1,0,0,231,133,100,15,9,49,231,88,133,12,3,3,3,3,2,1,6,1,1,0,0,0,0,0,1,0,0,0,0,0,0,49
370510034102,37,8,13,14,2,0,0,0,0,20,5,8,0,2,2,20,6,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
370510035011,531,298,167,61,4,1,0,0,0,131,80,290,10,8,12,131,245,80,45,1,0,3,3,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
370510035012,308,170,100,37,1,0,0,0,0,63,34,196,5,4,6,63,172,34,24,2,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
370510035013,708,378,213,103,14,0,0,0,0,163,67,436,17,5,20,163,384,67,52,3,1,3,0,5,1,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,20
370510035021,339,223,83,32,1,0,0,0,0,32,34,268,2,2,1,32,235,34,33,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
370510035022,423,213,138,71,1,0,0,0,0,118,53,219,2,6,25,118,191,53,28,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25
370510036011,515,246,195,70,3,1,0,0,0,165,72,241,2,11,24,165,210,72,31,5,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,24
370510036012,361,213,101,46,0,1,0,0,0,79,27,239,4,2,10,79,218,27,21,1,0,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10
370510036013,320,151,101,66,1,0,1,0,0,112,22,173,1,6,6,112,147,22,26,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6
370510036021,262,126,97,36,2,0,1,0,0,85,23,141,3,1,9,85,121,23,20,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9
370510036022,231,112,71,46,2,0,0,0,0,82,26,111,3,4,5,82,103,26,8,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
370510036023,664,333,204,119,5,2,1,0,0,187,73,365,21,5,13,187,309,73,56,2,0,7,1,4,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13
370510037001,1372,475,447,440,9,1,0,0,0,754,102,431,17,21,47,754,384,102,47,7,1,4,4,4,3,7,0,0,0,1,0,0,1,2,0,1,0,0,0,0,47
370510037002,1099,295,368,426,8,2,0,0,0,674,82,262,19,21,41,674,219,82,43,6,1,3,0,2,8,9,2,0,1,2,0,1,0,3,0,0,0,2,0,0,41
370510037003,661,231,169,258,3,0,0,0,0,443,17,158,3,7,33,443,129,17,29,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
370510037004,1615,497,490,605,22,1,0,0,0,1013,86,408,16,20,72,1013,365,86,43,12,1,5,3,6,0,1,0,0,0,0,0,2,1,2,0,0,0,3,0,0,72
370510038001,568,410,122,34,1,1,0,0,0,31,21,499,2,11,4,31,442,21,57,9,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
370510038002,325,159,90,71,3,1,1,0,0,142,7,143,6,9,18,142,128,7,15,6,0,2,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,18
370510038003,471,340,112,19,0,0,0,0,0,34,23,406,0,5,3,34,361,23,45,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
370519801001,11,5,2,3,1,0,0,0,0,2,6,2,0,1,0,2,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370519802001,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
371759601001,600,120,253,219,7,1,0,0,0,552,10,10,2,4,22,552,10,10,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
371759601002,620,143,275,198,4,0,0,0,0,565,5,8,2,4,36,565,7,5,1,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,36
371759601003,973,231,396,338,8,0,0,0,0,813,31,54,11,9,55,813,52,31,2,3,0,2,2,7,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55
371759601004,667,155,302,209,1,0,0,0,0,516,22,79,1,4,45,516,74,22,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
371759602011,1209,371,520,312,6,0,0,0,0,965,23,157,2,9,53,965,143,23,14,5,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
