BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_21,eth2_34,eth2_23,eth2_15,eth2_14,eth2_12,eth2_61,eth2_55,eth2_38,eth2_35,eth2_59,eth2_81,eth2_32,eth2_85,eth2_33,eth2_19,eth2_29,eth2_13,eth2_18,eth2_66,eth2_unk
270799505002,578,190,197,191,0,0,427,42,0,7,9,93,427,42,0,2,4,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,93
270799505003,1277,583,199,495,0,0,978,22,0,8,25,244,978,22,0,0,0,0,21,2,0,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,244
270799506001,728,253,215,260,0,0,615,16,0,8,2,87,615,16,0,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,87
270799506002,596,321,116,159,0,0,493,7,1,3,8,84,493,7,1,0,1,1,2,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,84
270799506003,611,229,160,222,0,0,510,7,0,1,13,80,510,7,0,0,0,0,9,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,80
270799506004,876,488,126,262,0,0,702,4,0,4,17,149,702,4,0,1,2,0,14,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,149
271630701031,835,169,303,363,0,0,697,20,3,9,7,99,697,20,3,0,4,0,4,0,4,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,99
271630701032,483,190,89,204,0,0,385,5,0,7,4,82,385,5,0,1,3,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82
271630701033,1020,154,384,482,0,0,775,41,7,16,14,167,775,41,7,0,6,4,3,2,3,1,0,1,2,1,2,0,0,0,0,3,0,0,0,0,0,167
271630701034,760,338,158,264,0,0,579,23,4,19,5,130,579,23,4,1,9,3,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,130
271630701041,1042,499,163,380,0,0,846,18,1,18,11,148,846,18,1,0,6,1,3,7,2,0,2,3,1,1,0,0,0,0,0,3,0,0,0,0,0,148
271630701042,422,163,116,143,0,0,347,17,0,3,2,53,347,15,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,53
271630701043,541,106,220,215,0,0,445,10,1,3,9,73,445,10,1,4,2,0,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,73
271630701051,1558,890,278,390,0,0,1267,28,2,12,23,226,1267,28,2,2,1,1,12,6,0,1,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,226
271630701052,1120,576,217,327,0,0,897,8,1,15,23,176,897,8,1,8,5,0,10,3,0,1,6,0,4,0,0,0,1,0,0,0,0,0,0,0,0,176
271630701053,490,261,91,138,0,0,391,2,0,12,6,79,391,2,0,4,2,0,0,0,6,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79
271630701071,1192,593,247,352,0,0,946,20,6,18,14,188,946,18,6,5,8,3,4,0,0,3,2,2,0,1,0,0,0,1,0,1,0,0,2,0,2,188
271630701072,647,268,129,250,0,0,519,16,2,18,9,83,519,16,2,4,10,0,3,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83
271630701073,719,310,127,282,0,0,585,10,0,12,10,102,585,7,0,3,7,1,3,1,1,1,0,2,0,0,0,0,1,1,0,0,0,0,1,0,3,102
271630701081,755,386,159,210,0,0,609,18,2,12,2,112,609,18,2,0,4,4,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
271630701082,1329,582,233,514,0,0,1074,21,2,39,17,176,1074,21,2,1,15,3,6,5,11,0,2,0,1,2,2,4,1,0,0,0,0,0,2,1,0,176
271630701083,505,270,79,156,0,0,416,5,0,27,2,55,416,5,0,0,12,4,0,1,7,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,55
271630702041,889,491,196,202,0,0,720,15,0,16,21,117,720,14,0,4,8,1,7,2,2,2,1,4,0,2,2,0,0,0,0,2,0,0,0,0,1,117
271630702042,1523,765,264,494,0,0,1216,28,0,24,21,234,1216,28,0,1,8,7,14,3,2,2,1,0,2,0,1,0,0,0,3,0,0,0,1,0,0,234
271630702043,696,264,153,279,0,0,567,19,3,11,10,86,567,19,3,4,7,0,0,1,1,0,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,86
271630702044,484,293,89,102,0,0,409,5,0,6,6,58,409,5,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,58
271630702045,1384,677,250,457,0,0,1082,27,6,48,22,199,1082,27,6,5,18,7,2,15,4,2,0,6,4,0,1,0,0,2,1,0,0,0,1,0,0,199
271630702051,1076,571,223,282,0,0,897,19,1,12,19,128,897,19,1,6,6,0,6,1,2,0,3,0,0,3,0,4,0,0,0,0,0,0,0,0,0,128
271630702052,927,490,202,235,0,0,760,19,0,5,11,132,760,19,0,0,0,2,4,2,0,0,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,132
271630702053,1074,570,233,271,0,0,909,17,1,3,8,136,909,17,1,3,1,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136
271630702061,823,479,175,169,0,0,633,11,3,15,10,151,633,11,3,2,7,3,3,2,0,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,151
271630702062,889,488,209,192,0,0,731,12,0,10,17,119,731,12,0,4,7,0,4,0,0,2,1,0,0,1,2,4,0,1,0,0,0,0,0,0,0,119
271630702063,443,202,143,98,0,0,369,8,0,2,5,59,369,8,0,1,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,59
271630702064,556,213,213,130,0,0,473,2,1,9,11,60,473,2,1,6,2,1,2,0,0,3,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,60
