BlockGroupID,total_reg,party_npp,party_dem,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_23,eth2_34,eth2_66,eth2_93,eth2_35,eth2_21,eth2_14,eth2_12,eth2_unk
330151031001,977,358,227,392,0,0,806,35,1,12,24,99,806,29,7,3,1,3,6,1,9,1,2,5,99
330151031002,1968,702,486,780,0,0,1649,38,0,27,52,202,1649,32,17,12,3,10,6,0,21,5,4,3,202
330151031003,2309,860,566,883,0,0,1976,72,3,18,56,184,1976,62,21,8,6,14,10,3,13,0,1,3,184
330151031004,729,250,180,299,0,0,627,23,1,5,15,58,627,16,3,3,1,3,7,1,5,0,0,0,58
330151041011,1790,700,441,649,0,0,1489,67,2,13,36,183,1489,64,13,5,3,12,3,2,2,2,2,0,183
330151041012,1724,755,383,586,0,0,1498,29,0,19,31,147,1498,26,6,11,6,8,3,0,9,0,2,0,147
330151041021,796,303,144,349,0,0,693,15,0,3,16,69,693,12,3,1,0,0,3,0,8,0,0,0,69
330151041022,859,357,185,317,0,0,734,24,1,11,14,75,734,20,2,1,4,4,4,1,5,0,1,3,75
330151041023,1303,538,295,470,0,0,1122,34,3,4,14,126,1122,28,4,0,0,0,6,3,6,1,1,1,126
330151051001,782,300,216,266,0,0,694,15,0,3,7,63,694,12,2,1,0,1,3,0,4,1,0,1,63
330151051002,1483,599,297,587,0,0,1228,47,0,8,35,165,1228,42,15,1,1,8,5,0,5,3,1,2,165
330151051003,990,390,240,360,0,0,877,16,0,4,17,76,877,12,1,3,0,3,4,0,4,0,1,0,76
330151051004,1407,555,331,521,0,0,1224,26,2,7,12,136,1224,24,2,2,2,0,2,2,9,1,0,2,136
330151061011,2044,758,484,802,0,0,1629,66,1,74,66,208,1629,59,29,31,30,12,7,1,9,1,2,7,208
330151061012,1467,544,371,552,0,0,1141,42,0,76,49,159,1141,37,23,41,24,13,5,0,4,2,6,1,159
330151061013,1246,469,273,504,0,0,985,45,0,48,24,144,985,34,9,16,23,7,11,0,4,4,3,1,144
330151061014,848,276,239,333,0,0,726,20,0,7,18,77,726,17,5,0,4,2,3,0,7,2,0,1,77
330151061021,2176,819,517,840,0,0,1770,61,3,50,76,216,1770,57,26,23,19,17,4,3,14,1,3,3,216
330151061022,1674,665,388,621,0,0,1362,54,4,39,64,151,1362,50,35,18,8,5,4,4,12,5,4,2,151
330151061023,1392,504,329,559,0,0,1172,48,0,15,43,114,1172,39,23,6,3,7,9,0,9,0,3,2,114
330151062001,973,338,343,292,0,0,894,10,0,4,8,57,894,9,2,1,0,2,1,0,2,0,1,2,57
330151062002,602,204,225,173,0,0,529,9,0,14,6,44,529,4,2,10,0,1,5,0,1,0,2,1,44
330151062003,794,240,396,158,0,0,631,25,0,23,13,102,631,24,3,6,9,7,1,0,1,0,8,0,102
330151062004,1047,337,529,181,0,0,822,40,8,50,20,107,822,39,13,29,6,1,1,8,1,0,8,5,107
330151064001,1176,405,490,281,0,0,1007,18,1,15,18,117,1007,17,3,5,3,6,1,1,1,1,4,2,117
330151064002,1726,601,694,431,0,0,1468,36,2,43,23,154,1468,33,10,23,5,7,3,2,1,3,7,0,154
