BlockGroupID,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_30,eth2_10,eth2_34,eth2_93,eth2_23,eth2_21,eth2_14,eth2_unk
230010301004,607,162,211,207,27,0,0,0,546,11,0,4,2,44,546,11,1,0,1,0,2,0,1,44
230010301005,419,91,158,158,12,0,0,0,375,7,2,1,3,31,375,6,1,0,1,2,0,0,1,31
230010301006,483,148,181,141,13,0,0,0,430,13,1,3,4,32,430,13,2,1,0,1,1,1,0,32
230010302001,1247,348,466,391,42,0,0,0,1121,10,3,4,15,94,1121,10,4,3,3,3,1,0,0,94
230010302002,1428,436,498,434,60,0,0,0,1285,23,0,7,10,103,1285,21,0,1,3,0,0,3,1,103
230010302003,581,154,206,199,22,0,0,0,523,2,1,4,3,48,523,2,2,0,0,1,1,0,3,48
230010400001,849,256,301,243,49,0,0,0,788,6,0,3,7,45,788,6,2,2,3,0,0,0,1,45
230010400002,1046,313,353,327,53,0,0,0,925,12,0,6,11,92,925,9,4,2,1,0,3,0,1,92
230010400003,660,179,237,191,53,0,0,0,590,2,0,4,9,55,590,2,5,0,3,0,0,3,1,55
230010400004,840,245,272,279,44,0,0,0,747,13,0,5,8,67,747,13,0,1,2,0,0,0,2,67
230010410001,735,221,235,239,40,0,0,0,649,15,2,3,5,61,649,14,2,3,2,2,0,0,0,61
230010410002,683,185,248,223,27,0,0,0,624,1,0,1,6,51,624,1,2,0,1,0,0,0,1,51
230010410003,667,191,226,208,42,0,0,0,633,2,0,3,3,26,633,2,2,1,0,0,0,0,1,26
230010410004,461,132,166,135,28,0,0,0,430,7,0,0,2,22,430,6,1,0,0,0,0,0,0,22
230010410005,517,144,176,161,36,0,0,0,482,6,0,1,1,27,482,6,1,0,0,0,0,0,0,27
230010410006,446,113,148,157,28,0,0,0,412,4,0,1,4,25,412,4,2,0,1,0,1,0,0,25
230010410007,813,236,238,287,52,0,0,0,758,1,0,3,3,48,758,1,0,0,2,0,1,1,1,48
230010415001,778,191,279,261,47,0,0,0,723,4,0,3,2,46,723,3,2,3,0,0,0,0,0,46
230010415002,971,258,342,321,50,0,0,0,879,9,1,4,7,71,879,9,1,2,4,1,0,0,0,71
230010415003,734,180,230,279,44,1,0,0,674,8,0,4,4,44,674,8,1,3,0,0,1,0,0,44
230010415004,588,145,202,200,40,1,0,0,556,2,1,0,6,23,556,2,0,0,3,1,0,0,0,23
230010415005,1131,289,370,387,84,0,1,0,1045,13,0,5,3,65,1045,13,1,0,0,0,1,1,2,65
230010420001,721,183,276,246,16,0,0,0,645,8,0,4,4,60,645,8,1,2,0,0,1,0,0,60
230010420002,1169,269,383,482,35,0,0,0,1050,28,4,5,4,78,1050,28,1,3,0,4,0,0,2,78
230010420003,1472,396,505,521,50,0,0,0,1322,19,0,10,18,103,1322,16,3,1,1,0,0,2,3,103
