BlockGroupID,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_93,eth2_64,eth2_30,eth2_23,eth2_10,eth2_14,eth2_21,eth2_34,eth2_32,eth2_29,eth2_12,eth2_85,eth2_35,eth2_66,eth2_61,eth2_33,eth2_99,eth2_55,eth2_19,eth2_26,eth2_38,eth2_15,eth2_59,eth2_13,eth2_83,eth2_unk
511076107012,1971,966,786,219,0,0,1593,87,12,38,25,216,1593,11,87,16,8,18,5,4,6,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,216
511076107021,1755,848,630,277,0,0,1350,119,29,51,50,156,1350,29,118,28,20,9,8,3,11,0,1,4,2,0,1,1,4,0,0,2,0,1,0,1,4,0,156
511076107022,1466,767,491,208,0,0,1142,89,77,25,22,111,1142,77,89,4,7,9,1,5,3,1,0,3,4,0,0,2,0,0,7,0,0,0,0,0,0,1,111
511076107023,1098,514,452,132,0,0,888,39,4,32,26,109,888,4,35,13,5,22,2,1,10,0,1,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,109
511076107031,1297,641,508,148,0,0,1017,58,35,26,45,116,1017,35,58,24,7,3,8,0,5,1,1,3,6,0,0,3,0,0,3,1,0,0,2,0,0,2,116
511076107032,1646,755,715,176,0,0,1217,47,17,103,82,180,1217,17,47,44,55,25,10,6,8,15,6,2,0,2,0,0,0,0,3,0,0,0,4,1,0,0,180
511076107033,1112,522,482,108,0,0,921,44,4,19,23,101,921,4,41,7,8,8,3,0,5,0,0,0,2,1,3,6,0,0,2,0,0,0,0,0,0,0,101
511076108001,1906,819,878,209,0,0,1535,60,7,38,49,217,1535,7,58,22,15,12,6,0,15,0,2,3,1,3,2,3,0,0,0,2,0,0,0,0,0,0,217
511076108002,1091,541,430,120,0,0,930,41,1,8,16,95,930,1,41,5,0,4,2,1,1,2,0,1,0,2,0,2,0,0,0,0,0,0,0,2,0,1,95
511076108003,1436,755,472,209,0,0,1090,55,119,10,17,145,1090,119,55,9,4,2,1,3,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,145
511076108004,897,402,360,135,0,0,758,31,9,9,8,82,758,9,31,5,2,2,3,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,82
511076109001,856,476,234,146,0,0,626,40,73,9,25,83,626,72,39,12,3,3,2,0,4,0,3,1,0,1,1,0,0,1,4,0,0,1,0,0,0,0,83
511076109002,1014,481,394,139,0,0,730,34,97,18,33,102,730,97,32,10,12,1,0,1,9,3,1,3,0,5,2,1,0,0,2,1,0,0,0,2,0,0,102
511076110021,915,482,149,284,0,0,468,144,46,68,103,86,468,45,141,74,20,18,8,17,8,9,3,2,0,2,3,2,3,1,0,1,1,0,0,0,0,0,86
511076110022,980,559,171,250,0,0,539,119,49,66,109,98,539,47,118,79,23,21,3,17,8,3,7,0,1,1,1,0,0,2,4,0,0,0,0,0,0,0,98
511076110023,748,410,191,147,0,0,449,59,28,57,69,86,449,28,58,50,28,13,6,5,5,4,5,5,0,2,1,1,0,0,2,0,0,0,0,0,0,0,86
511076110041,2646,1494,718,434,0,0,1637,234,48,244,218,265,1637,46,232,118,108,68,29,25,37,15,20,7,13,2,2,0,5,2,3,1,3,1,0,0,1,0,265
511076110042,1098,657,280,161,0,0,683,91,28,95,100,101,683,26,89,57,52,23,5,9,8,7,12,0,6,0,2,2,6,2,0,0,0,0,0,0,0,1,101
511076110043,682,376,253,53,0,0,509,25,8,48,24,68,509,8,25,8,32,6,8,0,5,0,1,2,2,0,0,5,0,0,3,0,0,0,0,0,0,0,68
511076110044,1380,766,411,203,0,0,883,133,35,82,105,142,883,33,131,69,40,23,4,6,3,11,12,2,4,1,2,0,1,2,2,1,5,0,0,0,0,0,142
511076110051,1587,868,555,164,0,0,1069,75,20,139,133,151,1069,20,71,70,69,36,21,1,10,15,17,6,3,5,4,7,3,0,0,1,2,1,3,0,0,1,151
511076110052,894,505,168,221,0,0,552,101,20,35,86,100,552,20,101,49,14,10,4,4,13,5,5,2,1,4,0,0,3,0,1,1,0,0,0,0,0,0,100
511076110053,1245,742,347,156,0,0,755,88,24,128,121,129,755,24,88,72,60,31,17,12,10,9,14,8,0,1,0,3,1,0,2,0,0,2,0,5,0,2,129
511076110061,1667,980,424,263,0,0,838,118,30,276,194,211,838,30,114,126,187,28,21,23,14,12,23,4,6,2,4,0,6,0,1,0,3,1,0,1,1,1,211
511076110062,1627,931,507,189,0,0,1087,129,16,103,97,195,1087,16,127,54,37,38,10,9,11,5,6,6,4,0,2,2,5,0,3,2,0,1,0,2,0,0,195
511076110063,1070,601,300,169,0,0,573,92,54,106,143,102,573,53,91,98,53,30,12,5,5,12,16,2,1,1,1,0,3,1,1,2,0,0,1,0,1,2,102
511076110091,1207,715,362,130,0,0,689,80,23,185,137,93,689,23,80,71,85,36,32,25,10,20,19,2,0,4,0,8,1,0,0,1,0,1,1,0,2,0,93
511076110092,1359,812,348,199,0,0,780,80,18,166,165,150,780,18,80,102,75,44,22,19,11,15,14,3,5,5,0,2,2,0,5,3,0,1,0,0,0,0,150
511076110093,1166,755,309,102,0,0,635,68,30,149,134,150,635,29,66,85,61,38,28,10,5,15,4,5,3,5,2,1,9,1,3,1,2,0,0,4,0,0,150
511076110101,468,265,166,37,0,0,364,17,2,20,11,54,364,2,17,6,8,3,5,0,0,1,2,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,54
511076110102,1312,683,496,133,0,0,944,59,7,64,78,160,944,7,59,40,17,21,17,0,12,10,0,7,0,5,0,4,1,0,2,0,0,2,1,2,1,0,160
511076110111,1665,995,375,295,0,0,837,121,43,240,239,185,837,43,121,155,117,54,33,29,11,24,23,3,4,2,0,2,8,0,3,2,1,0,0,0,0,0,185
