GEOID20,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
22073000700,1340,1053,29,258,0,0,0,0,9,2,1325,2,2,0
22073000900,818,599,22,196,1,0,0,0,12,3,800,0,1,2
22073001100,1878,1405,46,425,1,1,0,0,17,2,1854,0,4,1
22073001400,1239,856,55,326,1,1,0,0,82,2,1144,1,4,6
22073001500,978,712,29,233,0,4,0,0,32,0,941,1,1,3
22073001700,2204,904,792,494,13,1,0,0,1110,36,894,55,28,81
22073005100,1504,292,846,355,10,1,0,0,1254,30,123,12,8,77
22073005201,2792,373,1792,611,16,0,0,0,2501,52,52,17,22,148
22073005203,1958,356,1089,502,11,0,0,0,1637,38,126,7,17,133
22073005204,3856,533,2416,893,13,1,0,0,3401,79,76,30,35,235
22073005303,1813,259,1022,517,13,2,0,0,1557,45,71,15,20,105
22073005304,2523,405,1424,675,14,5,0,0,2160,66,109,24,9,155
22073005305,2100,438,1130,517,12,3,0,0,1688,42,192,21,25,132
22073005306,1628,319,914,385,10,0,0,0,1372,35,100,13,16,92
22073005400,1113,324,437,339,11,2,0,0,785,27,251,3,3,44
