GEOID20,total_reg,party_rep,party_npp,party_dem,party_ain,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
49057200204,1783,707,607,358,74,21,2,3,0,1285,337,3,11,21,126
49057200301,1399,404,562,354,47,16,1,6,0,919,368,3,13,16,80
49057200302,1234,400,456,288,64,18,2,3,0,820,285,4,22,14,89
49057200400,484,112,204,128,28,9,0,2,0,295,143,4,7,4,31
49057200500,2365,810,866,530,113,25,5,5,0,1819,328,6,39,17,156
49057200600,1796,677,650,360,68,32,3,5,0,1437,184,5,29,12,129
49057200700,1487,518,540,318,73,23,5,5,0,1181,151,0,28,17,110
49057200800,1467,404,587,375,62,26,7,3,0,1017,312,5,18,14,101
49057200900,1188,301,483,312,60,19,4,4,0,841,219,11,12,9,96
49057201100,699,201,275,184,29,6,2,0,0,493,89,11,19,6,81
49057201200,497,106,203,132,36,7,3,5,0,255,177,20,7,9,29
49057201301,830,230,314,240,28,11,4,2,0,577,179,7,10,8,49
49057201302,978,234,384,287,46,19,1,3,0,628,244,6,15,9,76
49057201400,1681,629,568,407,41,15,9,5,0,1407,117,0,33,8,116
49057201500,2239,972,673,460,91,24,5,1,0,1894,101,3,29,32,180
49057201600,1412,493,539,278,64,22,1,6,0,1110,156,7,20,7,112
49057201700,893,294,345,191,41,14,2,4,0,611,205,3,9,5,60
49057201800,562,115,239,153,34,9,2,2,0,317,195,1,7,5,37
49057201900,1041,359,367,228,59,11,4,5,0,764,181,4,7,12,73
49057202000,2801,1458,769,471,75,19,2,4,0,2343,150,5,41,38,224
49057210101,2255,1306,621,250,56,13,2,2,0,1965,51,0,29,11,199
49057210102,2501,1381,693,319,80,21,1,5,0,2168,54,1,12,19,247
49057210201,2373,1357,673,227,75,23,3,6,0,2034,93,2,40,15,189
49057210203,1562,902,451,135,47,14,0,6,0,1366,63,0,11,9,113
49057210204,2374,1350,648,277,63,23,3,4,0,2047,127,2,24,11,163
