GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
53063014001,2495,1463,546,486,0,0,1899,253,21,41,35,246
53063014002,3685,1838,963,884,0,0,2853,293,33,59,87,360
53063014100,5057,1812,2288,957,0,0,4175,207,6,57,92,520
53063014200,2711,900,1364,447,0,0,2293,83,5,24,34,272
53063014300,2629,717,1381,531,0,0,2188,76,2,15,31,317
53063014400,3018,1419,980,619,0,0,2314,152,20,120,134,278
53063014500,1474,988,257,229,0,0,1160,84,52,23,27,128
53023970300,1743,492,975,276,0,0,1514,26,0,4,18,181
53061040100,3284,2025,705,554,0,0,2638,149,7,67,73,350
53061040200,2757,2012,394,351,0,0,1939,248,30,121,118,301
53061040300,2062,1267,386,409,0,0,1680,121,8,41,21,191
53061040400,2751,1609,451,691,0,0,2159,177,26,62,38,289
53061040500,1593,896,319,378,0,0,1242,102,5,47,40,157
53061040700,2573,1555,374,644,0,0,1940,170,27,69,59,308
53061040800,1958,1151,300,507,0,0,1508,107,15,56,48,224
53061040900,2192,1199,614,379,0,0,1715,105,8,105,48,211
53061041000,4029,2333,767,929,0,0,3027,299,31,136,91,445
53061041100,2982,1608,667,707,0,0,2126,277,35,120,104,320
53061041201,2183,1118,588,477,0,0,1437,209,20,201,92,224
53061041202,3314,1729,800,785,0,0,2220,346,57,200,143,348
53061041301,4263,2366,1158,739,0,0,3083,189,10,371,154,456
53061041303,2973,1518,767,688,0,0,1970,313,18,178,159,335
53061041304,2220,1231,625,364,0,0,1656,106,9,150,74,225
53061041400,3691,2155,857,679,0,0,2600,390,38,178,89,396
53061041500,1371,694,307,370,0,0,966,104,9,74,54,164
53061041601,3986,2001,1197,788,0,0,2684,295,52,385,178,392
53061041605,4080,2044,1144,892,0,0,2812,316,34,352,172,394
53061041606,3655,1911,750,994,0,0,2266,322,61,400,185,421
53061041607,2697,1412,835,450,0,0,1923,119,14,244,118,279
53061041609,2388,1242,750,396,0,0,1730,109,9,171,100,269
53061041610,2466,1273,671,522,0,0,1614,172,18,201,157,304
53061041701,3374,1779,682,913,0,0,2178,291,61,295,163,386
53061041703,4222,2189,997,1036,0,0,2423,374,49,669,264,443
53061041704,3662,1938,733,991,0,0,2438,295,51,326,130,422
53061041805,3522,1903,770,849,0,0,2149,404,62,334,188,385
53061041808,2348,1275,499,574,0,0,1508,277,25,177,130,231
53061041809,2696,1508,495,693,0,0,1657,322,91,172,131,323
53061041810,2428,1580,352,496,0,0,1491,329,80,144,124,260
53061041812,3423,1829,582,1012,0,0,1780,301,82,601,260,399
53061041813,1970,1076,331,563,0,0,1175,268,38,170,103,216
53061041814,2319,1401,424,494,0,0,1366,258,63,244,151,237
53061041815,1891,1040,299,552,0,0,1069,197,53,244,92,236
53061041816,2472,1288,493,691,0,0,1104,248,70,561,183,306
53061041901,3052,1557,672,823,0,0,1626,290,88,434,245,369
53061041904,2182,1362,352,468,0,0,1341,339,52,146,118,186
53061041905,2890,1720,524,646,0,0,1677,347,103,274,186,303
53061041906,1505,975,209,321,0,0,931,235,27,98,73,141
53061041907,1699,1014,349,336,0,0,1016,173,29,184,98,199
53061042001,4555,2619,1197,739,0,0,3240,225,19,489,163,419
53061042003,2507,1430,659,418,0,0,1808,125,9,184,123,258
53061042004,2898,1570,654,674,0,0,1826,150,43,419,148,312
53061042005,4066,2261,1168,637,0,0,2535,185,18,764,173,391
53061042006,2897,1544,512,841,0,0,1765,264,29,408,163,268
53061050101,2183,1276,524,383,0,0,1540,111,32,184,76,240
53061050102,3527,2049,582,896,0,0,2176,334,121,384,175,337
53061050200,3527,2070,969,488,0,0,2705,172,6,196,100,348
53061050300,4489,2767,1153,569,0,0,3615,135,9,173,86,471
53061050402,4107,2617,738,752,0,0,3141,185,36,242,132,371
53061050403,3021,1953,684,384,0,0,2376,132,14,125,73,301
53061050404,2255,1447,406,402,0,0,1578,172,42,139,87,237
53061050501,3259,2073,742,444,0,0,2642,98,2,127,60,330
53061050502,3233,2076,816,341,0,0,2618,102,3,139,70,301
53061050600,1014,535,352,127,0,0,767,25,3,73,38,108
53061050700,4566,2917,843,806,0,0,3467,207,47,245,111,489
53061050800,4746,2914,945,887,0,0,3384,287,56,407,137,475
53061050900,2054,1300,321,433,0,0,1312,172,61,178,108,223
53061051000,2868,1765,542,561,0,0,1909,241,49,207,140,322
53061051100,3004,1931,552,521,0,0,2009,283,42,225,127,318
53061051200,2903,1804,522,577,0,0,1922,289,34,261,118,279
53061051301,2484,1532,484,468,0,0,1637,165,42,213,128,299
53061051302,2360,1467,450,443,0,0,1663,168,42,170,70,247
53061051401,2183,1327,303,553,0,0,1259,259,79,223,138,225
53061051402,2369,1564,435,370,0,0,1340,215,58,325,151,280
53061051500,3200,1942,637,621,0,0,2056,272,78,299,158,337
53061051601,3052,1789,613,650,0,0,1875,272,67,347,138,353
53061051602,2816,1667,684,465,0,0,1997,187,31,213,107,281
53061051701,3448,1996,719,733,0,0,2080,293,87,428,216,344
53061051702,3168,1766,742,660,0,0,1732,231,112,537,223,333
