GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
08101000600,1270,508,540,188,11,6,4,0,608,550,8,8,12,84
08101000800,1740,683,769,239,18,9,8,0,681,920,6,8,12,113
08101000902,3625,1341,1508,711,29,6,9,0,1828,1507,17,30,41,202
08101000903,89,47,26,12,3,0,1,0,45,18,8,3,4,11
08101000904,2863,935,1239,654,22,1,4,0,1584,1026,2,31,34,186
08101000905,1298,540,489,223,24,7,7,0,656,488,17,15,8,114
08101001000,2528,956,1226,287,20,12,11,0,951,1377,6,13,29,152
08101001100,1541,600,767,144,11,3,7,0,515,937,5,6,6,72
08101001200,1142,417,590,114,5,3,4,0,333,740,2,6,4,57
08101001400,889,381,387,94,12,5,6,0,458,345,0,7,7,72
08101001500,1446,508,672,232,22,4,3,0,846,400,5,16,13,166
08101001600,1347,489,522,315,15,0,3,0,868,311,9,4,23,132
08101001700,3299,1094,1466,693,27,3,5,0,1864,1055,25,26,49,280
08101001800,1513,597,608,282,11,3,3,0,858,514,2,7,15,117
08101001900,918,368,371,157,11,1,4,0,487,331,9,5,15,71
08101002000,1734,689,800,207,15,3,7,0,685,855,22,8,17,147
08101002100,816,323,394,73,9,3,7,0,280,468,7,3,9,49
08101002200,998,371,454,137,13,9,6,0,417,488,4,7,13,69
08101002300,2227,825,1020,329,23,10,7,0,1014,1042,14,20,32,105
08101002400,1362,515,633,177,17,3,7,0,646,606,5,8,14,83
08101002500,1747,657,803,251,13,7,8,0,847,739,22,12,20,107
08101002600,1918,756,863,251,23,3,3,0,857,908,10,10,18,115
08101002700,3786,1314,1774,622,38,8,11,0,1762,1699,11,13,42,259
08101002801,3384,1074,1694,566,22,3,11,0,1472,1601,10,9,35,257
08101002802,2825,936,1223,616,21,7,5,0,1651,906,10,9,22,227
08101002804,3555,1292,707,1481,50,4,3,0,2850,314,4,18,42,327
08101002806,2852,1083,830,901,25,5,2,0,1912,603,10,16,60,251
08101002807,3406,1157,1394,815,19,1,8,0,1788,1275,7,42,40,254
08101002808,2387,732,960,672,10,4,2,0,1327,767,4,21,45,223
08101002901,1746,656,747,305,15,4,4,0,802,785,13,11,20,115
08101002906,3464,1237,736,1435,37,10,1,0,2597,470,5,33,36,323
08101002911,2269,872,451,909,22,5,2,0,1652,394,1,19,18,185
08101002912,950,400,277,258,6,7,1,0,583,261,2,15,9,80
08101002913,3155,1144,734,1235,28,4,1,0,2203,588,3,55,34,272
08101002914,2087,833,567,649,16,5,5,0,1334,547,5,25,24,152
08101002915,1670,681,411,543,22,4,7,0,1136,374,5,14,13,128
08101002916,1952,804,506,595,26,3,3,0,1356,406,2,11,22,155
08101002917,2146,816,545,750,24,2,3,0,1473,427,10,21,41,174
08101002919,3307,1242,1183,830,26,8,4,0,1853,1089,15,54,33,263
08101002920,1676,653,534,470,10,2,5,0,934,539,10,32,22,139
08101002921,2013,808,420,750,24,1,2,0,1404,402,2,21,16,168
08101002922,2269,895,419,916,22,1,4,0,1592,397,8,23,30,219
08101002923,1464,559,264,614,14,5,2,0,1067,211,4,22,24,136
08101003001,814,353,232,216,4,4,0,0,503,220,4,6,18,63
08101003004,2016,722,684,581,15,3,6,0,1285,447,6,48,47,183
08101003103,1339,433,605,283,9,1,3,0,629,602,1,7,17,83
08101003104,1752,629,614,490,10,2,1,0,1118,443,0,10,30,151
08101003105,2504,856,802,820,18,1,1,0,1648,602,0,12,53,189
08101003106,850,282,318,239,7,0,0,0,476,295,0,4,16,59
08101003200,2450,905,619,894,19,3,0,0,1643,568,0,12,21,206
08101003500,1183,437,525,182,16,4,9,0,625,454,6,12,9,77
08101003600,1324,473,513,313,10,2,2,0,632,567,3,13,10,99
