GEOID20,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
40131050801,2672,1720,554,379,19,0,0,2366,56,5,39,17,189
40131050802,1957,1229,433,286,9,0,0,1752,20,3,13,14,155
40125500200,1318,516,482,310,10,0,0,1040,53,101,13,16,95
40125500301,1631,717,586,313,15,0,0,1340,50,24,11,33,173
40125500302,1064,419,345,293,7,0,0,896,58,28,6,7,69
40125500400,1422,606,485,311,20,0,0,1226,51,22,9,13,101
40125500500,1835,872,571,375,17,0,0,1584,76,27,10,16,122
40125500600,1855,927,628,283,17,0,0,1631,63,14,11,17,119
40125500700,2030,1017,655,337,21,0,0,1718,91,19,23,31,148
40125500800,2614,1495,838,268,13,0,0,2323,55,15,31,14,176
40125500901,2719,1575,819,308,17,0,0,2419,63,8,21,20,188
40125500902,1370,881,325,158,6,0,0,1178,44,10,12,16,110
40125501003,2590,1545,623,399,23,0,0,2281,72,10,12,25,190
40125501004,2297,1366,596,323,12,0,0,2034,56,15,12,18,162
40125501005,2670,1518,702,427,23,0,0,2356,94,9,3,33,175
40125501006,1831,1106,459,249,17,0,0,1646,51,15,18,9,92
40125501101,3194,1734,1007,422,31,0,0,2772,74,44,21,27,256
40125501103,778,452,180,138,8,0,0,708,14,4,2,0,50
40125501104,2562,1420,691,423,28,0,0,2234,78,18,21,28,183
40125501105,920,535,247,132,6,0,0,838,10,5,1,7,59
40125501201,910,461,313,133,3,0,0,818,11,0,9,11,61
40125501300,1782,1055,484,225,18,0,0,1558,51,4,12,14,143
40077087100,1107,423,597,84,3,0,0,1003,13,4,3,7,77
40077087200,2723,1109,1340,264,10,0,0,2388,77,19,23,21,195
40077087300,1177,534,512,127,4,0,0,1071,32,4,3,6,61
40109100100,1583,434,781,354,14,0,0,1198,95,94,49,30,117
40109100201,1035,279,541,201,14,0,0,800,59,29,32,25,90
40109100202,797,179,408,199,11,0,0,552,84,62,36,6,57
40109100203,1207,289,625,282,11,0,0,863,129,61,51,21,82
40109100300,1905,577,970,344,14,0,0,1581,70,36,40,33,145
40109100400,992,40,815,134,3,0,0,109,29,828,4,5,17
40109100500,995,56,791,141,7,0,0,145,26,787,10,14,13
40109100800,1093,227,578,272,16,0,0,715,96,114,78,11,79
40109100900,884,243,461,174,6,0,0,716,60,21,26,7,54
40109101000,795,208,349,225,13,0,0,426,87,63,136,18,65
40109101100,479,90,271,109,9,0,0,317,35,73,12,4,38
40109101200,629,117,349,154,9,0,0,420,34,84,17,8,66
40109101300,1364,56,1147,156,5,0,0,115,32,1188,5,10,14
40109101400,541,29,433,75,4,0,0,68,15,437,3,8,10
40109101500,1011,150,670,181,10,0,0,357,35,540,24,6,49
40109101800,891,206,478,199,8,0,0,706,27,37,15,15,91
40109101900,1473,365,784,307,17,0,0,1094,119,64,54,14,128
40109102000,1454,347,745,348,14,0,0,1084,100,82,51,20,117
40109102100,1075,303,522,240,10,0,0,819,101,38,21,16,80
40109102200,846,201,404,228,13,0,0,593,152,20,22,8,51
40109102300,1198,243,614,324,17,0,0,822,166,72,22,17,99
40109102400,1159,238,596,314,11,0,0,681,275,72,33,25,73
40109102500,716,196,324,186,10,0,0,539,27,54,21,18,57
40109103200,695,196,315,173,11,0,0,504,42,60,29,14,46
40109103300,408,68,222,113,5,0,0,175,156,38,15,4,20
40109103900,709,168,312,217,12,0,0,313,306,54,8,4,24
40109104100,706,190,315,195,6,0,0,382,222,56,6,7,33
40109104200,379,78,194,104,3,0,0,129,228,4,5,4,9
40109104300,599,122,278,192,7,0,0,240,316,5,6,9,23
40109104400,602,102,305,186,9,0,0,190,367,7,6,8,24
40109104500,672,176,295,193,8,0,0,259,371,2,4,5,31
40109104600,225,47,115,63,0,0,0,103,100,1,2,2,17
40109104700,318,55,185,73,5,0,0,188,87,25,0,3,15
40109104800,570,128,263,177,2,0,0,277,241,10,3,2,37
40109104900,668,152,320,192,4,0,0,308,317,8,0,6,29
40109105000,544,136,257,147,4,0,0,238,265,4,9,6,22
40109105101,1124,293,585,229,17,0,0,698,50,215,42,26,93
40109105201,864,19,743,99,3,0,0,57,18,768,8,6,7
40109105202,642,26,535,79,2,0,0,65,13,543,4,10,7
40109105300,820,214,375,226,5,0,0,441,230,74,21,12,42
40109105400,418,99,188,128,3,0,0,219,150,14,2,3,30
40109105500,660,158,305,193,4,0,0,329,264,21,5,7,34
40109105600,974,191,496,280,7,0,0,424,457,35,14,6,38
40109105903,1212,422,512,265,13,0,0,843,141,90,27,23,88
40109105904,1420,376,650,372,22,0,0,917,213,117,61,24,88
40109105905,1077,324,491,248,14,0,0,698,169,89,31,21,69
40109105906,1239,359,574,296,10,0,0,888,179,36,21,24,91
40109105907,1277,405,538,326,8,0,0,820,264,68,45,15,65
40109106000,1691,296,1207,181,7,0,0,435,41,1112,12,14,77
40109106100,1855,178,1456,219,2,0,0,308,52,1435,12,13,35
40109106200,1113,80,914,116,3,0,0,183,20,865,8,12,25
40109106301,1343,171,893,270,9,0,0,330,97,847,19,15,35
40109106302,1921,257,1308,345,11,0,0,512,151,1135,31,26,66
40109106303,1541,520,677,321,23,0,0,1007,153,248,24,20,89
40109106401,1736,1063,451,215,7,0,0,1498,21,2,30,40,145
40109106402,1630,868,531,224,7,0,0,1372,45,10,43,25,135
40109106403,2936,1429,948,534,25,0,0,2416,114,45,62,59,240
40109106501,1918,817,784,306,11,0,0,1626,53,44,32,16,147
40109106502,2019,625,962,417,15,0,0,1506,90,107,111,35,170
40109106503,1106,466,451,182,7,0,0,887,42,29,23,35,90
40109106601,1667,577,739,335,16,0,0,1219,108,125,59,28,128
40109106602,1409,598,509,285,17,0,0,1071,117,71,34,21,95
40109106606,1132,440,449,231,12,0,0,901,98,14,32,13,74
40109106607,1747,680,679,375,13,0,0,1292,123,110,50,27,145
