GEOID20,total_reg,party_npp,party_rep,party_dem,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
47157021542,3118,1315,1439,364,0,0,2508,68,55,181,69,237
47157021543,2941,1347,537,1057,0,0,1120,82,1218,221,135,165
47157021544,1205,523,447,235,0,0,886,36,101,80,29,73
47157021545,2118,865,797,456,0,0,1435,55,299,105,58,166
47157021546,1569,742,278,549,0,0,610,47,711,90,53,58
47157021547,4090,1973,221,1896,0,0,434,77,3375,112,36,56
47157021548,1617,819,250,548,0,0,584,40,865,20,29,79
47157021611,5149,2098,2355,696,0,0,4238,147,243,94,58,369
47157021612,3291,1309,1630,352,0,0,2895,48,59,40,34,215
47157021613,3139,1252,1475,412,0,0,2629,108,55,70,45,232
47157021620,2203,1116,510,577,0,0,949,33,1074,42,18,87
47157021710,1178,795,39,344,0,0,127,13,1012,6,3,17
47157021721,2227,1477,39,711,0,0,214,61,1907,14,9,22
47157021724,1171,677,28,466,0,0,122,40,966,12,6,25
47157021725,1723,1268,35,420,0,0,157,49,1475,8,9,25
47157021731,1065,634,14,417,0,0,62,37,946,4,0,16
47157021744,3746,1811,155,1780,0,0,339,92,3221,31,20,43
47157021745,5894,2859,267,2768,0,0,616,165,4968,39,28,78
47157021746,2528,1392,72,1064,0,0,208,62,2198,22,5,33
47157021747,2151,1205,70,876,0,0,158,84,1866,9,16,18
47157021751,5134,2473,153,2508,0,0,366,95,4558,48,10,57
47157021752,3614,1721,105,1788,0,0,216,58,3264,25,11,40
47157021753,2109,1033,70,1006,0,0,155,80,1832,16,7,19
47157021754,2662,1404,83,1175,0,0,224,87,2286,28,11,26
47157021755,712,503,22,187,0,0,98,5,594,0,4,11
47157021756,1173,558,273,342,0,0,481,26,634,1,3,28
