GEOID20,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
39023002501,1610,353,486,768,0,2,0,0,1430,13,3,31,8,125
39023002502,2122,755,548,817,0,2,0,0,1893,21,7,14,18,169
39023002601,2600,926,452,1216,2,3,0,0,2346,18,10,14,11,201
39023002602,2814,1001,596,1212,3,2,0,0,2505,28,4,22,16,239
39023002605,2800,758,574,1457,1,10,0,0,2503,25,11,22,11,228
39023002607,2532,696,740,1088,0,8,0,0,2258,51,16,9,21,177
39023002608,2979,867,866,1238,0,8,0,0,2705,29,5,5,8,227
39023002701,1682,809,338,530,0,5,0,0,1480,78,0,7,14,103
39023002702,1500,636,266,595,0,2,0,0,1330,48,1,2,14,105
39023002800,3339,1060,666,1607,2,2,0,0,3021,50,1,9,26,232
39023002901,2001,1051,379,564,1,6,0,0,1762,62,7,12,16,142
39023002902,2647,1139,511,991,1,4,0,0,2362,75,5,11,25,169
39023003001,2241,708,515,1014,0,4,0,0,2022,45,7,15,16,136
39023003002,2772,956,603,1207,1,4,0,0,2473,28,8,4,16,243
39023003101,1519,588,327,601,1,2,0,0,1343,15,5,1,8,147
39023003102,1082,357,254,468,2,1,0,0,970,6,0,12,12,82
39023003200,1953,612,447,890,1,3,0,0,1736,15,13,9,11,169
39023003301,2504,867,515,1117,2,3,0,0,2266,17,3,7,23,188
39023003302,1552,544,305,696,0,7,0,0,1427,7,0,8,11,99
39023003400,1830,960,513,356,0,1,0,0,1548,25,86,8,16,147
39023003700,3151,1158,986,1003,0,4,0,0,2619,54,87,45,71,275
39107967200,2449,960,400,1086,3,0,0,0,2065,23,2,15,4,340
39107967300,2939,1103,368,1465,3,0,0,0,2498,34,1,9,4,393
39107967400,2875,1425,456,993,1,0,0,0,2418,63,4,20,8,362
39107967500,3673,1281,659,1728,2,3,0,0,3119,64,1,26,13,450
39107967600,2003,928,330,740,2,3,0,0,1703,48,1,12,16,223
39107967700,4363,1599,597,2164,0,3,0,0,3550,24,1,19,7,762
39107967800,1697,590,289,817,1,0,0,0,1446,15,5,4,11,216
39107967900,4755,1689,446,2619,0,1,0,0,3875,22,2,7,7,842
39107968000,3438,1353,239,1845,1,0,0,0,2774,25,0,29,4,606
39099800501,1356,369,955,32,0,0,0,0,185,263,851,6,10,41
39099800502,91,54,34,3,0,0,0,0,56,4,12,1,2,16
39099800600,844,224,610,10,0,0,0,0,87,219,520,0,4,14
39099801000,893,316,530,47,0,0,0,0,285,130,407,4,22,45
39099801100,1407,444,904,58,1,0,0,0,548,164,575,4,26,90
39099801200,928,385,469,73,0,1,0,0,524,128,165,2,34,75
39099801300,1182,584,486,111,0,1,0,0,833,91,97,4,32,125
39099801400,1360,526,626,206,2,0,0,0,1058,64,19,5,52,162
39099801500,1199,387,685,126,0,1,0,0,698,83,294,6,24,94
39099801600,1543,374,1124,44,0,1,0,0,317,145,1001,11,23,46
39099801700,596,196,379,21,0,0,0,0,182,96,267,1,12,38
39099802100,699,98,589,12,0,0,0,0,59,46,570,2,5,17
39099802300,601,71,520,10,0,0,0,0,40,38,503,2,7,11
39099802400,1739,203,1484,52,0,0,0,0,192,98,1371,8,16,54
39099802500,1049,152,860,37,0,0,0,0,197,51,752,2,11,36
39099802600,1059,404,539,115,0,1,0,0,748,54,58,5,52,142
39099802701,2267,724,1177,364,0,2,0,0,1716,107,41,16,59,328
39099802702,2121,595,1189,336,0,1,0,0,1603,101,58,14,63,282
39099802800,1715,664,824,226,1,0,0,0,1257,107,81,6,46,218
39099802900,1307,597,590,120,0,0,0,0,868,89,174,7,27,142
39099803000,1135,480,516,137,1,1,0,0,786,81,88,5,28,147
39099804000,1178,491,640,47,0,0,0,0,531,52,451,13,24,107
39099804100,936,109,747,77,0,3,0,0,224,46,616,5,11,34
39099804200,1425,235,1117,72,0,1,0,0,445,49,812,12,25,82
39099804300,566,151,391,24,0,0,0,0,171,49,312,3,5,26
39099810100,2985,1138,1433,413,1,0,0,0,1763,491,83,14,115,519
39099810200,1346,462,762,122,0,0,0,0,673,283,237,9,19,125
39099810300,999,384,562,53,0,0,0,0,303,218,392,4,18,64
39099810600,1645,757,720,167,1,0,0,0,1168,116,29,8,47,277
