FULLCODE,total_reg,party_dem,party_npp,party_rep,party_grn,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
23005017305,3618,1342,1161,1012,102,1,0,0,3057,60,5,107,73,316
23005017306,3865,1253,1332,1168,112,0,0,0,3320,52,4,64,73,352
23005017307,2187,840,695,591,61,0,0,0,1902,36,0,16,23,210
23005017308,3985,1780,1152,980,72,0,1,0,3410,64,6,61,53,391
23005990000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23011010100,3940,1412,1204,1162,161,0,1,0,3495,65,2,36,42,300
23011010200,2983,1017,959,881,126,0,0,0,2629,46,7,34,37,230
23011010300,2366,901,753,603,107,2,0,0,2066,58,4,15,38,185
23011010400,1816,758,503,496,59,0,0,0,1588,31,6,27,31,133
23011010500,3062,1105,947,882,128,0,0,0,2674,62,11,32,28,255
23011010601,3552,1000,1164,1244,144,0,0,0,3210,39,3,11,31,258
23011010602,2066,571,747,661,87,0,0,0,1860,10,1,7,26,162
23011010700,2106,1112,462,460,71,1,0,0,1867,25,5,14,34,161
23011010801,2093,624,630,752,87,0,0,0,1871,23,0,17,13,169
23011010803,2486,845,767,760,114,0,0,0,2234,33,0,18,11,190
23011010804,2842,775,927,1005,135,0,0,0,2595,30,3,12,10,192
23011010900,1141,423,348,304,66,0,0,0,1017,27,5,2,5,85
23011011000,3427,1218,1012,993,202,2,0,0,3013,70,1,19,18,306
23011012000,2714,723,899,956,133,2,1,0,2466,26,2,10,16,194
23011013000,3275,903,1062,1139,171,0,0,0,2986,32,2,9,20,226
23011014001,2811,956,899,825,130,1,0,0,2478,49,3,21,24,236
23011014002,2098,699,622,681,93,0,3,0,1889,25,1,26,7,150
23011014500,1943,699,568,597,78,1,0,0,1771,27,1,5,13,126
23011015000,2165,754,633,675,102,1,0,0,1938,28,0,9,13,177
23011015500,2738,845,931,792,170,0,0,0,2429,40,0,9,18,242
23011016000,2667,735,872,941,119,0,0,0,2388,39,2,8,24,206
