FULLCODE,total_reg,party_dem,party_rep,party_npp,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
35013001103,2641,1229,856,516,20,3,0,5,0,1262,1175,6,15,27,156
35013001105,1134,560,239,306,16,6,0,7,0,334,756,0,2,4,38
35013001106,1375,638,434,275,14,6,0,5,0,589,679,2,20,5,80
35013001203,2247,1050,583,574,20,9,0,5,0,1101,898,9,33,30,176
35013001204,4008,1607,1403,952,26,6,0,2,0,2601,880,12,71,53,391
35013001205,2900,1318,881,648,35,6,0,7,0,1775,794,10,64,39,218
35013001206,1467,680,417,338,17,6,0,7,0,830,462,11,23,24,117
35013001207,2284,942,720,574,28,4,0,8,0,1027,1079,6,22,21,129
35013001208,4315,1616,1620,1004,46,6,0,7,0,2487,1312,36,77,71,332
35013001209,1688,723,594,343,16,2,0,3,0,1028,473,8,33,26,120
35013001210,2119,858,747,484,11,5,0,3,0,1235,616,5,50,45,168
35013001308,3579,1438,1095,978,41,5,0,12,0,1586,1707,12,25,32,217
35013001309,1367,636,432,284,9,3,0,1,0,552,736,3,3,7,66
35013001310,3638,1514,1205,855,40,4,0,10,0,1754,1587,7,34,31,225
35013001311,2793,1198,829,706,41,2,0,5,0,1350,1228,28,21,21,145
35013001312,732,359,172,185,7,3,0,3,0,385,272,2,9,7,57
35013001313,1208,513,328,339,14,2,0,8,0,492,664,0,5,7,40
35013001314,939,378,261,277,9,1,0,8,0,400,488,8,6,6,31
35013001315,1858,810,490,512,27,2,0,10,0,611,1135,6,6,22,78
35013001316,2147,920,602,581,26,1,0,10,0,756,1270,12,2,18,89
35013001317,2171,1006,689,452,11,1,0,9,0,856,1214,2,9,5,85
35013001318,2970,1126,1229,571,23,5,0,8,0,1611,1156,2,11,19,171
35013001401,718,343,214,152,5,1,0,3,0,205,471,0,6,2,34
35013001402,911,437,218,241,9,1,0,5,0,216,663,0,3,3,26
35013001501,2610,930,1086,546,30,6,1,6,0,1796,553,3,35,26,197
35013001502,1354,513,524,289,20,0,0,5,0,755,517,0,7,11,64
35013001600,1616,874,362,353,12,1,0,9,0,364,1192,0,11,8,41
35013001701,4411,1947,1124,1260,43,4,0,21,0,1184,2975,4,24,35,189
35013001702,743,369,178,176,9,4,0,6,0,212,495,0,4,2,30
35013001703,1567,739,427,373,8,6,0,8,0,456,1031,0,9,11,60
35013001705,1509,923,165,392,7,2,0,17,0,120,1360,0,4,5,20
35013001706,1558,1003,135,396,10,4,0,8,0,75,1458,0,4,3,18
35013001707,2108,1260,169,629,23,1,0,21,0,91,1981,0,2,7,27
35013001805,1401,808,148,419,7,1,0,16,0,76,1311,0,0,5,9
35013001807,722,420,59,232,6,0,0,5,0,46,665,0,0,2,9
35013001808,1662,903,197,529,16,0,0,15,0,148,1469,0,8,11,26
35013001809,1059,421,309,313,4,3,0,5,0,391,618,2,7,4,37
35013001810,2017,827,486,657,19,8,0,12,0,551,1379,6,5,9,67
35013001811,1057,565,187,286,8,4,0,3,0,161,868,0,4,2,22
35013001812,1392,753,179,439,6,1,0,11,0,167,1201,3,0,3,18
35013001813,1210,680,156,354,10,2,0,7,0,107,1077,1,0,4,21
35013001814,1409,660,398,329,9,3,0,7,0,376,956,0,5,9,63
35013001900,246,58,113,68,5,0,0,0,0,171,28,14,8,2,23
35053940000,19,16,1,2,0,0,0,0,0,2,13,0,0,0,4
35053978100,2297,977,901,379,16,5,0,9,0,1100,1046,6,12,11,122
35053978200,2600,1242,886,432,12,5,0,12,0,1086,842,4,15,163,490
35053978301,2289,1090,746,414,18,4,0,6,0,1080,1029,2,21,30,127
35053978302,2341,1005,868,419,25,9,0,5,0,1318,775,11,15,33,189
35053978303,1704,835,578,265,10,4,0,5,0,631,951,0,19,18,85
35003976401,1262,300,758,192,6,0,0,3,0,943,214,0,4,6,95
35003976402,286,59,181,40,4,1,0,0,0,227,18,0,2,1,38
35049000102,1776,1186,238,329,13,5,0,2,0,1287,204,4,20,38,223
35049000103,1754,1242,207,285,12,5,0,1,0,1220,288,5,29,49,163
35049000201,1223,834,155,218,8,2,0,2,0,852,183,6,24,20,138
35049000202,2225,1681,169,348,12,7,0,3,0,1343,573,7,35,41,226
35049000300,1093,807,55,209,6,11,0,1,0,633,314,0,17,24,105
35049000400,590,414,73,94,5,1,0,1,0,417,91,5,8,15,54
35049000500,1894,1382,158,330,8,10,0,2,0,1268,319,1,39,42,225
35049000600,1854,1352,135,344,8,12,0,0,0,1247,341,5,27,42,192
35049000700,1550,1101,136,276,11,18,0,5,0,825,503,14,19,17,172
35049000800,2248,1692,161,350,15,22,0,3,0,1187,790,4,30,34,203
35049000900,2574,1921,221,393,11,15,0,5,0,1281,971,6,47,38,231
35049001001,1555,1114,180,245,6,9,0,1,0,1023,299,3,25,38,167
35049001002,1799,1229,143,397,6,16,0,4,0,906,691,2,22,33,145
