FULLCODE,total_reg,party_npp,party_dem,party_rep,party_lib,party_grn,party_ain,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
25005641900,1121,567,418,113,8,3,0,9,0,583,284,24,17,13,200
25005642000,1611,869,584,119,16,3,0,18,0,693,518,42,33,21,304
25005642100,2375,1264,847,224,17,4,1,11,0,1329,512,52,22,50,410
25005642200,1956,976,766,183,11,1,0,14,0,889,618,13,29,20,387
25005642300,1821,903,668,227,12,1,0,9,0,1049,421,3,13,39,296
25005642400,1781,892,698,169,8,3,1,8,0,954,465,15,21,28,298
25005642500,2967,1502,1081,335,17,1,2,22,0,1608,718,14,32,63,532
25005644101,4281,2522,1254,448,20,1,5,26,0,2637,840,6,36,82,680
25005644102,3591,2121,1033,397,13,1,1,18,0,2210,787,4,24,56,510
25005644200,5058,2927,1487,558,27,1,1,46,0,3064,1124,3,36,59,772
25005645101,3689,2211,957,461,19,3,3,29,0,2578,576,1,25,34,475
25005645102,4150,2543,948,590,26,0,10,26,0,2529,927,5,34,40,615
25005645103,4398,2776,1006,550,18,4,2,31,0,2763,897,4,27,44,663
25005646101,5561,3038,1723,713,32,2,3,47,0,3128,1375,6,39,70,943
25005646103,4698,2761,1245,609,20,6,5,50,0,3064,843,2,42,70,677
25005646104,2187,1296,561,304,6,1,0,17,0,1735,195,1,16,19,221
25005650101,3933,2239,1286,346,15,3,2,38,0,2047,1152,20,24,27,663
25005650102,3274,1781,1165,274,16,2,2,31,0,1534,1117,22,43,44,514
25005650201,2214,1243,739,188,11,6,1,20,0,1184,617,10,19,27,357
25005650202,1415,765,533,95,6,1,1,14,0,642,493,15,4,15,246
25005650300,2063,1192,682,148,13,2,0,25,0,1048,633,15,4,22,341
25005650400,2080,1133,750,162,7,4,2,20,0,842,779,13,16,19,411
25005650500,1715,880,688,119,5,3,3,15,0,631,701,6,13,10,354
25005650600,1513,800,562,115,9,1,2,20,0,594,603,29,9,17,261
25005650700,938,502,358,60,6,0,2,8,0,278,477,26,5,11,141
25005650800,1828,996,696,105,10,1,2,16,0,632,827,36,17,13,303
25005650900,1604,843,648,88,5,1,0,17,0,490,861,35,9,17,192
25005651001,1943,1005,749,157,11,1,0,19,0,937,610,26,32,29,309
25005651002,2574,1355,998,175,16,3,1,23,0,1179,866,85,26,45,373
25005651100,2460,1303,960,148,12,3,1,26,0,929,1092,69,18,28,324
25005651200,1073,602,387,64,5,0,1,12,0,422,437,24,10,14,166
25005651300,1378,691,569,91,8,1,1,17,0,662,430,46,19,33,188
25005651400,1957,1017,787,114,7,7,0,22,0,794,703,105,9,21,325
25005651500,1890,968,791,102,6,1,3,17,0,636,811,117,19,9,298
25005651600,2689,1404,1070,165,14,5,1,27,0,1190,897,138,29,34,401
25005651700,1350,657,615,63,5,0,0,9,0,547,511,86,4,16,186
25005651800,1309,617,593,88,4,4,0,3,0,655,418,50,9,12,165
25005651900,1134,570,493,51,8,0,0,12,0,265,608,105,7,8,141
25005652000,1584,790,685,80,6,1,1,18,0,560,599,60,13,14,338
25005652100,1738,888,710,107,8,2,3,20,0,830,529,25,6,24,324
25005652200,2046,1085,786,139,10,3,1,19,0,1080,543,22,12,40,349
25005652300,1522,788,616,86,10,6,0,14,0,524,678,25,11,23,261
25005652400,1394,709,567,83,11,1,2,19,0,408,637,12,12,17,308
25005652500,1097,581,432,62,7,1,3,9,0,316,510,12,9,14,236
25005652600,1280,695,490,68,11,3,0,13,0,317,714,15,11,16,207
25005652700,2025,1078,767,138,10,2,1,24,0,675,955,24,20,13,338
25005652800,2173,1148,833,158,11,2,1,18,0,1015,726,10,14,33,375
25005653101,4934,2897,1419,545,26,6,2,30,0,2875,1141,13,70,79,756
25005653102,3157,1987,725,395,16,2,3,22,0,1703,857,5,38,40,514
25005653203,3417,1911,1174,276,10,2,4,34,0,1573,1175,6,43,33,587
25005653204,2472,1547,635,254,7,2,2,23,0,1267,653,7,91,35,419
