FULLCODE,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
48209010909,5180,2388,1772,1020,0,0,3284,1359,26,68,51,392
48209010911,2571,1152,1236,183,0,0,1925,456,6,25,13,146
48209010912,6061,2464,3100,497,0,0,4391,799,22,193,133,523
48209010913,4519,2287,1428,804,0,0,2580,1540,21,51,49,278
48209010914,2640,1046,1369,225,0,0,1902,517,6,15,30,170
48209010915,4810,2125,2222,463,0,0,3178,1142,30,66,61,333
48209010916,4745,2716,1213,816,0,0,2108,2241,61,60,48,227
48209010917,2782,1599,771,412,0,0,1217,1320,30,25,27,163
48209010918,2956,1651,817,488,0,0,1513,1200,48,24,29,142
48209010919,3207,1926,738,543,0,0,1450,1508,25,46,37,141
48209010920,991,563,246,182,0,0,443,484,5,3,4,52
48209010921,1585,1165,192,228,0,0,345,1194,4,3,6,33
48209010922,5979,3488,1540,951,0,0,2719,2680,77,79,61,363
48209010923,4601,2578,1220,803,0,0,2199,1954,18,99,61,270
48209010924,3217,1848,820,549,0,0,1584,1383,41,28,32,149
48209010925,2758,1612,656,490,0,0,1236,1301,32,11,18,160
48461950100,713,153,460,100,0,0,486,170,1,4,9,43
48461950200,1341,498,581,262,0,0,567,709,3,2,6,54
48179950100,2169,225,1614,330,0,0,1858,153,19,11,16,112
48179950300,2912,321,2290,301,0,0,2447,285,3,24,7,146
48179950400,2815,504,1782,529,0,0,2233,413,6,23,22,118
48179950500,1251,290,692,269,0,0,898,250,10,11,3,79
48179950600,874,279,376,219,0,0,540,284,2,6,3,39
48179950700,767,173,338,256,0,0,550,170,2,4,5,36
48179950800,693,310,255,128,0,0,352,218,101,2,1,19
48149970100,1693,302,1239,152,0,0,1407,69,25,16,19,157
48149970200,1802,310,1305,187,0,0,1410,116,23,6,11,236
48149970301,698,146,492,60,0,0,544,58,1,11,22,62
48149970302,2599,719,1421,459,0,0,1817,400,91,9,32,250
48149970400,2553,626,1639,288,0,0,1816,274,129,10,29,295
48149970500,2891,772,1861,258,0,0,1810,523,51,13,40,454
48149970601,664,133,490,41,0,0,485,28,1,6,19,125
48149970602,2506,758,1398,350,0,0,1584,337,154,18,43,370
48149970700,1527,300,1077,150,0,0,1188,93,12,7,43,184
