FULLCODE,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
34029715202,1495,250,656,569,2,0,1,0,574,224,53,12,66,566
34029715301,3415,386,1360,1637,1,6,5,0,1435,203,36,26,181,1534
34029715303,864,65,372,423,0,0,1,0,392,27,3,1,32,409
34029715304,1335,162,562,598,1,1,2,0,539,134,17,9,72,564
34029715401,3093,211,1214,1661,4,1,0,0,1352,63,8,11,144,1515
34029715403,4255,143,2759,1347,1,0,1,0,1680,24,2,24,186,2339
34029715404,856,42,299,514,0,0,0,0,399,15,0,3,43,396
34029715501,2203,181,795,1212,5,2,1,0,1086,52,8,16,112,929
34029715502,1750,100,641,1004,1,0,1,0,759,19,1,9,92,870
34029715503,2417,155,859,1391,1,2,0,0,1040,35,16,14,106,1206
34029715600,5021,584,1963,2430,7,6,5,0,2021,365,137,22,228,2248
34029715701,2916,313,1239,1341,2,2,3,0,1270,161,50,11,101,1323
34029715702,2370,596,716,1043,1,2,1,0,1542,119,10,34,106,559
34029715800,3448,493,1360,1568,3,4,6,0,1574,204,91,37,161,1381
34029715901,1556,471,582,477,2,7,0,0,837,203,110,30,38,338
34029715902,3245,1122,1118,965,6,5,9,0,2386,396,74,16,74,299
34029716000,4020,1319,1123,1540,8,8,2,0,3122,249,17,43,105,484
34029717001,1988,427,912,612,15,6,3,0,1323,188,19,37,58,363
34029717002,2711,598,1204,859,8,10,7,0,1637,222,87,50,82,633
34029717101,5664,1369,2505,1720,15,7,5,0,3939,583,75,140,196,731
34029717102,4204,1163,1611,1375,11,10,3,0,3033,347,24,91,142,567
34029717200,6847,1621,2764,2374,28,11,8,0,4923,521,98,130,246,929
34029717300,4189,935,1779,1389,22,12,6,0,2941,362,66,90,208,522
34029717400,4064,867,1774,1325,24,13,19,0,2879,376,56,75,129,549
34029717501,4927,1301,2058,1479,28,7,10,0,3261,489,68,63,174,872
