GEOID20,total_reg,party_npp,party_rep,party_dem,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
28033070422,1349,766,386,197,0,0,0,1101,46,109,7,16,70
28033070521,1873,1164,462,247,0,0,0,1417,94,250,24,7,81
28033070522,2747,1567,729,450,0,1,0,2020,73,468,21,27,138
28033070523,4338,2419,899,1020,0,0,0,2468,162,1463,70,32,143
28033070524,2691,1193,1037,461,0,0,0,1788,53,674,35,24,117
28033070610,1586,1023,304,258,0,1,0,902,39,563,12,7,63
28033070631,2730,1304,938,486,0,2,0,1985,50,450,57,30,158
28033070632,3788,2000,1129,659,0,0,0,2670,110,670,101,23,214
28033070633,3448,1529,1512,407,0,0,0,2852,59,278,80,16,163
28033070634,1411,656,476,279,0,0,0,843,34,471,12,4,47
28033070635,4433,2298,1341,794,0,0,0,3278,107,693,76,52,227
28033070721,3828,2029,1019,780,0,0,0,2379,102,1122,21,16,188
28033070722,4208,1997,1735,476,0,0,0,3431,84,399,31,33,230
28033070723,3635,1917,923,794,0,1,0,2064,90,1261,30,28,162
28033070724,2043,984,701,358,0,0,0,1314,47,537,53,11,81
28033070811,3662,1962,914,786,0,0,0,2301,101,1005,41,34,180
28033070812,2808,1776,509,523,0,0,0,1781,110,756,19,26,116
28033070821,4318,2286,1355,677,0,0,0,3431,131,436,41,43,236
28033070822,2759,1772,548,439,0,0,0,1994,119,448,17,28,153
28033070830,4438,2343,1205,890,0,0,0,2921,128,1025,62,60,242
28033070900,3792,1798,1478,516,0,0,0,2782,60,757,14,18,161
28033071001,4225,1762,2002,460,0,1,0,3629,77,202,66,33,218
28033071002,3268,1377,1526,365,0,0,0,2790,56,234,20,15,153
28033071121,2590,1259,1060,271,0,0,0,2171,103,134,19,17,146
28033071122,1863,817,841,205,0,0,0,1595,28,111,21,2,106
28033071123,2676,1153,1208,315,0,0,0,2139,58,311,9,9,150
28033071124,2947,1545,967,435,0,0,0,1629,53,1084,24,6,151
28033071200,2173,1079,838,256,0,0,0,1792,45,189,11,9,127
28159950100,1976,538,757,678,0,3,0,1197,16,667,10,4,82
28159950200,2442,802,697,933,0,10,0,1232,34,1099,13,3,61
28159950300,2425,1034,367,1020,0,4,0,719,25,1620,18,5,38
28159950400,2852,1040,853,951,0,8,0,1325,26,1383,28,4,86
28159950500,2797,946,966,882,0,3,0,1799,27,848,7,3,113
28063950101,1660,932,46,681,0,1,0,600,13,891,5,18,133
28063950102,1543,506,61,976,0,0,0,188,8,1298,7,1,41
28063950103,1315,395,144,776,0,0,0,374,11,841,9,12,68
28063950200,1712,562,16,1134,0,0,0,326,12,1309,15,4,46
28163950100,3620,1565,982,1073,0,0,0,1625,28,1875,10,3,79
28163950200,2729,1459,434,836,0,0,0,945,20,1663,21,8,72
28163950300,3146,1869,100,1177,0,0,0,237,26,2809,27,6,41
28163950400,1214,489,537,188,0,0,0,881,14,268,4,2,45
28163950500,2984,1879,108,997,0,0,0,379,27,2476,20,12,70
28163950601,2296,903,876,517,0,0,0,1464,21,689,4,9,109
28163950602,2240,922,760,558,0,0,0,1324,20,786,9,5,96
28023950100,2730,990,1253,486,0,1,0,1875,19,716,3,9,108
28023950201,2847,1229,1184,434,0,0,0,2009,45,667,4,6,116
28023950202,1258,549,421,286,0,2,0,652,17,540,5,4,40
28023950300,2533,1033,501,999,0,0,0,909,17,1503,6,8,90
28023950400,2072,859,745,467,0,1,0,1197,26,741,14,6,88
28065950101,1335,422,154,759,0,0,0,230,16,1066,2,1,20
28065950102,2153,672,500,981,0,0,0,822,11,1235,19,7,59
28065950201,2427,813,451,1163,0,0,0,799,36,1528,11,4,49
28065950202,2428,722,616,1090,0,0,0,1119,8,1208,9,6,78
28089030104,1865,658,690,515,0,2,0,1363,32,249,70,42,109
28089030105,2192,1083,494,615,0,0,0,1097,86,858,26,14,111
28089030107,1878,836,718,324,0,0,0,1474,40,175,26,22,141
28089030108,2993,1914,291,786,0,2,0,824,86,1936,34,24,89
28089030109,2952,1119,1209,624,0,0,0,2292,48,370,30,20,192
28089030110,2811,970,1521,320,0,0,0,2421,32,99,66,34,159
28089030111,998,562,181,255,0,0,0,544,33,326,22,15,58
28089030112,1403,796,231,376,0,0,0,655,32,577,13,17,109
28089030202,3683,1263,1879,541,0,0,0,3061,27,237,88,64,206
28089030203,4393,1775,1964,653,0,1,0,2646,62,1305,94,52,234
28089030204,3391,1232,1532,627,0,0,0,2455,41,496,134,58,207
28089030205,2352,802,1091,459,0,0,0,1640,33,408,82,34,155
28089030206,1672,504,791,377,0,0,0,1256,20,228,62,22,84
28089030207,3135,1018,1657,460,0,0,0,2685,29,157,41,22,201
28089030208,4100,1615,1721,763,0,1,0,2899,50,875,52,39,185
28089030301,4647,1629,2320,698,0,0,0,3666,71,450,129,64,267
28089030302,5466,2101,1948,1416,0,1,0,2770,45,2405,39,25,182
28089030401,5665,2435,1744,1484,0,2,0,3175,81,2003,72,49,285
28089030402,6041,2220,2997,823,0,1,0,4706,67,777,84,46,361
