FULLCODE,total_reg,party_dem,party_npp,party_rep,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
13131950501,1379,482,401,496,0,0,901,62,370,2,5,39
13131950502,2842,1206,618,1018,0,0,1595,77,1037,18,11,104
13131950600,1488,512,376,600,0,0,1015,36,377,7,9,44
13097080104,3048,2128,559,361,0,0,766,221,1953,35,17,56
13097080105,2288,2033,183,72,0,0,207,64,1951,20,17,29
13097080106,2062,1179,622,261,0,0,719,204,1042,13,16,68
13097080107,2090,1785,259,46,0,0,217,72,1731,17,24,29
13097080201,3354,1489,1019,846,0,0,1766,315,1099,20,50,104
13097080203,3646,2309,828,509,0,0,1113,299,2047,35,42,110
13097080204,2108,1210,511,387,0,0,835,148,1001,13,29,82
13097080303,2553,1540,721,292,0,0,905,157,1355,31,29,76
13097080304,3374,2142,665,567,0,0,1232,148,1787,54,33,120
13097080305,3718,2880,568,270,0,0,680,201,2727,9,29,72
13097080306,2687,2170,381,136,0,0,352,139,2107,13,17,59
13097080307,2858,2355,331,172,0,0,412,126,2249,19,16,36
13097080403,3271,1495,851,925,0,0,1728,191,1137,29,32,154
13097080405,4389,1453,1245,1691,0,0,3164,137,748,33,51,256
13097080406,2947,794,978,1175,0,0,2219,100,388,19,35,186
13097080407,4160,2448,921,791,0,0,1550,254,2058,103,47,148
13097080408,2175,876,788,511,0,0,1188,170,695,10,24,88
13097080505,3000,1415,878,707,0,0,1573,208,1047,13,27,132
13097080506,3921,1577,1239,1105,0,0,2324,291,1055,28,44,179
13097080507,2642,1180,773,689,0,0,1458,148,862,20,42,112
13097080508,3955,2435,872,648,0,0,1414,252,2044,35,58,152
13097080509,5134,3061,1114,959,0,0,1942,279,2510,113,106,184
13097080512,3286,1766,829,691,0,0,1447,192,1443,45,43,116
13097080513,2247,1603,387,257,0,0,580,127,1443,33,21,43
13097080514,2955,1574,680,701,0,0,1346,158,1239,57,56,99
13097080515,4171,3122,600,449,0,0,849,237,2881,53,54,97
13097080602,4335,2987,817,531,0,0,1251,220,2651,29,56,128
13097080605,2781,1517,746,518,0,0,1219,211,1238,16,37,60
13097080606,3999,3391,356,252,0,0,533,152,3224,13,28,49
