GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
41035971600,2182,459,1078,487,11,1,11,0,1578,382,5,23,17,177
41035971700,2075,495,924,507,22,3,7,0,1586,271,2,16,14,186
41035971800,1887,413,844,464,25,7,11,0,1499,150,5,23,27,183
41035971900,2529,517,1142,674,23,10,19,0,2029,208,11,18,29,234
41035972000,3043,720,991,1125,33,6,7,0,2458,197,1,53,38,296
41059940000,2317,613,980,590,9,5,28,0,1753,124,5,24,64,347
41059950100,3102,454,1263,1171,29,1,41,0,2557,231,0,11,19,284
41059950201,2037,360,1105,422,14,4,26,0,1176,688,1,8,15,149
41059950202,2205,423,1031,621,11,5,29,0,1477,513,3,8,29,175
41059950300,2176,301,718,1030,16,3,18,0,1853,98,2,8,11,204
41059950400,3511,849,1124,1302,22,5,33,0,2967,172,5,34,27,306
41059950500,3458,708,1145,1357,29,5,30,0,2925,185,5,25,26,292
41059950601,2579,529,1208,587,39,11,30,0,2047,233,8,47,24,220
41059950602,2741,571,870,1114,20,2,23,0,2331,116,4,35,19,236
41059950700,1915,327,866,554,20,2,28,0,1625,113,1,7,13,156
41059950800,4152,768,1874,1244,32,5,30,0,2825,980,1,18,25,303
41059950900,2694,453,1321,749,19,1,17,0,1762,724,1,15,17,175
41059951000,3775,774,1712,1066,24,3,22,0,2455,969,4,79,25,243
41059951100,3855,806,1626,1178,28,2,29,0,2712,804,6,43,17,273
41059951201,3257,610,1647,779,31,3,31,0,1921,1052,9,30,19,226
41059951202,2911,498,1273,948,19,2,26,0,2057,552,6,42,31,223
41059951300,2690,410,1150,960,21,1,25,0,2002,425,3,12,18,230
41059951400,1726,210,628,780,13,1,10,0,1527,48,1,7,7,136
41057960101,1897,930,507,351,8,14,4,0,1576,54,5,19,14,229
41057960102,1641,633,526,360,10,4,14,0,1397,33,0,23,24,164
41057960200,2486,856,843,603,19,6,23,0,2137,80,0,33,25,211
41057960300,2030,512,751,621,11,7,21,0,1699,89,1,20,12,209
