FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
31131966600,1480,949,254,264,12,1,0,1265,24,5,10,12,164
31131966700,2274,1280,459,520,15,0,0,1858,29,1,13,12,361
31131966800,2254,1205,554,462,33,0,0,1938,36,4,6,14,256
31131966900,2712,1398,662,617,35,0,0,2188,154,2,34,20,314
31131967000,1577,808,385,356,28,0,0,1320,71,3,20,10,153
31105954500,2390,1674,301,391,24,0,0,1981,106,1,12,10,280
31147964500,1160,721,292,143,4,0,0,992,16,0,3,16,133
31147968500,1207,743,282,176,6,0,0,1034,16,0,4,21,132
31147968600,2729,1496,685,516,32,0,0,2358,26,2,14,26,303
31017975000,2060,1672,181,197,9,1,0,1803,27,1,6,22,201
31149974600,966,797,92,74,3,0,0,825,13,0,4,5,119
31153010103,3104,1370,855,803,75,1,0,2537,137,23,22,26,359
31153010104,1142,430,399,286,27,0,0,860,145,19,9,15,94
31153010105,1825,722,578,486,38,1,0,1412,128,43,17,21,204
31153010106,2410,896,716,726,71,1,0,1945,143,45,21,26,230
31153010107,2212,827,746,593,45,1,0,1610,294,36,37,24,211
31153010108,2116,751,734,605,24,2,0,1460,260,111,43,20,222
31153010203,3548,1727,835,925,61,0,0,2881,189,40,46,50,342
31153010204,1873,693,589,540,51,0,0,1428,144,78,24,12,187
31153010205,1913,829,488,540,55,1,0,1526,131,28,15,9,204
31153010206,2493,1028,696,725,43,1,0,1938,153,93,32,28,249
31153010207,1482,663,397,404,18,0,0,1180,83,19,39,23,138
31153010208,2576,1243,597,698,37,1,0,2079,101,24,23,44,305
31153010209,2064,960,484,575,44,1,0,1669,130,20,16,21,208
31153010302,115,30,31,45,9,0,0,69,9,10,3,2,22
31153010305,631,225,188,198,20,0,0,452,63,33,8,11,64
31153010306,696,254,183,230,29,0,0,503,66,35,7,8,77
31153010401,1512,569,447,470,26,0,0,1159,137,38,21,17,140
31153010402,1959,730,518,655,56,0,0,1562,120,27,18,22,210
31153010502,2468,875,928,628,37,0,0,1700,375,8,20,30,335
31153010503,1919,665,715,512,27,0,0,1345,309,2,10,41,212
31153010504,1815,650,612,517,35,1,0,1286,244,41,41,26,177
31153010505,1934,587,704,591,51,1,0,1248,394,24,11,40,217
31153010614,2892,1026,997,816,53,0,0,2146,236,65,76,32,337
31153010615,1253,533,352,344,24,0,0,961,95,2,24,20,151
31153010616,3046,1535,763,704,43,1,0,2436,103,3,41,49,414
31153010617,3665,1723,965,918,57,2,0,2953,180,18,28,39,447
31153010619,2384,1030,666,632,56,0,0,1904,83,59,32,35,271
31153010620,3897,1893,919,1007,78,0,0,3198,141,14,55,56,433
31153010621,3573,1391,1133,987,62,0,0,2777,227,27,54,38,450
31153010622,2222,957,643,574,47,1,0,1753,93,4,45,32,295
31153010623,4257,1893,1114,1172,77,1,0,3373,202,29,61,52,540
31153010624,3695,1654,904,1089,48,0,0,2954,142,32,58,48,461
31153010625,3016,1166,867,922,59,2,0,2399,143,14,45,39,376
31153010626,3449,1507,972,911,59,0,0,2763,126,9,55,53,443
31153010627,1882,821,519,516,26,0,0,1511,78,4,25,27,237
31153010629,2138,994,533,571,39,1,0,1727,91,6,22,28,264
31153010630,3688,1766,927,942,52,1,0,3000,80,14,43,69,482
31153010631,3594,2023,727,799,45,0,0,3060,71,4,16,38,405
31153010632,4090,2214,828,969,77,2,0,3408,97,3,17,40,525
31153010633,2169,844,643,639,42,1,0,1731,140,7,25,17,249
31153010634,1839,793,522,483,41,0,0,1482,98,8,19,22,210
31153010635,1631,783,397,430,21,0,0,1339,26,7,31,29,199
31153010636,3584,1885,785,869,44,1,0,2958,77,0,46,50,453
31153010637,2207,956,636,586,29,0,0,1602,153,51,71,32,298
31153010638,2969,1390,749,775,53,2,0,2339,170,15,49,54,342
31153010701,1705,1009,329,338,29,0,0,1405,27,2,13,22,236
31153010702,2802,1535,597,630,40,0,0,2358,44,0,10,19,371
31061964600,758,519,120,117,2,0,0,647,13,0,2,5,91
