FULLCODE,total_reg,party_rep,party_dem,party_npp,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
04013104301,2155,643,755,635,26,1,2,0,1276,592,14,37,69,167
04013104302,1993,484,678,737,16,1,1,0,1292,336,63,29,55,218
04013104401,2531,679,902,832,32,0,0,0,1428,671,127,31,74,200
04013104402,1068,239,381,392,9,3,0,0,703,180,41,16,17,111
04013104501,1390,328,533,448,15,1,0,0,756,412,43,32,25,122
04013104502,1572,298,587,606,17,0,0,0,680,664,39,30,18,141
04013104600,2026,465,848,601,27,6,0,0,1309,429,46,27,44,171
04013104701,1637,426,604,511,24,5,1,0,1108,290,16,14,29,180
04013104702,2018,506,679,693,15,4,1,0,1258,479,42,16,39,184
04013104801,2970,1003,1106,674,32,1,0,0,2233,201,10,83,85,358
04013104802,4287,1579,1442,974,53,3,0,0,3304,317,13,94,117,442
04013104900,3091,1129,965,788,41,5,1,0,2314,263,7,55,111,341
04013105002,2298,1179,521,449,16,3,0,0,1708,65,1,97,115,312
04013105003,3641,1775,812,826,23,4,1,0,2445,153,9,245,226,563
04013105004,2658,1438,486,563,15,0,0,0,1868,96,3,149,146,396
04013105101,3798,1453,1265,814,37,1,0,0,2869,173,8,93,85,570
04013105102,3862,1365,1414,817,38,1,0,0,2765,315,16,134,114,518
04013105103,2586,1271,649,508,16,1,0,0,1813,101,7,130,143,392
