GEOID20,total_reg,party_dem,party_npp,party_rep,party_lib,party_grn,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
37161961103,1511,395,485,625,5,0,0,0,1230,74,115,6,11,75
37161961104,1714,435,544,726,7,0,0,0,1460,62,103,7,7,75
37161961200,2916,627,906,1370,11,1,0,0,2639,68,82,8,13,106
37199960101,2870,953,837,1068,11,1,0,0,2619,55,8,18,17,153
37199960102,1330,340,408,570,11,1,0,0,1218,24,1,8,4,75
37199960200,3465,1096,1055,1299,11,1,0,0,3184,62,42,21,20,136
37199960300,2344,725,697,910,9,2,0,0,2132,57,20,14,15,106
37199960400,3205,888,1071,1227,17,0,0,0,2963,45,3,14,19,161
37117970100,2736,1191,773,764,7,0,0,0,1917,53,684,7,11,64
37117970200,2693,1564,646,473,7,2,0,0,1193,49,1363,24,5,59
37117970300,2514,1550,548,406,8,2,0,0,1045,38,1367,11,11,42
37117970400,1644,986,341,308,5,0,0,0,685,16,914,3,3,23
37117970500,3605,1455,1081,1058,9,0,0,0,2645,56,800,7,9,88
37117970600,1951,1233,383,328,5,1,0,0,659,33,1216,3,4,36
37059080101,2732,322,898,1496,11,0,0,0,2392,106,89,8,12,125
37059080102,2372,374,708,1282,5,1,0,0,1991,78,171,8,18,106
37059080200,3995,567,1293,2111,21,1,0,0,3493,105,152,36,23,186
37059080301,4784,700,1554,2513,15,1,0,0,4182,135,117,43,61,246
37059080302,2445,321,702,1403,15,1,0,0,2112,77,101,18,32,105
37059080400,3848,498,1159,2174,16,1,0,0,3350,92,126,22,52,206
37059080500,2889,655,993,1220,18,0,0,0,2167,176,382,12,32,120
37059080600,3015,580,1000,1407,20,2,0,0,2391,140,296,31,17,140
37059080701,2087,393,635,1047,9,2,0,0,1728,75,188,14,9,73
37059080702,1432,285,437,696,9,2,0,0,1146,60,142,6,12,66
37167930101,2714,472,804,1423,11,2,0,0,2375,43,82,60,20,134
37167930102,2726,606,780,1322,11,1,0,0,2130,31,404,37,21,103
37167930200,2589,740,848,986,11,0,0,0,1923,68,416,44,21,117
37167930300,2603,581,892,1117,9,2,0,0,2121,56,224,87,21,94
37167930500,2000,459,670,851,15,0,0,0,1630,48,183,60,13,66
37167930700,3371,372,986,1999,9,0,0,0,3078,33,21,56,16,167
37167930801,4010,476,1197,2311,19,1,0,0,3520,110,110,42,31,197
37167930802,3139,370,875,1875,14,2,0,0,2771,103,22,30,28,185
37167930901,1741,331,455,944,7,1,0,0,1441,46,147,22,12,73
37167930902,2322,315,695,1303,8,0,0,0,2034,77,54,20,27,110
37167931001,1623,326,471,819,4,1,0,0,1449,14,69,23,21,47
37167931002,2239,484,730,1012,10,1,0,0,1843,37,202,34,24,99
37167931101,1421,314,433,670,4,0,0,0,1198,26,103,10,15,69
37167931102,2303,723,643,929,7,0,0,0,1722,39,414,8,27,93
37167931202,1970,403,686,867,13,0,0,0,1571,49,206,52,15,77
37167931203,1686,1097,388,191,6,3,0,0,361,50,1221,20,4,30
37167931204,2347,741,828,761,11,2,0,0,1769,55,375,24,20,104
37137950101,1976,478,578,911,8,0,0,0,1612,43,202,8,29,82
37137950103,1179,501,306,365,6,0,0,0,747,21,364,5,8,34
37137950104,754,350,172,231,1,0,0,0,405,13,308,1,0,27
37137950202,1764,475,585,697,6,0,0,0,1435,37,135,20,25,112
37137950203,1500,538,412,538,10,1,0,0,1085,25,284,13,10,83
37137950204,1297,348,384,557,7,0,0,0,1096,38,80,6,23,54
37137990100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37103920100,2464,1038,660,753,11,0,0,0,1417,46,890,12,14,85
37103920200,1949,884,533,520,9,3,0,0,1103,40,740,13,13,40
37103920300,1847,610,592,637,8,0,0,0,1334,49,392,6,10,56
37121950100,1265,79,315,865,6,0,0,0,1189,17,4,6,5,44
37121950200,2846,283,868,1680,13,1,0,0,2610,37,3,14,13,169
37121950300,2674,266,753,1641,13,0,0,0,2412,66,10,13,12,161
37121950400,3370,387,1084,1887,9,2,0,0,3090,63,14,17,13,173
37051000200,1229,834,316,72,4,1,0,0,133,31,1019,11,18,17
37051000500,1186,530,386,262,5,1,0,0,504,86,519,6,37,34
37051000600,3331,1338,957,1010,20,2,0,0,1885,197,984,69,62,134
37051000701,3820,1079,1201,1509,26,1,0,0,2540,208,503,262,118,189
37051000702,1610,550,443,603,12,1,0,0,1120,77,273,28,34,78
37051000800,1599,633,545,399,21,0,0,0,966,96,404,17,28,88
