GEOID20,total_reg,party_dem,party_rep,party_npp,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk
51009010202,1610,671,601,338,0,0,1187,27,295,12,6,83
51009010300,2726,885,1398,443,0,0,2377,40,159,15,12,123
51009010401,2086,827,732,527,0,0,1638,38,290,12,6,102
51009010402,2175,860,838,477,0,0,1864,30,191,14,8,68
51009010504,2815,1269,980,566,0,0,2096,36,518,20,26,119
51009010505,618,454,135,29,0,0,468,10,109,4,5,22
51009010506,1048,616,322,110,0,0,799,20,171,5,3,50
51009010600,1908,898,606,404,0,0,1080,31,714,5,10,68
51139030100,1784,664,807,313,0,0,1636,22,4,18,4,100
51139030200,2836,1028,1170,638,0,0,2430,36,143,31,16,180
51139030300,3577,1247,1556,774,0,0,3253,39,2,35,16,232
51139030401,1543,619,650,274,0,0,1412,21,1,15,4,90
51139030402,2557,1154,1010,393,0,0,2334,46,5,19,4,149
51139030500,3949,1504,1738,707,0,0,3479,54,28,88,18,282
51730810100,1605,1416,34,155,0,0,184,33,1339,15,9,25
51730810300,1952,1253,136,563,0,0,439,79,1356,11,18,49
51730810400,1021,926,26,69,0,0,189,19,766,7,7,33
51730810500,2686,2084,59,543,0,0,212,69,2338,15,16,36
51730810600,1164,1095,17,52,0,0,151,28,936,8,9,32
51730810700,1362,1218,45,99,0,0,112,29,1201,7,3,10
51730810900,2348,1590,146,612,0,0,376,58,1808,20,16,70
51730811000,3273,2086,292,895,0,0,855,90,2140,31,31,126
51730811100,2185,1534,127,524,0,0,303,72,1734,22,17,37
51730811200,2665,1789,156,720,0,0,567,123,1866,32,16,61
51730811300,1817,1170,115,532,0,0,463,51,1196,23,17,67
51087200106,2790,1392,870,528,0,0,1801,204,206,135,218,226
51087200108,2367,1109,1144,114,0,0,1920,32,35,77,62,241
51087200109,3135,1532,1352,251,0,0,2612,35,75,58,51,304
51087200122,3443,1742,1259,442,0,0,2477,130,108,215,173,340
51087200123,1899,938,556,405,0,0,1224,93,346,33,56,147
51087200124,3320,1623,1287,410,0,0,2531,84,145,111,114,335
51087200125,1919,1021,298,600,0,0,1007,113,435,100,119,145
51087200126,1867,1180,241,446,0,0,1186,105,300,73,73,130
51087200127,4571,2109,1934,528,0,0,3470,122,142,221,223,393
51087200131,1347,709,402,236,0,0,1028,57,75,38,52,97
51087200132,2320,1129,762,429,0,0,1741,95,118,71,107,188
51087200133,2161,1177,588,396,0,0,1398,108,369,66,55,165
51087200134,3921,1916,1622,383,0,0,3066,106,165,91,106,387
51087200135,1783,899,653,231,0,0,1369,60,100,59,56,139
51087200136,2604,1170,1097,337,0,0,1956,87,171,71,81,238
51087200137,1569,839,495,235,0,0,1164,53,107,45,63,137
51087200138,2862,1536,996,330,0,0,2225,79,101,70,104,283
51087200139,3342,1693,1179,470,0,0,2646,111,136,100,84,265
51087200140,2534,1284,944,306,0,0,1855,91,70,145,94,279
51087200141,1645,820,602,223,0,0,1249,61,56,70,55,154
51087200142,3533,1738,1324,471,0,0,2521,94,156,216,159,387
51087200143,2106,1144,782,180,0,0,1431,67,51,186,129,242
51087200144,1567,782,389,396,0,0,1057,72,95,120,78,145
51087200145,3068,1570,1231,267,0,0,2219,84,23,309,132,301
51087200146,2224,1057,901,266,0,0,1636,50,44,213,65,216
51087200147,3980,2244,1345,391,0,0,2191,103,54,951,292,389
