BlockGroupID,total_reg,party_rep,party_dem,party_npp,party_rin,party_lib,party_grn,party_lbl,party_con,party_oth,party_unk,eth1_eur,eth1_hisp,eth1_aa,eth1_esa,eth1_oth,eth1_unk,eth2_euro,eth2_64,eth2_93,eth2_30,eth2_10,eth2_23,eth2_81,eth2_21,eth2_34,eth2_14,eth2_12,eth2_66,eth2_61,eth2_85,eth2_35,eth2_32,eth2_55,eth2_29,eth2_83,eth2_33,eth2_38,eth2_59,eth2_26,eth2_19,eth2_unk
040137233042,615,241,144,194,27,7,0,2,0,0,0,346,227,0,2,1,39,346,227,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
040137233043,1272,571,339,280,79,3,0,0,0,0,0,1026,68,5,7,16,150,1026,68,4,3,5,0,0,0,6,1,1,0,0,3,2,0,1,0,0,0,0,0,0,0,150
040137233044,1022,377,257,326,54,7,1,0,0,0,0,545,383,1,6,18,69,545,382,1,7,1,0,0,0,2,4,1,1,0,3,4,1,0,0,0,0,1,0,0,0,69
040137233051,731,180,303,210,37,1,0,0,0,0,0,274,393,0,3,7,54,274,392,0,0,1,2,1,0,1,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,54
040137233052,222,74,87,52,9,0,0,0,0,0,0,107,84,0,0,2,29,107,83,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,29
040137233061,42,26,6,8,2,0,0,0,0,0,0,31,7,0,0,0,4,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
040137233071,1707,703,461,439,89,12,2,0,0,1,0,1264,210,16,36,28,153,1264,208,14,12,4,10,0,3,11,5,13,2,1,2,1,1,0,0,0,0,0,0,0,0,153
040137233091,1022,435,257,254,66,8,2,0,0,0,0,770,131,19,13,9,80,770,131,18,3,1,5,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,80
040137233092,747,312,198,193,40,4,0,0,0,0,0,538,129,12,5,18,45,538,122,12,6,2,1,0,0,4,0,2,7,2,2,0,2,1,1,0,0,0,0,0,0,45
040137233093,387,154,101,117,14,1,0,0,0,0,0,253,83,4,5,4,38,253,79,4,1,0,0,0,3,0,1,1,4,0,1,0,0,2,0,0,0,0,0,0,0,38
040137233101,1903,862,455,491,84,8,3,0,0,0,0,1430,214,25,29,17,188,1430,214,22,7,9,7,0,9,2,1,3,0,1,1,0,1,1,0,2,0,1,1,0,0,188
040137233111,1610,680,377,470,70,13,0,0,0,0,0,1147,204,38,23,23,175,1147,202,38,4,9,7,0,3,5,0,4,2,4,2,1,0,0,0,4,2,0,1,0,0,175
040137233112,2249,937,545,634,109,22,1,0,0,1,0,1557,375,24,28,31,234,1557,374,22,9,6,3,0,2,7,4,8,1,3,3,3,3,0,0,0,1,2,0,0,4,234
